GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "08000","Colorado",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",8438834,9540190,10759666,12176083,13923113,15609172,17249727,18981259,21174240,24413528,27973924,32052580,36842992,40468901,43691655,47578744,50442397,52397050,54179277,57482944,61922088,65631642,69632902,75511809,81698776,87838892,95469000,102974939,110721540,122577930,131712758,146560771,154066732,154492308,157405310,163568499,174247768,188197016,200611172,210065766,200170034,206053394,223873871,236032969,247816736,268453081,279696008,283678694,303366730,328112736,351373238,375157839,417967655,442213009
 "08000","Colorado",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5047005,5119188,5188703,5263512,5342996,5442196,5529161,5600169,5677250,5735934,5784865,5811297,5839926
 "08000","Colorado",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3896,4290,4671,5064,5579,6142,6670,7211,7854,8824,9818,11019,12372,13218,13943,15009,15720,16185,16617,17620,18903,19843,20558,21600,22608,23586,24948,26269,27554,29776,31167,33872,34812,34405,34757,35753,37619,39869,41760,42961,40258,40827,43732,45490,47082,50244,51394,51306,54171,57794,61258,64852,71923,75722
 "08001","Adams, CO*",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",648153,709437,803531,908854,1023302,1125453,1236329,1359933,1532395,1807996,2074997,2388250,2686425,2941037,3161470,3426871,3616361,3729485,3791361,3926130,4130735,4352829,4608242,5023045,5441718,5851175,6311026,6749903,7415818,8161185,8915843,9916347,10460701,10352687,10669396,11006019,11445944,12112121,12871219,13596469,13507262,13713370,14716886,15606300,16301769,17635048,18717194,19734395,20611747,22068627,23249870,25292075,27847450,28848586
 "08001","Adams, CO*",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",182656,187062,193787,203924,211825,214692,218820,224439,227864,239598,245966,247145,251341,258855,262155,264814,266973,267687,268485,266684,263401,266629,274311,284362,293995,302197,313439,323218,332462,343094,354146,366958,376443,370753,377464,384809,395146,406575,415746,424913,435700,443693,452215,460579,470014,479983,490486,497785,503782,511566,516674,520479,523592,527575
 "08001","Adams, CO*",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3548,3793,4146,4457,4831,5242,5650,6059,6725,7546,8436,9663,10688,11362,12060,12941,13546,13932,14121,14722,15682,16325,16799,17664,18510,19362,20135,20883,22306,23787,25176,27023,27788,27923,28266,28601,28966,29791,30959,31998,31001,30907,32544,33884,34684,36741,38161,39644,40914,43139,44999,48594,53185,54681
 "08003","Alamosa, CO",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",29164,31926,35343,38097,42034,49379,58120,64623,68397,77398,83639,100434,107997,111469,127419,131073,138688,155995,154001,162171,181820,197611,194419,202756,230163,242480,257362,279955,282935,312719,316900,334102,340432,368268,350859,370313,387139,394729,418370,444627,443928,448363,477003,478003,492142,515327,546967,546412,558210,593717,619624,665499,728631,714630
 "08003","Alamosa, CO",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10701,11502,11832,12239,11580,11515,12252,12073,11598,11557,11618,11870,12131,12344,12469,12846,12834,13146,13332,13712,13752,13602,13926,13790,13816,14071,14372,14367,14634,14730,14881,14954,14956,15114,15067,15217,15236,15196,15180,15300,15289,15519,15735,15723,15848,15877,15982,16153,16226,16378,16359,16377,16563,16592
 "08003","Alamosa, CO",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2725,2776,2987,3113,3630,4288,4744,5353,5897,6697,7199,8461,8903,9030,10219,10203,10806,11866,11551,11827,13221,14528,13961,14703,16659,17233,17907,19486,19334,21230,21296,22342,22762,24366,23287,24335,25409,25976,27561,29061,29036,28891,30315,30402,31054,32457,34224,33827,34402,36251,37877,40636,43991,43071
 "08005","Arapahoe, CO",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",759223,848588,994133,1163657,1374384,1573300,1803835,2052499,2352715,2807993,3329269,3959971,4655633,5244842,5738822,6361697,6919402,7260457,7603033,8109169,8899768,9598113,10110857,10842449,11639963,12605997,13472080,14639203,15409246,17107562,18539739,20899149,20820010,20808476,21175396,21029979,21703416,23647404,24891494,25161092,23780506,24797601,28160778,29423613,29971181,32493649,34057679,35335152,36021953,39833663,42156960,45295999,47612390,50041017
