GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3861604,4280227,4715749,5076234,5475156,5940540,6441509,6896452,7473637,8178547,9010792,10077804,11160071,12190681,13129739,14478946,15500638,16664058,17660666,19188836,21112112,22258085,22994690,24380703,25137413,25959619,26870733,27737182,29253092,30752335,32229153,34557361,35825197,36206993,37568153,39360815,40458025,42570927,44381482,47053508,47541413,49395685,51104140,52555514,53550426,55045291,57664494,58884683,62169109,63827583,66409599,71872858,76908017,76691886
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",1002205,1013516,1032144,1048398,1049503,1047128,1049948,1049207,1053458,1056853,1055597,1049655,1050241,1051837,1056987,1059667,1063163,1068337,1072322,1082132,1089770,1099799,1108165,1115545,1120741,1124133,1124591,1121940,1117526,1115796,1116339,1119276,1122911,1129147,1138397,1145577,1150801,1157169,1160579,1164170,1166714,1169567,1172483,1176204,1179751,1182223,1184250,1186056,1190292,1192517,1191021,1190588,1196822,1194635
 "89104","Albany-Schenectady, NY (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3853,4223,4569,4842,5217,5673,6135,6573,7094,7739,8536,9601,10626,11590,12422,13664,14580,15598,16470,17732,19373,20238,20750,21855,22429,23093,23894,24723,26177,27561,28870,30875,31904,32066,33001,34359,35156,36789,38241,40418,40748,42234,43586,44682,45391,46561,48693,49647,52230,53523,55759,60368,64260,64197
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1607425,1821846,2044949,2336549,2604750,2926196,3315850,3755178,4203631,4856142,5502983,6169350,6899809,7388794,8122205,9016374,9915860,10570505,11171888,11878923,12682142,13618877,14595164,15701838,16976457,18372153,19883305,20897816,22022058,23165055,23661938,25749449,27230693,28422130,29772768,31582228,33541141,36162915,37885015,39958751,39772589,40389042,42201657,42780434,42107767,44597954,46097087,47979661,48918581,50948479,54070088,58788302,64754542,66089105
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",498100,504448,523248,536587,558632,574666,588826,606418,626140,639377,658417,675420,686019,666598,681113,696232,710273,728853,747860,760009,772654,784981,802239,823782,846648,872413,897189,913427,926667,937029,945198,956641,966423,984906,1000840,1018994,1040389,1063230,1082623,1097162,1111613,1126630,1136398,1140702,1143673,1142544,1143563,1147338,1151290,1153967,1158291,1163548,1165333,1165564
 "89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3227,3612,3908,4354,4663,5092,5631,6192,6714,7595,8358,9134,10058,11084,11925,12950,13961,14503,14938,15630,16414,17349,18193,19061,20051,21059,22162,22878,23765,24722,25034,26917,28177,28858,29748,30994,32239,34012,34994,36420,35779,35849,37136,37504,36818,39034,40310,41818,42490,44151,46681,50525,55567,56701
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",540715,585596,623630,673545,744156,817493,899700,1000642,1102768,1216193,1346495,1446137,1567977,1639278,1702435,1806083,1924165,2032513,2112377,2242014,2432904,2572769,2701274,2886135,3029119,3161401,3272749,3454702,3631054,3801722,3964356,4132656,4236711,4349267,4503710,4740082,4905771,5084045,5381169,5615600,5681011,5853318,6162748,6210390,6163707,6381264,6663773,6743576,6929487,7263168,7469002,8158350,8757123,8618705
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",174621,174614,176193,178462,177311,177353,177286,176996,178072,178409,179185,178733,177808,178407,177606,176126,175678,175336,175566,175572,174450,174813,175552,175828,176668,177005,177002,176633,176239,175900,175324,174601,174065,173336,173150,172984,172501,172686,172850,172965,173057,173075,173138,172758,172062,171507,170703,169842,169372,168801,167783,166698,166118,164313
 "89107","Altoona-Huntingdon, PA (Combined Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3097,3354,3539,3774,4197,4609,5075,5653,6193,6817,7515,8091,8818,9188,9585,10254,10953,11592,12032,12770,13946,14717,15387,16415,17146,17861,18490,19559,20603,21613,22612,23669,24340,25092,26010,27402,28439,29441,31132,32467,32827,33820,35594,35948,35823,37207,39037,39705,40913,43028,44516,48941,52716,52453
 "89108","Amarillo-Pampa-Borger, TX (Combined Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",755023,807628,877216,932080,1073906,1171715,1458753,1580355,1733530,1956608,2213866,2440647,2841340,3158299,3417100,3626246,3783660,3767461,3785755,3912813,4061851,4233476,4344672,4620989,4895054,5116339,5395757,5610220,5985555,6249231,6365796,6654533,7263195,7451793,7750582,7874776,8450022,9087361,9723602,10889378,10405173,11283549,12063240,12418835,12641491,13217244,13164373,13011119,13518032,14041907,14823983,15979328,17220714,17474968
 "89108","Amarillo-Pampa-Borger, TX (Combined Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",222594,207668,211097,212922,211797,213028,216595,220328,224132,226832,233424,239867,244541,251925,255890,257510,256917,256635,253667,253229,251471,248885,250825,253271,257040,260550,266301,268954,270738,272238,274766,276455,276649,278244,280498,282436,285220,287781,290071,291985,295205,298328,301897,304256,305539,308117,308866,309561,310235,309965,310206,311606,312147,313204
