GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "10000","Delaware",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2441193,2599931,2844088,3124948,3462300,3747067,4029225,4403982,4741121,5201590,5718290,6434021,7083806,7621178,8132038,8954939,9723692,10349456,11139874,12247487,13621036,14370177,15216407,15849784,16458401,17157641,18157065,19406095,20306455,22475726,24116650,26586900,29374785,30360262,31071781,32271293,33073339,35003147,36211444,36462924,36610712,36980808,39760604,40122555,40677771,42422891,44626257,45928401,48077134,51150363,52740700,55338407,59172329,64406597
 "10000","Delaware",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899762,908169,916572,925599,935160,944596,953030,961499,971072,981297,992114,1004807,1018396
 "10000","Delaware",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4521,4724,5032,5446,5979,6426,6844,7430,7971,8696,9549,10815,11886,12720,13431,14643,15727,16492,17490,18912,20692,21462,22276,22808,23300,23912,24882,26190,27022,29444,31119,33810,36917,37660,37985,38843,39133,40736,41539,41254,41056,41101,43781,43775,43948,45364,47244,48192,50002,52674,53746,55778,58889,63243
 "10001","Kent, DE",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",299381,329298,366988,408579,456659,510034,562531,607527,649026,716082,771112,843044,949366,1025966,1090969,1192633,1286658,1388507,1491993,1637695,1798834,1913241,2034052,2143458,2208424,2312117,2465177,2641639,2696741,2935981,3149408,3449867,3480655,3707342,3963100,4298527,4504720,4862907,5107447,5291088,5545302,5576528,5866771,5944793,6151281,6376046,6519354,6845986,7182594,7543351,7971491,8398176,9092417,9569448
 "10001","Kent, DE",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",80668,82633,86628,89512,90286,91026,92521,94465,96264,98251,99166,98280,98317,99225,100953,101261,102818,104713,106263,106965,109052,111638,114288,115682,117987,119039,120715,121447,122419,124056,125611,127229,129228,131824,134605,139342,144585,149704,153969,157925,160081,162940,164997,167072,168711,171031,172605,173940,175786,177853,180255,182362,184371,186946
 "10001","Kent, DE",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3711,3985,4236,4565,5058,5603,6080,6431,6742,7288,7776,8578,9656,10340,10807,11778,12514,13260,14041,15311,16495,17138,17798,18529,18718,19423,20421,21751,22029,23667,25073,27115,26934,28123,29442,30849,31156,32483,33172,33504,34641,34224,35557,35582,36460,37280,37770,39358,40860,42413,44223,46052,49316,51188
 "10003","New Castle, DE",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1852561,1970847,2144881,2334212,2556144,2768293,2931313,3221263,3482374,3810995,4213848,4776868,5223711,5592766,5932589,6529324,7072133,7441994,8036231,8835273,9869994,10473582,11047929,11458071,11936348,12334849,13000039,13791384,14454197,16036708,17141173,18942740,21267450,21898912,21897215,22124946,22466586,23646680,24223545,23859623,23856365,24087342,26114830,25928662,25722462,26686408,27855744,28573059,29825559,31739200,32066740,33466625,34767059,38211010
 "10003","New Castle, DE",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",379718,386875,394660,399024,401606,402466,404722,404630,404013,404245,402160,398528,399323,401475,404700,408235,411518,416660,422474,430684,437788,443784,450843,457210,462245,468297,474435,479995,485166,490382,496079,501837,506026,510158,514769,518944,523343,527174,530555,533958,536898,538997,543064,546934,551357,554745,558446,561010,562840,565277,568200,570873,572714,575494
 "10003","New Castle, DE",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4879,5094,5435,5850,6365,6878,7243,7961,8619,9427,10478,11986,13081,13931,14659,15994,17185,17861,19022,20515,22545,23601,24505,25061,25823,26340,27401,28732,29792,32702,34553,37747,42028,42926,42538,42635,42929,44856,45657,44684,44434,44689,48088,47407,46653,48106,49881,50931,52991,56148,56436,58624,60706,66397
 "10005","Sussex, DE",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",289251,299786,332219,382157,449497,468740,535381,575192,609721,674513,733330,814109,910729,1002446,1108480,1232982,1364901,1518955,1611650,1774519,1952208,1983354,2134426,2248255,2313629,2510675,2691849,2973072,3155517,3503037,3826069,4194293,4626680,4754008,5211466,5847820,6102033,6493560,6880452,7312213,7209045,7316938,7779003,8249100,8804028,9360437,10251159,10509356,11068981,11867812,12702469,13473606,15312853,16626139
 "10005","Sussex, DE",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",79614,80824,83919,85285,87186,89658,91513,93660,94544,95692,97504,98111,98334,98448,99806,102069,103943,106186,108209,109972,111434,114145,117949,122033,126146,130209,134584,139535,143902,148897,153300,157307,160445,164187,168629,172517,177222,182390,187225,191991,194751,197825,200108,202566,205531,209384,213545,218080,222873,227942,232842,238879,247722,255956
 "10005","Sussex, DE",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3633,3709,3959,4481,5156,5228,5850,6141,6449,7049,7521,8298,9262,10182,11106,12080,13131,14305,14894,16136,17519,17376,18096,18423,18341,19282,20001,21307,21928,23527,24958,26663,28837,28955,30905,33897,34432,35603,36750,38086,37017,36987,38874,40723,42836,44705,48005,48190,49665,52065,54554,56403,61815,64957
"Note: See the included footnote file."
"CAINC1: County and MSA personal income summary: personal income, population, per capita personal income "
"Last updated: November 16, 2023-- new statistics for 2022; revised statistics for 1979-2021."
"U.S. Bureau of Economic Analysis"
