GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "12000","Florida",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",25004933,28276202,31756352,36549964,42578343,47883133,52167930,57012352,63844262,73633283,84679438,99906516,115554486,124862111,138140276,153545389,168155204,181983464,195918080,216350658,240834946,257601057,268849056,284090313,301152003,317382636,341123138,363064761,385679172,416721537,435930396,471588082,497335404,514288810,540366333,587003015,637602753,690506134,719734158,725995008,685982844,730690145,769798435,794071056,794604073,848535336,905450458,938985637,1011002173,1078010586,1145460767,1221121559,1376879460,1441598918
 "12000","Florida",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18842884,19039100,19271885,19507621,19795405,20145580,20537931,20871785,21133562,21354519,21589602,21828069,22244823
 "12000","Florida",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3765,4131,4433,4860,5371,5757,6107,6557,7182,8064,8941,10153,11337,11924,12850,13908,14814,15597,16330,17580,19057,19765,20109,20812,21623,22289,23464,24443,25397,26909,27662,29387,30405,30815,31779,33706,35736,38009,39184,39185,36777,38778,40433,41204,40733,42865,44945,45720,48439,51009,53640,56561,63078,64806
 "12001","Alachua, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",300282,346661,398131,473571,557119,627768,700396,760890,836646,956871,1078065,1246179,1420063,1563877,1737874,1959840,2167596,2320419,2489882,2723118,3006051,3217786,3388527,3575075,3784137,3971253,4232811,4419282,4675623,4965791,5156265,5481047,5801982,5976222,6193663,6857493,7372272,7940168,8345578,8700238,8421868,8792539,9139530,9148337,9210631,9705972,10139808,10532439,11236264,11921072,12534482,13331166,14665785,14938197
 "12001","Alachua, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",100980,105140,108877,119784,125910,131232,132638,132788,137370,142724,146021,152223,155355,159113,161884,165452,169515,171732,174529,176874,179549,182723,188259,193494,197336,198919,203700,206601,210096,212707,215847,218611,221718,224614,227022,229867,233756,239506,242685,244888,246657,247790,250719,253121,254797,258537,262891,268595,271736,275214,276272,279742,281817,284030
 "12001","Alachua, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2974,3297,3657,3954,4425,4784,5281,5730,6090,6704,7383,8187,9141,9829,10735,11845,12787,13512,14266,15396,16742,17610,17999,18476,19176,19964,20780,21390,22255,23346,23889,25072,26168,26607,27282,29832,31538,33152,34389,35527,34144,35484,36453,36142,36149,37542,38570,39213,41350,43316,45370,47655,52040,52594
 "12003","Baker, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",24148,26727,30207,36134,43229,48216,55759,61915,68916,79074,89070,101243,114615,132086,144288,162719,173237,186651,200997,219901,236127,254990,265681,279127,294424,308441,326713,347411,367776,388359,419049,446797,478245,503668,537590,573995,601942,640786,679835,689272,674584,703305,720127,728280,740848,762288,803172,850119,899974,933027,979370,1098394,1206199,1244548
 "12003","Baker, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",9064,9304,9745,10544,11242,12367,12934,13250,14066,14569,15059,15389,15765,15985,16325,16400,16573,16959,17232,17618,18182,18594,19262,19567,19924,20034,20482,20965,21294,21232,21575,22374,22620,23298,23555,24142,24832,25571,26212,26725,27124,27038,26913,26804,26642,26643,26760,27180,27407,27414,28172,28115,28673,27803
 "12003","Baker, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2664,2873,3100,3427,3845,3899,4311,4673,4899,5428,5915,6579,7270,8263,8838,9922,10453,11006,11664,12482,12987,13714,13793,14265,14777,15396,15951,16571,17271,18291,19423,19969,21143,21619,22823,23776,24241,25059,25936,25791,24870,26012,26758,27171,27808,28611,30014,31277,32837,34035,34764,39068,42067,44763
 "12005","Bay, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",228539,266684,296150,328489,375372,428739,480586,541800,588134,676419,745777,856035,980542,1076598,1182641,1336541,1462185,1580779,1650964,1794539,1941628,2110885,2274339,2425504,2594090,2694946,2920040,3073069,3234386,3400183,3511871,3654873,4016435,4261354,4570655,4910340,5305347,5681931,5915870,6118020,5968923,6288567,6453325,6489950,6546238,6890938,7278242,7494033,7614967,7938513,8115966,8737281,9807417,10046785
 "12005","Bay, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",73881,75685,78060,79749,81835,86559,89167,91847,93418,94759,97516,98318,100445,103904,106027,109256,113707,118149,121417,123857,125703,127323,130000,133432,137127,139636,142101,144826,146651,147011,148149,148393,150207,152741,155044,158804,162917,165644,165345,166267,167464,169286,169970,172518,175733,179809,183408,185851,187276,189354,176830,174506,179498,185134
 "12005","Bay, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3093,3524,3794,4119,4587,4953,5390,5899,6296,7138,7648,8707,9762,10361,11154,12233,12859,13380,13597,14489,15446,16579,17495,18178,18917,19300,20549,21219,22055,23129,23705,24630,26739,27899,29480,30921,32565,34302,35779,36796,35643,37148,37967,37619,37251,38324,39683,40323,40662,41924,45897,50069,54638,54268
 "12007","Bradford, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",32285,35689,40910,48778,58273,64298,73025,80133,87856,98446,110861,127160,144911,161578,176504,196351,206581,219630,228534,245938,263628,277494,289608,315708,331160,354968,378556,416001,449876,490888,474581,507433,515651,531317,555561,579927,605025,626665,646336,661426,682613,721742,751516,758408,774135,795792,828850,835278,890285,928237,964272,1057441,1126010,1134893
 "12007","Bradford, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",14465,14695,15264,15451,15931,16411,17294,17648,18320,18846,19242,20106,20402,21151,22658,22496,22629,22369,22459,22355,22502,22605,23243,23599,23742,24545,24534,25042,25537,25892,25887,26064,26083,26306,27035,27703,28098,28506,28825,28961,28979,28530,28403,27006,26739,26478,26654,26631,27011,27588,28153,28224,28050,27313
 "12007","Bradford, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2232,2429,2680,3157,3658,3918,4223,4541,4796,5224,5761,6324,7103,7639,7790,8728,9129,9818,10176,11001,11716,12276,12460,13378,13948,14462,15430,16612,17617,18959,18333,19469,19770,20198,20550,20934,21533,21984,22423,22839,23555,25298,26459,28083,28952,30055,31097,31365,32960,33646,34251,37466,40143,41551
 "12009","Brevard, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",979451,960656,997539,1098130,1214884,1288875,1425801,1545551,1722462,2011797,2363064,2825225,3257048,3577651,3983783,4524963,5013003,5345421,5740106,6365615,7143726,7626878,8031831,8557784,8918792,9289346,9779448,10202518,10952087,11589494,12028794,13245501,13869100,14323236,15257255,16389627,17546494,18750372,19504937,20123786,19373090,20183284,20957599,20908217,20869883,21684068,23078249,23952989,25556036,27177629,28921629,31173262,34552679,35833890
 "12009","Brevard, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",219003,229660,231701,230503,238222,238464,241241,240791,241451,251031,263038,275664,285963,299098,310006,322780,336935,349183,359628,371547,384423,403209,415512,425584,436282,444198,451310,455889,461686,467624,472138,477819,486429,495425,504847,518722,529907,535138,539719,542378,542109,543996,544420,547074,550410,555747,566018,577242,588002,594787,600836,608713,617742,630693
 "12009","Brevard, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4472,4183,4305,4764,5100,5405,5910,6419,7134,8014,8984,10249,11390,11961,12851,14019,14878,15308,15961,17133,18583,18915,19330,20108,20443,20913,21669,22379,23722,24784,25477,27721,28512,28911,30222,31596,33112,35038,36139,37103,35737,37102,38495,38218,37917,39018,40773,41496,43462,45693,48136,51212,55934,56817
 "12011","Broward, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2675154,3118538,3520434,4089819,4924591,5644813,6065120,6676281,7645626,8937143,10450653,12497307,14479457,15267015,16621204,18387400,19847410,21285220,22783336,24852673,27646801,29342383,29978440,31462961,33682517,35402430,37969064,40167949,42037667,45596733,47419493,51104226,53884143,55762224,57780964,61409000,65920630,69431893,71586200,70204806,66788322,71969263,74673005,76214206,75353173,80216653,86301314,88402346,93005061,97821480,104064951,108977966,123536513,128520356
 "12011","Broward, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",595651,627868,668172,709571,767161,840565,869237,884654,907017,942583,986452,1026062,1055347,1076762,1095086,1110862,1132921,1154494,1180921,1208428,1233040,1263301,1296261,1325375,1372526,1412641,1447124,1481333,1522179,1560649,1594130,1630600,1662848,1690118,1707543,1725461,1746896,1739348,1720825,1723633,1733310,1752499,1785333,1811227,1832126,1854974,1877572,1904286,1924809,1935302,1941218,1943266,1935729,1947026
 "12011","Broward, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4491,4967,5269,5764,6419,6715,6978,7547,8429,9482,10594,12180,13720,14179,15178,16552,17519,18437,19293,20566,22422,23227,23127,23739,24541,25061,26238,27116,27617,29217,29746,31341,32405,32993,33839,35590,37736,39918,41600,40731,38532,41067,41826,42079,41129,43244,45964,46423,48319,50546,53608,56080,63819,66009
 "12013","Calhoun, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",15467,16864,18391,20756,24754,28053,31588,33438,36272,44331,48965,51274,57040,60444,65120,72371,76782,82835,90364,106698,113361,127631,133657,141294,147771,158107,169679,181113,190127,195556,213477,216130,234467,237565,250581,256465,275474,283442,298615,313338,320435,340741,347690,342992,337110,349515,355025,359694,380360,400011,415135,453500,491498,488616
 "12013","Calhoun, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",7657,7627,7719,8050,7924,7988,8331,8652,8788,8907,9096,9292,9270,9214,9427,9513,9610,9644,9812,10286,10942,11044,11317,11380,11456,11841,11984,12650,12582,12564,12795,13040,12847,12947,13293,13445,13850,13997,14222,14351,14692,14645,14666,14567,14430,14259,14170,14059,14129,14210,13725,13703,13514,13464
 "12013","Calhoun, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2020,2211,2383,2578,3124,3512,3792,3865,4127,4977,5383,5518,6153,6560,6908,7608,7990,8589,9210,10373,10360,11557,11810,12416,12899,13353,14159,14317,15111,15565,16684,16574,18251,18349,18851,19075,19890,20250,20997,21834,21810,23267,23707,23546,23362,24512,25055,25585,26921,28150,30247,33095,36370,36291
 "12015","Charlotte, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",87588,104816,123756,154008,187787,215874,241617,278804,330545,400771,470291,580479,694583,748502,846021,983453,1116272,1243338,1364712,1573567,1871026,2023054,2098325,2222228,2344657,2524798,2702081,2872871,3092300,3323738,3456826,3724005,3918592,3970107,4162618,4534951,4794651,5133557,5353155,5330375,5050645,5186569,5380929,5619410,5730459,6119101,6556103,6962398,7295387,7687884,8387816,9103928,10288088,10786996
 "12015","Charlotte, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",26456,27977,30046,32364,36771,41468,43796,44299,47062,50945,55299,59472,63412,67961,71524,76183,80886,86079,91745,97247,104050,112821,117813,120861,124134,127434,130731,132587,134959,137598,140240,142266,146311,150123,153235,157755,155262,157099,159742,160467,159629,159762,159248,161596,162986,165789,169546,174293,177556,180069,183791,188013,194934,202661
 "12015","Charlotte, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3311,3747,4119,4759,5107,5206,5517,6294,7024,7867,8505,9761,10953,11014,11828,12909,13801,14444,14875,16181,17982,17932,17811,18387,18888,19813,20669,21668,22913,24155,24649,26176,26783,26446,27165,28747,30881,32677,33511,33218,31640,32464,33790,34774,35159,36909,38669,39947,41088,42694,45638,48422,52777,53227
 "12017","Citrus, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",51694,63421,76322,95300,128831,143423,166390,184511,214481,259922,317450,396146,484741,546553,619395,758396,891501,964530,1054454,1173437,1330522,1429451,1517186,1608444,1696549,1815813,1896356,2013981,2163034,2315838,2462793,2662103,2829759,2932489,3104508,3295172,3619586,3938101,4194839,4311935,4255161,4432186,4522086,4564074,4624117,4757839,4993995,5119969,5330024,5598283,5913372,6430151,7179333,7367510
 "12017","Citrus, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",18357,19799,22680,26906,33646,37239,39855,41261,45432,48361,51586,55719,59678,62938,66850,71051,74724,79104,83112,86021,89607,94645,97569,100210,101978,104429,107581,109954,111972,114344,116634,118649,121197,123491,126215,129840,133791,137826,140974,142122,141381,141210,139943,139503,139304,139450,141075,143811,146591,149044,151440,154565,158113,162529
 "12017","Citrus, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2816,3203,3365,3542,3829,3851,4175,4472,4721,5375,6154,7110,8123,8684,9265,10674,11931,12193,12687,13641,14848,15103,15550,16051,16636,17388,17627,18317,19318,20253,21116,22437,23348,23747,24597,25379,27054,28573,29756,30340,30097,31387,32314,32717,33194,34119,35400,35602,36360,37561,39048,41602,45406,45330
 "12019","Clay, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",122979,139738,166982,199768,235554,285045,336653,382418,439180,505091,571549,679864,792755,892516,995503,1147082,1295235,1430209,1561335,1710207,1860952,2047454,2134059,2260071,2401821,2556548,2749602,2990066,3172325,3432932,3558691,3870988,4130697,4388098,4767598,5120945,5581608,6050340,6433544,6636342,6402253,6596901,6927010,7100830,7217454,7614346,8080349,8545265,8911576,9303548,9716554,10468337,11754540,12166702
 "12019","Clay, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",30222,32502,34614,37490,41999,48107,50081,52709,56600,60809,64339,67815,70740,73798,76830,81864,87109,91332,95726,99458,103161,106752,109721,113267,116001,119236,122772,127459,131984,135531,138704,141629,145685,150947,155620,163238,169418,178339,184256,187289,189101,191392,192028,193351,194918,197608,201193,205745,210415,213629,216441,218933,222533,226589
 "12019","Clay, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4069,4299,4824,5329,5609,5925,6722,7255,7759,8306,8883,10025,11207,12094,12957,14012,14869,15659,16310,17195,18039,19180,19450,19953,20705,21441,22396,23459,24036,25329,25657,27332,28354,29070,30636,31371,32946,33926,34916,35434,33856,34468,36073,36725,37028,38533,40162,41533,42352,43550,44892,47815,52822,53695
 "12021","Collier, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",175467,208518,248158,290752,368203,426924,456499,523920,620590,756148,893339,1083586,1332445,1437053,1646721,1889666,2109939,2389939,2731214,3373068,3852124,4153976,4657039,5237628,5673488,6246230,6778920,7467388,8341083,9323994,9981131,10777335,12212766,12757520,13563750,15591751,17741863,20309693,21220889,21343560,18368991,20306964,21255653,23729762,23286392,26246129,28935924,30423335,33281822,37355366,39600011,41877033,48804286,52200912
 "12021","Collier, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",35453,38874,42683,49144,54757,58396,63602,66125,69404,74844,81890,87504,93473,99902,104265,110105,115584,121311,127921,135413,144790,154568,163988,172077,181288,191132,199639,209205,220923,233371,245094,254015,264240,275490,285321,296021,307452,312621,314437,316641,318485,322255,326042,329357,334760,341555,348897,356874,362634,366385,371939,377293,387241,397994
 "12021","Collier, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4949,5364,5814,5916,6724,7311,7177,7923,8942,10103,10909,12383,14255,14385,15794,17162,18255,19701,21351,24909,26605,26875,28399,30438,31295,32680,33956,35694,37756,39954,40724,42428,46218,46308,47539,52671,57706,64966,67489,67406,57676,63015,65193,72049,69561,76843,82935,85250,91778,101957,106469,110993,126031,131160
 "12023","Columbia, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",70044,74412,87479,100169,118338,130128,146069,158413,174865,207391,237800,270148,302428,329552,360307,402127,424032,451824,471528,516423,564899,599291,628086,674971,724375,770318,841197,903999,952043,1014231,1044561,1095134,1223569,1278551,1325216,1439498,1566135,1668460,1783819,1841188,1801907,1930748,2004983,1980265,1964586,2060656,2161079,2220444,2339120,2446334,2549164,2786225,3075087,3105848
 "12023","Columbia, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",24799,25366,26336,27595,28557,29406,30597,31126,31903,33091,34477,35646,36571,37104,37599,38564,39312,39847,40115,40613,41892,42861,43715,44654,46313,48598,50383,51706,52925,54275,55445,56571,57040,57930,59395,60804,63109,65890,66604,67318,67412,67495,67012,67332,66626,66749,66946,67694,68172,68564,69322,69737,69902,71908
 "12023","Columbia, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2824,2934,3322,3630,4144,4425,4774,5089,5481,6267,6897,7579,8270,8882,9583,10428,10786,11339,11754,12716,13485,13982,14368,15116,15641,15851,16696,17483,17989,18687,18840,19359,21451,22071,22312,23674,24816,25322,26782,27351,26730,28606,29920,29410,29487,30872,32281,32801,34312,35680,36773,39953,43991,43192
 "12027","DeSoto, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",36124,39386,44274,52399,64119,69578,77135,84142,94791,113166,126715,146388,153981,165769,182398,201780,222469,241541,269664,320678,348702,362368,410380,409068,430252,453087,466220,477502,497233,546348,544724,552935,562979,563815,576381,618572,670321,713477,718944,713387,712093,774344,788929,764792,764414,803985,845989,848690,882944,893702,950016,1042810,1141445,1161519
 "12027","DeSoto, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13100,13242,14105,14448,15113,16901,17343,17496,17682,17969,18550,19172,19669,20230,20528,21055,21405,21731,22319,22851,23516,24094,25266,25773,26728,27693,28578,28974,29830,30404,31353,32196,32402,32446,33271,33895,33864,34300,34537,34374,34592,34831,34333,34077,33578,33589,33484,33628,34084,33652,33877,34087,34340,35312
 "12027","DeSoto, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2758,2974,3139,3627,4243,4117,4448,4809,5361,6298,6831,7636,7829,8194,8885,9583,10393,11115,12082,14033,14828,15040,16242,15872,16097,16361,16314,16480,16669,17970,17374,17174,17375,17377,17324,18250,19795,20801,20817,20754,20585,22231,22979,22443,22765,23936,25265,25238,25905,26557,28043,30593,33240,32893
 "12029","Dixie, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",12523,14012,15448,17574,20123,22718,24822,27388,29973,34569,40026,46464,53069,58379,66708,71927,78184,83108,91399,101923,115937,123734,124873,134506,149101,159158,171320,181412,188547,201997,208797,219836,239926,249540,254252,274806,297553,310407,324729,335874,342994,358542,366500,375849,378902,397355,415763,421495,456815,473583,489128,551081,600796,601705
 "12029","Dixie, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",5364,5470,5505,5815,5922,6242,6637,6779,6794,7107,7419,7783,7901,8257,8718,8812,8925,9155,9508,9746,10243,10674,11099,11397,11638,12021,12495,12789,13262,13497,13702,13758,14033,14234,14364,14825,15427,15892,16083,16214,16403,16393,16374,16100,16010,15944,16231,16309,16439,16498,16668,16690,16905,17124
 "12029","Dixie, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2335,2562,2806,3022,3398,3640,3740,4040,4412,4864,5395,5970,6717,7070,7652,8162,8760,9078,9613,10458,11319,11592,11251,11802,12812,13240,13711,14185,14217,14966,15238,15979,17097,17531,17701,18537,19288,19532,20191,20715,20910,21872,22383,23345,23667,24922,25615,25844,27788,28705,29345,33019,35540,35138
 "12031","Duval, FL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1971125,2204994,2415047,2692972,2986539,3341979,3619694,3832069,4147258,4596147,5004105,5655448,6389720,6929582,7529477,8418901,9176851,9890472,10587313,11353713,12351421,13243569,13703723,14390643,15173919,15927964,17045056,18151934,19178510,20686915,21390268,23281527,23640449,24464715,25916305,27111654,28937629,31100365,31960773,32049678,30507769,31852755,33315082,34274702,34329122,35752345,37767594,38980102,41782284,43431302,46119311,49788119,55468854,57096971
 "12031","Duval, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",529484,529538,536027,541137,545859,562668,558698,560478,559278,562212,561155,573170,580759,587011,595612,606837,619897,635890,648789,661513,659500,677746,693469,707797,711693,717206,724468,744682,757842,766249,773150,779800,790681,800532,809633,820070,828988,842098,851033,855437,859795,866298,875742,886277,894905,908529,925470,944473,959684,974125,986724,997604,1002252,1016536
 "12031","Duval, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3723,4164,4505,4977,5471,5940,6479,6837,7415,8175,8918,9867,11002,11805,12642,13873,14804,15554,16319,17163,18728,19541,19761,20332,21321,22208,23528,24375,25307,26998,27666,29856,29899,30561,32010,33060,34907,36932,37555,37466,35483,36769,38042,38673,38361,39352,40809,41272,43538,44585,46740,49908,55344,56168
