GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "17000","Illinois",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",48484524,51524271,55317370,60029922,66967657,73216354,79866258,86832272,95459667,105341668,115574101,125258218,138770536,146908425,153072750,168502732,177117004,186323024,196407522,212484844,226699892,240791660,246145686,265619959,275147851,289797793,307441781,326997896,345582150,366594082,382605269,411220857,427182371,432381648,440480118,457834274,475646220,506021647,535102563,551159732,525793939,540880933,568230348,593814193,605681569,629464961,657080243,664686807,685632726,722686574,741717231,787487784,853520944,851243089
 "17000","Illinois",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",11039000,11124681,11205816,11258111,11260248,11273745,11306351,11360274,11406312,11434421,11422782,11434702,11443461,11423413,11408817,11412128,11399803,11387256,11391176,11390186,11409782,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12845511,12892740,12928106,12960987,12970348,12964764,12946698,12924504,12888646,12850150,12786580,12686469,12582032
 "17000","Illinois",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4392,4632,4936,5332,5947,6494,7064,7644,8369,9213,10118,10954,12127,12860,13417,14765,15537,16362,17242,18655,19869,21024,21276,22714,23299,24327,25602,27020,28360,29873,30958,33072,34206,34520,35081,36366,37720,40021,42148,43238,41088,42107,44074,45932,46731,48531,50682,51340,53049,56072,57721,61587,67278,67655
 "17001","Adams, IL",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",254479,271131,302335,334037,385498,400075,446121,473878,510360,556895,623266,662915,733927,793638,803076,866625,885930,909844,935248,1007147,1056102,1102824,1131949,1214209,1244200,1334902,1397868,1479052,1535876,1603738,1619507,1715477,1787051,1830580,1909732,1998388,1992755,2084365,2207027,2344744,2332798,2436935,2530271,2621749,2631488,2696300,2779641,2829332,2896250,3020211,3075858,3371833,3653183,3638723
 "17001","Adams, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",70840,70696,70526,71906,72739,72721,72325,71944,71281,71637,71274,71588,71325,71174,70392,69501,68547,67405,66829,66691,66356,66109,66689,66920,67558,68394,68636,68680,68715,68681,68430,68183,68014,67776,67267,66818,66920,67106,66943,66943,67039,67178,67312,67325,67258,67313,67257,66971,66628,66230,66102,65612,65146,64725
 "17001","Adams, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3592,3835,4287,4645,5300,5502,6168,6587,7160,7774,8745,9260,10290,11151,11409,12469,12924,13498,13995,15102,15916,16682,16974,18144,18417,19518,20366,21535,22351,23351,23667,25160,26275,27009,28390,29908,29778,31061,32969,35026,34798,36276,37590,38942,39125,40056,41329,42247,43469,45602,46532,51390,56077,56218
 "17003","Alexander, IL",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",30459,32288,36269,38505,41923,49242,57674,62403,66913,68691,76096,81100,89781,97839,104845,108896,116084,110344,112465,116415,126957,123785,130469,139383,140683,142175,146969,154844,159969,160695,163241,168609,169868,174353,177719,183790,184182,185117,192975,203867,207541,218269,209350,200638,213215,206121,208190,203117,206836,208535,218358,237736,250379,236784
 "17003","Alexander, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",12442,12010,12173,12253,12311,12094,12379,12746,12624,12219,12285,12280,12323,12056,11948,11945,11677,11415,11342,11137,10776,10579,10518,10452,10265,10053,9989,9889,9659,9632,9621,9684,9592,9592,9254,9186,8914,8730,8552,8461,8295,8193,7934,7618,7103,6906,6554,6211,6010,5752,5479,5173,5032,4858
 "17003","Alexander, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2448,2688,2979,3142,3405,4072,4659,4896,5300,5622,6194,6604,7286,8115,8775,9116,9941,9667,9916,10453,11781,11701,12404,13336,13705,14143,14713,15658,16562,16683,16967,17411,17709,18177,19205,20008,20662,21205,22565,24095,25020,26641,26386,26337,30018,29847,31765,32703,34415,36254,39854,45957,49757,48741
 "17005","Bond, IL",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",45517,48484,53320,61087,72857,75911,90714,97849,108379,115459,129199,130816,149623,156191,156630,177476,179343,186955,193403,205698,218894,223282,227152,254272,268521,294802,306508,328855,348001,365232,393207,418066,443982,442358,454275,479019,471830,488349,484275,510423,504473,526131,543559,538440,547612,537637,550020,564707,577828,608760,632875,684746,755091,751538
