GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "20000","Kansas",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",8194786,8892704,9654247,10763347,12266343,13261982,14487553,15746176,17182123,19014323,21715605,23879567,27038402,29313486,30554631,33489207,35247414,36949919,38509616,40671323,43063175,45745098,47367288,50913093,53268143,55684199,58056283,61821009,65703526,69711156,71968566,75870788,78490814,79285369,81768184,84076942,88783995,97838942,105082598,115298320,111558901,113842966,123198911,129849699,132518967,134773890,136189131,136753558,141311803,147407425,152926216,161704652,172070983,177474668
 "20000","Kansas",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2236000,2247823,2246132,2255525,2264369,2267881,2278621,2298645,2317836,2332815,2347370,2369039,2384853,2401207,2415529,2424088,2427401,2432614,2445367,2461995,2472838,2481349,2498722,2532394,2556547,2580513,2601007,2614554,2635292,2660598,2678338,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858822,2872476,2891101,2901661,2911506,2922671,2927230,2927419,2931572,2933747,2937919,2937922,2937150
 "20000","Kansas",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3665,3956,4298,4772,5417,5848,6358,6850,7413,8151,9251,10080,11338,12208,12649,13815,14521,15189,15748,16520,17414,18436,18957,20105,20836,21579,22321,23645,24932,26201,26871,28166,29047,29218,30029,30748,32340,35411,37748,41060,39382,39822,42889,44914,45670,46290,46597,46718,48272,50283,52127,55041,58569,60424
 "20001","Allen, KS",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",43748,47499,53549,61355,70150,58669,81106,88090,100352,103027,115481,125937,143373,153588,162638,174814,183009,175524,180872,184019,199429,206029,213923,228923,228571,246834,251582,275276,290364,295080,295122,302475,348623,343037,365462,373881,361254,370481,399381,443579,448085,446151,457324,457181,460407,454974,460124,458313,463537,489805,524439,557713,605841,587764
 "20001","Allen, KS",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",15076,15055,15101,15293,15517,15415,15292,15436,15695,15699,15796,15650,15616,15637,15824,15865,15484,15168,14787,14518,14644,14640,14645,14697,14693,14721,14667,14677,14500,14551,14444,14393,14171,14110,13940,13923,13733,13639,13545,13422,13407,13367,13367,13337,13112,12950,12754,12756,12647,12616,12533,12532,12526,12579
 "20001","Allen, KS",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2902,3155,3546,4012,4521,3806,5304,5707,6394,6563,7311,8047,9181,9822,10278,11019,11819,11572,12232,12675,13618,14073,14607,15576,15556,16767,17153,18756,20025,20279,20432,21015,24601,24312,26217,26853,26306,27163,29485,33049,33422,33377,34213,34279,35113,35133,36077,35929,36652,38824,41845,44503,48367,46726
 "20003","Anderson, KS",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",23560,22558,28290,32686,38186,38908,43725,46243,57961,52228,66248,68140,83347,84742,83528,95991,100412,95781,102806,99815,107768,103258,101921,121306,114179,125206,124348,146123,160553,154722,156695,171998,187542,184811,190186,194980,201776,217649,241976,266920,259446,248888,277984,290372,287784,274158,284909,286092,289565,297167,314513,351233,425599,366989
 "20003","Anderson, KS",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",8484,8490,8471,8647,8650,8557,8525,8501,8578,8608,8717,8705,8521,8508,8582,8465,8113,7958,7888,7838,7923,7778,7756,7863,7851,7831,7970,7985,8047,8040,8144,8091,8195,8143,8190,8101,8087,8023,8040,8158,8101,8103,8054,7904,7829,7848,7777,7770,7783,7782,7813,7843,7800,7776
 "20003","Anderson, KS",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2777,2657,3340,3780,4415,4547,5129,5440,6757,6067,7600,7828,9781,9960,9733,11340,12377,12036,13033,12735,13602,13276,13141,15427,14543,15989,15602,18300,19952,19244,19241,21258,22885,22696,23222,24069,24951,27128,30097,32719,32026,30716,34515,36737,36759,34933,36635,36820,37205,38186,40255,44783,54564,47195
 "20005","Atchison, KS",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",56496,61892,66998,75715,84881,95042,101727,107130,116333,125657,140764,144808,164858,172822,169830,186850,203907,201354,211361,222238,233666,242213,247198,272869,271473,295056,287211,304112,314712,333389,336552,352476,373104,376451,386810,409604,427761,455564,478652,512181,503010,506505,543859,522354,532512,536359,553687,569439,594215,609602,627975,684515,724379,691194
 "20005","Atchison, KS",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",19286,19168,19286,18810,18941,18998,18867,18747,18434,18231,18417,18401,18390,18213,17765,17579,17446,17274,17175,17141,17094,16904,16825,16838,16936,16780,16775,16786,16774,16797,16823,16796,16868,16823,16875,16937,16865,16902,16864,16820,16965,16862,16794,16846,16793,16659,16583,16559,16531,16444,16408,16318,16257,16108
 "20005","Atchison, KS",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2929,3229,3474,4025,4481,5003,5392,5715,6311,6892,7643,7870,8965,9489,9560,10629,11688,11656,12306,12965,13669,14329,14692,16206,16029,17584,17121,18117,18762,19848,20005,20986,22119,22377,22922,24184,25364,26953,28383,30451,29650,30038,32384,31008,31710,32196,33389,34388,35945,37071,38272,41948,44558,42910
 "20007","Barber, KS",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",25781,26016,31171,36091,41046,43486,44082,46634,48244,52781,61698,69685,81585,93279,94197,101533,93857,94543,87608,89726,89753,92110,86860,93691,96228,99266,95758,100968,106049,110727,109105,113597,124944,126360,151121,141188,150880,163970,161334,192875,169202,189079,215776,231894,240046,239044,191668,177582,176056,189482,189681,209169,222693,208239
 "20007","Barber, KS",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",7134,6944,6726,6870,6900,6884,6992,6971,6921,6715,6596,6550,6555,6744,6891,6879,6784,6597,6196,6080,5965,5866,5764,5687,5653,5642,5616,5511,5450,5407,5331,5292,5158,5088,5049,5004,4984,5003,4927,4844,4882,4848,4900,4827,4851,4807,4733,4568,4451,4331,4312,4203,4099,4122
 "20007","Barber, KS",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3614,3747,4634,5253,5949,6317,6305,6690,6971,7860,9354,10639,12446,13831,13670,14760,13835,14331,14139,14758,15047,15702,15069,16475,17022,17594,17051,18321,19459,20478,20466,21466,24223,24835,29931,28215,30273,32774,32745,39817,34658,39001,44036,48041,49484,49728,40496,38875,39554,43750,43989,49767,54329,50519
 "20009","Barton, KS",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",107633,123625,134672,145668,169263,188187,193063,210562,229637,253235,284841,328973,397741,431319,433905,468314,461533,433557,444274,445618,466635,495037,501138,519522,544853,549111,566321,599532,627834,645958,641281,673618,702874,718992,748057,767358,825887,919637,973374,1192561,1045516,1096713,1227514,1295067,1285387,1364287,1233430,1176641,1152578,1151398,1247810,1290658,1339513,1386180
