GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "22000","Louisiana",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",10765877,11663035,12715230,13912080,15528477,17651808,19875142,22415528,25031404,28630805,32475032,37374092,43061071,46351425,48426165,51456385,53604870,53664957,53761175,56826716,60255953,64855002,68440395,73201408,76792104,81800589,85828363,89603979,94201468,98863548,101157727,106907698,114767385,118194270,122009868,127386860,137162443,144684366,158432952,170008643,165305617,173007343,178350916,187190681,189741336,197729803,198425901,197411933,203454869,212320756,219278027,233715013,252319196,250170566
 "22000","Louisiana",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3619000,3650209,3710666,3761967,3788840,3820720,3886963,3951636,4015582,4073288,4139316,4223101,4283297,4352609,4395311,4400474,4408113,4406922,4344151,4288859,4252896,4221532,4253279,4293003,4316428,4347481,4378779,4398877,4421071,4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544800,4577075,4603574,4628228,4648811,4670563,4685605,4678606,4670052,4664558,4651664,4627098,4590241
 "22000","Louisiana",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2975,3195,3427,3698,4098,4620,5113,5672,6234,7029,7846,8850,10053,10649,11018,11693,12161,12177,12376,13250,14168,15363,16091,17051,17791,18816,19601,20370,21307,22265,22677,23907,25630,26281,26987,27983,29970,33627,36208,38328,36803,38067,38966,40662,40997,42533,42484,42132,43486,45464,47009,50243,54531,54501
 "22001","Acadia, LA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",113761,124885,134386,149067,183561,208404,233919,237840,269294,298090,347144,404647,478431,549159,558473,575589,602452,573641,543535,592540,615925,662236,705062,737960,796091,846546,896425,935295,1013707,1087975,1080527,1154425,1243067,1280246,1331188,1356653,1465921,1591227,1719412,1958803,1943446,1994618,2075728,2150084,2252973,2319609,2212001,2117502,2175702,2289430,2297185,2525821,2642988,2591557
 "22001","Acadia, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",51852,52167,52506,52621,52760,52688,53131,53770,53809,54374,55402,56631,57345,58557,59133,58754,59018,59176,58328,57342,56783,55741,56237,56357,56885,56992,57473,58064,58218,58501,58762,58795,58844,59065,59194,59223,59524,60522,60762,61115,61451,61765,61314,61002,60858,60777,60351,60039,59367,58686,58159,57472,57262,56744
 "22001","Acadia, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2194,2394,2559,2833,3479,3955,4403,4423,5005,5482,6266,7145,8343,9378,9444,9797,10208,9694,9319,10333,10847,11881,12537,13094,13995,14854,15597,16108,17412,18598,18388,19635,21125,21675,22489,22908,24627,26292,28297,32051,31626,32294,33854,35246,37020,38166,36652,35269,36648,39012,39498,43949,46156,45671
 "22003","Allen, LA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",45712,50438,57418,60048,72030,76180,80007,86585,97003,107679,124338,135761,150283,154007,162762,168235,176412,177839,177522,189570,201047,215374,234357,249603,269304,287124,333133,345366,361644,381714,404918,424387,437270,454364,478064,505751,540617,572099,607584,675207,704006,691978,702390,724071,735618,743003,746710,770341,806509,859571,891086,942305,964845,948727
 "22003","Allen, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",20681,20811,21006,21103,20768,20560,20662,20748,20918,21039,21160,21391,21288,21709,21710,21514,21577,21659,22592,21174,21384,21232,21968,22822,23510,23792,24246,24687,24605,25114,25364,25401,25399,25194,25327,25338,25076,25692,25937,25854,25863,25633,25386,24987,24751,24526,24181,23974,23615,23300,23095,22684,22604,22320
 "22003","Allen, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2210,2424,2733,2845,3468,3705,3872,4173,4637,5118,5876,6347,7060,7094,7497,7820,8176,8211,7858,8953,9402,10144,10668,10937,11455,12068,13740,13990,14698,15199,15964,16707,17216,18035,18876,19960,21559,22268,23425,26116,27221,26996,27668,28978,29721,30295,30880,32132,34152,36891,38584,41541,42685,42506
 "22005","Ascension, LA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",100478,106121,115595,128996,143992,178190,205697,265280,284699,326695,379550,438916,498479,531577,574989,623791,656250,651282,662445,736454,794907,880424,945673,1057624,1123712,1217784,1312977,1404178,1490300,1612432,1721396,1866309,1951024,2059954,2169696,2383413,2792090,3239047,3646157,4074138,4131310,4396175,4626536,4889697,5069246,5422140,5669806,5780263,6002729,6212119,6534720,7084942,7636934,7879742
