GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",6636881,7268635,7840175,8874824,10019419,11328476,12763654,14533896,16687152,19434975,22419774,25869273,29478563,31284854,33757954,37857802,41242977,44475398,48100244,52775252,56824272,60257802,62355575,65921297,67316262,69503792,73335478,78731612,84945687,92288690,98642655,108236847,112811520,115401544,122017588,129282291,137739425,147668004,148546895,146609596,137983604,146752367,156467073,167428549,166542339,173769675,187042532,194223700,202337241,210648610,221692307,240734263,257834298,263290135
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",1376796,1432621,1484217,1536789,1607146,1669064,1725693,1772685,1812147,1853136,1891962,1948067,2004806,2045925,2088886,2123362,2171930,2228895,2281486,2333101,2383920,2418986,2452691,2497014,2532639,2566599,2603678,2643996,2709277,2773187,2815933,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3016751,3052105,3082183,3110324,3133194,3157254,3174233,3185766,3188828,3185685,3185516,3161005,3151184
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4821,5074,5282,5775,6234,6787,7396,8199,9208,10488,11850,13279,14704,15291,16161,17829,18989,19954,21083,22620,23836,24910,25423,26400,26579,27080,28166,29778,31354,33279,35030,37918,39097,39681,41653,43948,46849,50360,50670,49571,46192,48646,51265,54321,53545,55461,59242,61188,63513,66058,69590,75572,81567,83553
 "14454","Boston, MA (Metropolitan Division)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",7457246,8075870,8613585,9237239,9910593,10714249,11459654,12292229,13335415,14664641,16286900,18264081,20193059,22143853,24215134,27256438,29533211,31785738,34645774,38552545,40988952,42308257,43027650,45153067,47015497,49419626,52437083,55839862,59278713,63132797,67809970,75434174,79416914,78692958,79972643,84937369,89258127,97498998,102208996,105991741,106850271,114541844,118400160,121876197,122695009,128099617,137192827,144887981,153192937,161958963,168238788,178051186,193928431,196255009
 "14454","Boston, MA (Metropolitan Division)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",1661816,1677527,1684845,1697497,1692363,1703019,1699488,1692934,1689699,1670251,1666370,1664772,1671345,1673243,1687722,1697982,1710442,1718509,1721100,1724841,1723164,1715912,1710981,1711722,1724209,1735032,1756891,1766871,1779658,1792466,1806436,1817741,1831591,1837285,1834357,1828912,1824430,1827392,1838201,1854275,1875253,1895230,1915585,1938014,1960270,1981076,1997157,2014731,2031968,2042163,2052536,2047747,2029376,2024981
 "14454","Boston, MA (Metropolitan Division)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4487,4814,5112,5442,5856,6291,6743,7261,7892,8780,9774,10971,12082,13234,14348,16052,17266,18496,20130,22351,23787,24656,25148,26379,27268,28483,29847,31604,33309,35221,37538,41499,43360,42831,43597,46441,48924,53354,55603,57161,56979,60437,61809,62887,62591,64662,68694,71914,75391,79308,81966,86950,95561,96917
 "15764","Cambridge-Newton-Framingham, MA (Metropolitan Division)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",9069059,9833430,10494511,11335876,12304766,13238892,14115979,15122301,16446192,18126578,20146170,22875986,25811200,28497604,31020002,35197417,38122258,41170120,44035053,48616490,51008163,52542170,53486073,56489498,58705295,61490693,65451742,69872452,74070696,79394383,85278748,96427484,98201138,96689233,97892756,102013892,106265561,114393447,121570869,127337564,124647014,129017392,137117608,142823900,143927857,151598244,162289505,167020095,175445314,185068405,195281072,206307795,223421165,227599928
 "15764","Cambridge-Newton-Framingham, MA (Metropolitan Division)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",2020977,2040862,2055222,2057763,2056914,2025460,2010501,2004624,1999103,2007315,2003954,2004038,2012634,2016972,2026590,2041484,2054735,2052643,2054968,2061788,2069099,2070317,2070567,2076928,2085413,2095816,2110617,2128769,2148124,2165195,2178426,2192273,2203227,2200720,2195627,2189015,2183745,2185983,2193770,2211410,2233850,2254070,2281155,2308983,2337605,2363580,2383589,2400086,2418270,2429702,2437330,2437162,2424584,2423870
 "15764","Cambridge-Newton-Framingham, MA (Metropolitan Division)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4487,4818,5106,5509,5982,6536,7021,7544,8227,9030,10053,11415,12825,14129,15307,17241,18553,20057,21429,23580,24652,25379,25832,27199,28150,29340,31011,32823,34482,36668,39147,43985,44572,43935,44585,46603,48662,52330,55416,57582,55799,57238,60109,61856,61571,64139,68086,69589,72550,76169,80121,84651,92148,93899
 "15804","Camden, NJ (Metropolitan Division)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",3842629,4160716,4556739,5007121,5460124,5977915,6496599,7139252,7794480,8707646,9715160,10969093,12175178,13124796,14227379,15558868,16784716,17953674,19250827,21042320,22608720,23730860,24405347,26068607,26807991,27705955,28850483,30249760,32207529,33873775,35451370,37885612,39647084,41174093,43047139,45036920,46723826,49780394,51896428,54303581,54205816,55216979,57239619,58277616,58887777,60955280,63343105,65240865,67285763,69809660,72794498,77579988,83304897,83720778
