GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "24000","Maryland",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",17235920,19167231,21125827,23176397,25560539,27902797,30204127,32906940,35675755,39617165,43548963,48519338,53995511,58547190,62799141,69586502,75465695,81514058,87723309,96684853,104522243,110892381,115010027,120581709,125400694,131300749,137086621,143495296,151432755,163509024,173125764,188437155,198926881,206707343,215973447,230279226,242213966,254883062,265895070,278708349,277623634,287359366,303270094,310420376,309329474,318983090,332956246,344195091,356078970,367831289,380342055,400176131,426367416,432933432
 "24000","Maryland",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5791559,5854282,5913919,5962350,6008975,6049289,6079669,6112835,6138786,6163628,6173205,6174610,6164660
 "24000","Maryland",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4456,4867,5252,5679,6221,6751,7265,7887,8505,9407,10311,11477,12669,13670,14559,15941,17100,18167,19214,20757,22110,23104,23627,24492,25222,26140,27039,28070,29363,31417,32948,35480,37012,37995,39295,41515,43311,45293,47033,49026,48448,49617,51803,52490,51880,53084,55041,56614,58251,59919,61707,64825,69052,70228
 "24001","Allegany, MD",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",264663,290136,311478,334500,363799,395750,426402,454997,500039,543032,596760,657589,713554,760689,800354,844687,883755,897838,958083,1019318,1094254,1153868,1190443,1217544,1249988,1292615,1333462,1375623,1435486,1478660,1520223,1593537,1900082,1985994,2073430,2135226,2054209,1997239,2035875,2195721,2249577,2331946,2385755,2414598,2407375,2506443,2551232,2656680,2696316,2779673,2847223,3066203,3210197,3113977
 "24001","Allegany, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",84207,83983,84154,84829,84012,84109,82761,81938,81443,80769,81099,80584,80567,79651,78764,77474,76311,75922,75466,75428,75193,74954,75305,75411,75296,75203,75427,75132,75310,75547,75288,74804,74525,74204,74076,74408,73979,73980,74449,74638,75101,74914,74312,73487,72913,72156,71404,70784,69871,69290,68647,67955,67691,67267
 "24001","Allegany, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3143,3455,3701,3943,4330,4705,5152,5553,6140,6723,7358,8160,8857,9550,10161,10903,11581,11826,12696,13514,14553,15394,15808,16145,16601,17188,17679,18309,19061,19573,20192,21303,25496,26764,27991,28696,27767,26997,27346,29418,29954,31128,32105,32857,33017,34736,35730,37532,38590,40117,41476,45121,47424,46293
 "24003","Anne Arundel, MD",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1259430,1387474,1551123,1720822,1954573,2179494,2412730,2686278,2995442,3430582,3876638,4449575,4916979,5333616,5743756,6364714,6892687,7468820,7908408,8697515,9411657,9959280,10376256,11043358,11662715,12324369,13030029,13799391,14672708,15957602,17011025,18756636,20166838,21089376,22098625,23436933,24511127,25856313,26951413,27921118,27690203,28649622,30430207,31285337,31658613,32800686,34096275,35226827,36474330,37926143,39533828,42525933,45544247,46803613
 "24003","Anne Arundel, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",291264,299825,309046,316608,330647,334752,345613,353988,361062,365603,368971,372415,378219,382453,385375,389989,396028,403532,412139,418047,423564,428877,434344,440836,448583,456499,463022,467286,472356,477749,484800,491670,498559,504884,507769,513259,516171,517698,520503,525304,532395,539453,545610,551832,557604,561995,566320,571245,575799,580715,585606,589054,592052,593286
 "24003","Anne Arundel, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4324,4628,5019,5435,5911,6511,6981,7589,8296,9383,10507,11948,13000,13946,14904,16320,17405,18509,19189,20805,22220,23222,23889,25051,25999,26998,28141,29531,31063,33402,35089,38149,40450,41771,43521,45663,47486,49945,51780,53152,52011,53109,55773,56694,56776,58365,60207,61667,63346,65309,67509,72194,76926,78889
 "24005","Baltimore, MD",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2838360,3121620,3437142,3817948,4244283,4756269,5099588,5527427,6001064,6644741,7230218,7989650,8953854,9569708,10162320,11148545,11984424,12728457,13584218,14900142,15778775,16774107,17272335,17968314,18360230,19226022,20493733,21421145,22927461,24672843,26015798,28009819,29437054,30335166,31205179,32853056,34292622,36391810,38206110,39360757,38339572,39223897,40414670,41674776,41773249,43149359,44645454,45582045,47241960,48923898,51710617,54480535,57265072,57385048
 "24005","Baltimore, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",612575,622418,635071,641468,636769,638233,646514,651342,651233,650938,650679,655878,655599,658403,661267,664696,664649,669544,675514,682941,686188,694782,702993,709826,715513,721250,727937,734981,741043,745458,749425,755598,762925,770147,777756,784371,789110,793733,796073,798651,801808,807307,816320,824205,831114,836593,841912,845780,848498,850780,853436,853325,850634,846161
