GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "26000","Michigan",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",36067948,37361665,40643958,45132028,50382867,53913200,57745117,64457792,72465620,80772906,88473249,94701793,101183597,104753909,111587381,123022181,133511635,141960377,147028829,157389827,169457810,177358200,181544360,192090223,202230763,217482045,229978752,241755067,253075718,268711943,282128877,301060433,306670387,306427101,313961005,322698379,329235279,336842607,346731862,356356155,339099994,352074311,372954243,387339206,390857856,407267049,429284900,441557210,454894818,474208013,489493146,531530232,568132011,572325054
 "26000","Michigan",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9880076,9895488,9920751,9947308,9974630,9987137,10016980,10049868,10070610,10078236,10069577,10037504,10034113
 "26000","Michigan",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4107,4200,4530,5001,5554,5918,6340,7070,7913,8778,9566,10232,10987,11492,12333,13594,14710,15553,16003,17074,18313,19048,19312,20265,21198,22660,23767,24773,25800,27286,28506,30250,30694,30595,31267,32092,32756,33563,34669,35826,34247,35635,37689,39043,39293,40830,42984,44081,45264,47088,48569,52786,56601,57038
 "26001","Alcona, MI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",19374,21810,24307,27458,31313,33950,39288,44950,50829,57033,63054,71484,78888,84797,91238,99679,106076,111142,114547,120875,130582,141949,147010,152755,159022,172988,190417,199060,206871,224161,234923,248113,249172,250498,256877,260986,268280,270494,282162,298815,293849,309286,322502,330847,338935,342614,354095,357557,376195,399222,419144,470826,514403,514811
 "26001","Alcona, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",6434,7203,7600,8114,8417,8558,8684,8976,9258,9470,9560,9760,9822,9802,9833,9858,10012,10098,9981,10159,10143,10169,10312,10401,10316,10560,10775,11106,11233,11464,11641,11677,11665,11480,11495,11459,11517,11503,11412,11286,11106,10870,10698,10493,10439,10304,10152,10146,10065,10090,10143,10189,10300,10417
 "26001","Alcona, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3011,3028,3198,3384,3720,3967,4524,5008,5490,6022,6596,7324,8032,8651,9279,10111,10595,11006,11477,11898,12874,13959,14256,14687,15415,16381,17672,17924,18416,19553,20181,21248,21361,21820,22347,22776,23294,23515,24725,26477,26459,28453,30146,31530,32468,33251,34879,35241,37377,39566,41323,46209,49942,49420
 "26003","Alger, MI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",20972,22634,24578,26849,30004,33418,37929,41957,45244,50018,53446,58548,62646,66418,70359,77081,81255,90896,94679,99240,107564,112844,121080,130552,138223,149269,155551,164110,173738,178861,184170,191585,209804,210391,209680,218904,214734,214165,217348,225521,230145,239567,249406,254661,257899,271235,278874,282278,290245,301259,306602,339732,368984,362593
 "26003","Alger, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8244,8547,8443,8225,8403,8541,8766,9048,9344,9387,9389,9260,9378,9252,9084,8965,8944,8794,8760,8841,8905,8974,9678,9761,9752,9818,9870,9831,9898,9866,9945,9819,9815,9764,9694,9680,9633,9687,9779,9647,9334,9573,9493,9414,9385,9293,9170,9027,9023,8960,8915,8842,8789,8807
 "26003","Alger, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2544,2648,2911,3264,3571,3913,4327,4637,4842,5328,5692,6323,6680,7179,7745,8598,9085,10336,10808,11225,12079,12575,12511,13375,14174,15204,15760,16693,17553,18129,18519,19512,21376,21548,21630,22614,22291,22108,22226,23377,24657,25025,26273,27051,27480,29187,30412,31270,32167,33623,34392,38423,41982,41171
 "26005","Allegan, MI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",220568,234452,255656,293139,333977,367680,400612,439066,501841,577385,657472,705290,768738,805516,857025,955759,1012396,1133035,1209707,1282535,1401274,1485978,1546354,1658042,1767955,1929243,2060307,2208627,2351208,2508698,2723267,2912039,2920857,2868315,2941406,3116551,3284003,3403656,3536761,3683353,3589288,3751489,4024917,4077967,4222182,4325342,4568841,4732020,4964721,5248982,5408321,6025429,6562001,6660219
 "26005","Allegan, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",63641,66858,68672,70467,71174,72423,73968,75800,77411,78761,80896,81891,83059,83214,82928,83592,84528,85456,86970,88278,89217,90982,92021,93300,94801,96294,97941,99560,101237,102543,104476,105904,107367,108203,109192,110225,110865,111156,111427,111589,111252,111560,111358,111852,112523,114027,114951,116015,117564,118478,119562,120647,121010,121210
 "26005","Allegan, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3466,3507,3723,4160,4692,5077,5416,5792,6483,7331,8127,8613,9255,9680,10335,11434,11977,13259,13909,14528,15706,16333,16804,17771,18649,20035,21036,22184,23225,24465,26066,27497,27204,26509,26938,28274,29622,30621,31741,33008,32263,33628,36144,36459,37523,37933,39746,40788,42230,44303,45234,49943,54227,54948
 "26007","Alpena, MI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",95117,101633,111490,123969,135227,150449,169060,184974,202999,228502,249600,269609,285613,291841,311093,337004,353603,373146,388520,421480,449982,474814,491880,519329,543297,578260,601119,623999,662847,699158,733324,777389,780346,786265,806632,817686,840910,848059,886763,943318,916345,946629,980392,989913,989761,1009958,1063627,1081692,1114553,1136033,1170350,1293340,1404089,1402930
 "26007","Alpena, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",30363,30897,31517,31652,31666,31757,32246,32199,32271,32046,32312,32415,32744,32122,31526,31250,30973,30740,30793,30553,30493,30674,30852,31015,31115,30867,30997,31091,31088,31040,31313,31269,31179,30956,30824,30735,30494,30209,30180,30119,29755,29527,29423,29313,29172,29159,29062,29068,28892,28943,28976,28880,28916,28847
 "26007","Alpena, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3133,3289,3537,3917,4270,4738,5243,5745,6290,7130,7725,8317,8723,9085,9868,10784,11416,12139,12617,13795,14757,15479,15943,16744,17461,18734,19393,20070,21322,22524,23419,24861,25028,25399,26169,26604,27576,28073,29382,31320,30796,32060,33321,33770,33928,34636,36599,37212,38577,39251,40390,44783,48558,48633
 "26009","Antrim, MI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",38549,40821,45210,52062,59360,67733,73769,82684,95947,110749,124725,136514,147796,152629,158906,173763,192476,203281,212059,221109,253023,273312,283161,300679,326166,358821,403983,440324,468450,516608,559544,581999,604813,604170,618236,632534,657960,676976,710892,745695,732505,760602,802686,841727,872754,921004,970910,995624,1033616,1073932,1120832,1218924,1346531,1363615
 "26009","Antrim, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",11562,12757,13292,13595,14103,14905,15310,15542,15782,16082,16430,16277,16572,16668,16720,16837,16964,17062,17232,17707,17910,18258,18650,18945,19480,19843,20468,20986,21423,21992,22556,23264,23485,23773,24129,24263,24261,24278,24248,24047,23796,23491,23321,23246,23120,23138,23024,23076,23251,23321,23339,23459,23884,24249
 "26009","Antrim, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3334,3200,3401,3829,4209,4544,4818,5320,6080,6887,7591,8387,8918,9157,9504,10320,11346,11914,12306,12487,14127,14969,15183,15871,16744,18083,19737,20982,21867,23491,24807,25017,25753,25414,25622,26070,27120,27884,29318,31010,30783,32378,34419,36210,37749,39805,42169,43145,44455,46050,48024,51960,56378,56234
 "26011","Arenac, MI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",34405,36940,40990,46113,53316,60405,65185,72787,84832,94115,104756,115539,123557,129951,138028,150213,160544,169278,177390,184449,203372,210536,219984,229149,242867,258087,277310,291076,310628,327355,346710,369371,361634,366422,375881,381532,386893,390278,409997,444895,438334,448734,464235,474187,477352,488525,506910,521073,533136,557477,593016,669614,710800,704598
 "26011","Arenac, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",10657,11249,11667,12102,12525,12874,13339,13499,13868,14002,14491,14753,14913,14894,14892,14781,14536,14589,14705,14856,14933,14935,15425,15699,15901,16107,16439,16647,16780,16895,17070,17278,17206,17245,17184,17128,17094,16968,16811,16547,16243,15853,15640,15509,15424,15334,15325,15151,15037,15066,14980,15003,15000,15089
 "26011","Arenac, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3228,3284,3513,3810,4257,4692,4887,5392,6117,6722,7229,7832,8285,8725,9269,10163,11045,11603,12063,12416,13619,14097,14262,14596,15274,16023,16869,17485,18512,19376,20311,21378,21018,21248,21874,22275,22633,23001,24389,26887,26986,28306,29683,30575,30949,31859,33077,34392,35455,37002,39587,44632,47387,46696
 "26013","Baraga, MI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",20998,24793,26809,29802,31014,33976,38273,42133,46331,53065,57926,62247,66834,67443,69290,74797,78171,82722,87244,89773,98541,101536,110431,113954,121776,130783,141305,149345,160195,167534,176835,178331,180154,180007,187338,194991,197966,209037,216825,233912,231167,236102,241134,258426,259420,258288,260380,260966,263568,267658,279655,312963,334228,328926
 "26013","Baraga, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",7741,7764,7731,7760,7975,7955,8140,8204,8438,8629,8671,8501,8553,8474,8363,8247,8196,8130,8087,8062,7935,7970,8033,7899,7873,8491,8517,8486,8488,8658,8744,8875,8899,8889,8873,8884,8851,8940,8930,8822,8874,8860,8830,8717,8705,8634,8565,8510,8408,8284,8214,8140,8291,8277
 "26013","Baraga, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2713,3193,3468,3840,3889,4271,4702,5136,5491,6150,6680,7322,7814,7959,8285,9070,9538,10175,10788,11135,12419,12740,13747,14426,15468,15403,16591,17599,18873,19350,20224,20094,20244,20251,21113,21949,22367,23382,24281,26515,26050,26648,27308,29646,29801,29915,30400,30666,31347,32310,34046,38448,40312,39740
 "26015","Barry, MI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",122447,128417,141910,161108,185268,203974,232218,266713,294848,334757,382229,422015,456386,474446,493786,548505,586293,625354,655987,720935,789270,813057,857507,916025,982281,1082456,1193619,1283872,1366861,1470181,1553576,1652966,1663198,1649363,1675311,1719075,1761622,1828601,1873260,1973938,1854152,1955683,2098355,2175980,2219371,2306453,2411122,2488411,2573869,2709118,2818146,3086392,3349040,3441884
 "26015","Barry, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",34686,38297,39113,40307,40996,41165,42337,42952,43536,44181,45365,46026,46905,46707,46561,47040,47695,48460,49242,49810,49988,50139,50670,51463,52151,52768,53746,54850,55492,55838,56171,56931,57572,58061,58682,59005,59621,59610,59969,59788,59469,59103,58978,59128,59245,59502,59678,60095,61035,61592,61928,62598,63170,63554
 "26015","Barry, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3530,3353,3628,3997,4519,4955,5485,6210,6773,7577,8426,9169,9730,10158,10605,11660,12293,12905,13322,14474,15789,16216,16923,17800,18835,20513,22209,23407,24632,26329,27658,29035,28889,28407,28549,29134,29547,30676,31237,33016,31178,33089,35579,36801,37461,38763,40402,41408,42170,43985,45507,49305,53016,54157
 "26017","Bay, MI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",414066,420933,464555,499669,561721,621936,662994,755195,862681,949558,1037642,1133578,1220242,1263556,1329237,1422389,1498834,1564112,1616716,1717850,1798169,1911391,1977009,2095154,2180972,2302215,2384630,2476927,2584026,2658203,2764996,2914743,2967792,2961291,3030623,3095016,3126281,3233720,3332473,3490785,3481849,3617623,3742971,3786703,3801299,3876118,4021782,4106448,4140756,4366150,4440787,4878569,5200417,5106814
 "26017","Bay, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",116323,117502,118513,119094,119824,120548,120441,120560,121500,122057,121074,120037,120401,118804,117330,116677,115017,114267,113959,112898,112061,111804,111803,112182,112397,112025,111680,111231,111040,110704,110295,110192,109836,109861,109559,109453,109165,108711,108132,108320,107913,107710,107578,107260,107221,106599,105916,105184,104967,104674,104079,103733,103251,102821
 "26017","Bay, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3560,3582,3920,4196,4688,5159,5505,6264,7100,7780,8570,9444,10135,10636,11329,12191,13031,13688,14187,15216,16046,17096,17683,18676,19404,20551,21352,22268,23271,24012,25069,26451,27020,26955,27662,28277,28638,29746,30819,32227,32265,33587,34793,35304,35453,36362,37971,39041,39448,41712,42667,47030,50367,49667
 "26019","Benzie, MI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",26399,29472,32910,36636,41340,46304,51790,57525,66394,74946,82399,88458,97943,105761,113016,123797,135043,141678,149437,157476,170649,180806,190254,204800,226124,249311,270706,292798,316234,342447,372457,393983,414199,411838,405940,463313,470624,486790,507366,536052,529032,553370,578007,591051,605672,645928,685127,703087,741619,774163,816017,944013,992977,1002386
 "26019","Benzie, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8345,8587,8620,8846,9513,9810,10068,10504,10750,10845,11160,11262,11471,11260,11412,11312,11475,11521,11692,11882,11998,12251,12411,12654,13009,13451,13927,14241,14662,15118,15652,16090,16490,16793,17239,17420,17697,17867,17863,17733,17564,17498,17394,17346,17378,17516,17449,17598,17713,17849,17881,17997,18236,18297
 "26019","Benzie, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3163,3432,3818,4142,4346,4720,5144,5476,6176,6911,7383,7855,8538,9393,9903,10944,11768,12297,12781,13253,14223,14758,15329,16185,17382,18535,19437,20560,21568,22652,23796,24486,25118,24524,23548,26597,26593,27245,28403,30229,30120,31625,33230,34074,34853,36876,39265,39953,41869,43373,45636,52454,54451,54784
 "26021","Berrien, MI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",639353,666696,717542,808588,895502,974624,1031937,1102463,1228915,1344483,1434694,1525568,1657921,1724442,1790114,1931707,2034800,2157499,2301081,2426715,2589698,2678277,2758543,2959486,3136218,3313086,3485879,3599816,3813742,3956912,4182245,4380495,4532683,4573582,4669914,4859686,4863412,5119625,5368980,5668244,5400859,5685164,5914552,5905226,5983904,6222512,6585954,6774644,6920793,7256430,7601580,8271146,9159537,9221598
 "26021","Berrien, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",163676,163981,165230,168102,170653,172002,173395,174881,174870,173427,173635,171288,170961,166840,164326,163308,162945,162415,162973,163001,162143,161415,161622,161982,162266,162353,163022,162873,162407,162046,162028,162471,161153,160604,160314,159742,158510,157537,157378,157380,157059,156768,157047,156915,156559,156538,155706,155129,155050,154784,154349,154183,153377,152900
 "26021","Berrien, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3906,4066,4343,4810,5248,5666,5951,6304,7028,7752,8263,8906,9698,10336,10894,11829,12488,13284,14119,14888,15972,16592,17068,18270,19328,20407,21383,22102,23483,24418,25812,26962,28127,28477,29130,30422,30682,32498,34115,36016,34387,36265,37661,37633,38221,39751,42297,43671,44636,46881,49249,53645,59719,60311
 "26023","Branch, MI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",116092,122364,140084,154797,179583,187930,217318,236811,270775,299442,334908,351177,384850,397570,414416,440759,461270,492112,518568,542550,591294,616967,630510,647742,666244,715103,751294,786273,833466,861529,939126,992716,1011444,1025163,1061488,1077926,1099418,1121743,1146989,1183574,1173971,1247646,1315255,1310814,1344134,1365504,1425930,1453654,1518190,1571074,1612092,1803050,1946579,1916634
 "26023","Branch, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",35792,38029,38844,39671,39876,39691,39011,39448,39568,40358,41040,40192,40122,39585,38908,38844,39071,39634,40376,40769,41328,41608,41874,42199,42518,42785,43609,44050,44978,45111,45382,45875,46099,46651,46680,46791,46733,46805,46788,46305,45378,45208,44090,44095,44021,44310,44348,44297,44326,44595,44702,44868,45202,44531
