GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "27000","Minnesota",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",14388047,15708849,16766023,18229257,21370238,23011795,24891102,26907121,30292726,33988927,37791833,42010462,46515652,49837561,52590261,59598876,63324040,66976178,71215906,75348529,82290313,87486978,90311671,96932703,99872645,107011913,113162912,121958540,128932791,140269135,147376230,159595422,166509015,170085165,177862252,188674909,193583814,203249483,215185417,225533454,216335432,225971601,241599513,255427731,257507779,270190205,282988049,288866631,301748990,317564784,329115631,349887419,381789127,393569020
 "27000","Minnesota",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",3758000,3815249,3851901,3866878,3885164,3898450,3925793,3956602,3979844,4004676,4038150,4085017,4111733,4131450,4141458,4157704,4184301,4205213,4235136,4296163,4338056,4389857,4440859,4495572,4555954,4610355,4660180,4712827,4763390,4813412,4873481,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5312113,5352572,5388297,5430428,5473353,5509714,5556226,5605384,5650149,5686733,5709852,5711471,5717184
 "27000","Minnesota",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3829,4117,4353,4714,5500,5903,6340,6801,7612,8487,9359,10284,11313,12063,12698,14335,15134,15927,16815,17539,18969,19929,20337,21562,21921,23211,24283,25878,27067,29141,30240,32348,33417,33889,35195,37084,37812,39362,41325,42983,40963,42539,45137,47404,47419,49365,51362,51990,53832,56205,57874,61278,66846,68840
 "27001","Aitkin, MN",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",27173,29871,33724,37325,44212,48242,53626,62002,67810,74109,81622,92005,101990,110874,121552,129261,135461,141426,138679,143994,157391,166654,177871,188614,201388,214506,238603,256834,272902,296269,310953,334448,347222,363158,376350,387910,389541,409992,434657,462936,457669,486315,496117,497950,500895,534322,552481,568913,594427,633869,655049,735113,800881,804802
 "27001","Aitkin, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",11293,11458,11637,11985,12074,12102,12146,12347,12684,12901,13035,13384,13276,13248,13438,13218,13072,12773,12667,12542,12416,12462,12603,12825,13112,13524,13847,14181,14403,14840,15062,15282,15334,15616,15795,16028,16162,16357,16481,16422,16168,16208,16152,16004,15827,15790,15780,15664,15693,15766,15706,15718,15945,16126
 "27001","Aitkin, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2406,2607,2898,3114,3662,3986,4415,5022,5346,5744,6262,6874,7682,8369,9045,9779,10363,11072,10948,11481,12676,13373,14113,14707,15359,15861,17231,18111,18948,19964,20645,21885,22644,23256,23827,24202,24102,25065,26373,28190,28307,30005,30716,31114,31648,33839,35011,36320,37878,40205,41707,46769,50228,49907
 "27003","Anoka, MN",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",559970,586842,627744,689700,776310,865055,952802,1079893,1243313,1454245,1721612,1981971,2180697,2357606,2565322,2891167,3122006,3338139,3582460,3870390,4199050,4466947,4704185,5104920,5469269,5902327,6255382,6702900,7141120,7816341,8389718,9226536,9731390,10062852,10526715,11117174,11192601,11626314,12231519,12736441,12445723,12855622,13613178,14145817,14444487,15308282,16033898,16466131,17270969,18035585,18995474,20290309,21678422,22268689
 "27003","Anoka, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",140975,155900,159044,164099,170598,174892,177915,180621,182056,186737,191741,196934,200223,203185,205362,208888,213359,218309,224834,232370,237833,245255,251565,257253,261729,268278,273226,278260,282976,288089,293599,299780,304823,308702,311863,316643,319830,323590,325767,327427,329635,331541,333427,337039,340461,343692,346446,349455,353699,357570,361579,364458,367416,368864
 "27003","Anoka, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3972,3764,3947,4203,4551,4946,5355,5979,6829,7788,8979,10064,10891,11603,12492,13841,14633,15291,15934,16656,17655,18213,18700,19844,20897,22001,22895,24089,25236,27132,28575,30778,31925,32597,33754,35109,34995,35929,37547,38899,37756,38775,40828,41971,42426,44541,46281,47119,48830,50439,52535,55673,59002,60371
 "27005","Becker, MN",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",62153,69173,74947,83802,110809,111974,123940,138854,152364,169627,189338,204761,224439,235825,254263,289439,297504,318477,332622,339733,371592,396924,401626,423490,444381,470904,497116,550809,573261,628491,659828,732776,756582,789848,842209,873404,897984,950016,1004504,1057903,1071952,1145079,1228605,1328410,1339818,1370585,1431881,1469520,1526134,1596747,1665820,1807272,1987370,2034026
 "27005","Becker, MN",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",24234,24467,24880,25135,25957,25962,26973,27741,28007,28854,29281,29378,29480,29118,28729,28604,28240,28177,28000,28035,27936,27921,28185,28420,28462,28742,28989,29036,29250,29410,29703,30188,30392,30777,31244,31625,31753,32057,32142,32244,32407,32570,32847,33142,33403,33547,33803,34147,34580,34967,35095,35194,35326,35371
 "27005","Becker, MN",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2565,2827,3012,3334,4269,4313,4595,5005,5440,5879,6466,6970,7613,8099,8850,10119,10535,11303,11879,12118,13302,14216,14250,14901,15613,16384,17148,18970,19599,21370,22214,24274,24894,25664,26956,27618,28280,29635,31252,32809,33078,35157,37404,40082,40111,40856,42360,43035,44133,45664,47466,51352,56258,57505
