GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "29000","Missouri",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",16912485,18479482,19938913,21682224,24089650,25774725,28212715,30912024,34252401,38129735,42514262,46138539,51479765,55043829,58776893,65104981,69704040,73379132,77025452,82057137,87941735,91896544,96075025,102078066,106723405,113256616,119399811,126394157,134117797,140839690,146172453,156202129,161531191,165389801,171593178,180453767,186770922,197834125,207411340,219921999,216424450,221760207,230858278,240967754,242493009,250783748,259349984,267048570,273774195,286084305,297349071,320592856,345961209,357194742
 "29000","Missouri",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",4640000,4684768,4722703,4753234,4774601,4785391,4795383,4823554,4845042,4871171,4889327,4921966,4932069,4929456,4943735,4975276,5000260,5023055,5056702,5081737,5095844,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996166,6011569,6026727,6044003,6060459,6077057,6093349,6113669,6128594,6143406,6153998,6169823,6177957
 "29000","Missouri",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3645,3945,4222,4562,5045,5386,5883,6409,7070,7828,8695,9374,10438,11166,11889,13086,13940,14608,15232,16147,17258,17917,18580,19566,20247,21271,22201,23270,24469,25506,26281,27857,28634,29144,30054,31396,32256,33860,35228,37124,36306,36984,38402,39983,40121,41380,42677,43826,44781,46680,48401,52095,56073,57818
 "29001","Adair, MO",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",56826,61264,66775,75018,89851,98984,112804,124839,136999,151369,172089,185354,209044,213997,226327,236037,244962,251346,259323,270210,300463,315594,339717,364969,381391,405650,420749,434785,453707,462804,478273,507753,521809,523353,526499,555580,574243,602790,634822,677179,714501,698727,726585,732989,751253,761425,782554,782963,790608,813545,834458,897501,929593,926270
 "29001","Adair, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",22534,22413,22294,23360,23945,23893,23438,24099,24055,24333,24500,24957,25257,25361,25527,25516,25314,24744,24766,24489,24567,24584,24574,24690,24844,24959,24998,24883,24871,24887,24961,24956,24967,25072,24958,24988,24849,25007,24983,25399,25577,25634,25659,25665,25682,25492,25322,25223,25416,25472,25374,25269,25179,25165
 "29001","Adair, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2522,2733,2995,3211,3752,4143,4813,5180,5695,6221,7024,7427,8277,8438,8866,9251,9677,10158,10471,11034,12230,12837,13824,14782,15351,16253,16831,17473,18242,18596,19161,20346,20900,20874,21095,22234,23109,24105,25410,26662,27935,27258,28317,28560,29252,29869,30904,31042,31107,31939,32886,35518,36919,36808
 "29003","Andrew, MO",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",42186,43086,47893,53291,65045,62043,69758,72942,85352,95812,111299,111338,128968,133818,141392,159207,175370,179109,183800,189357,210809,221864,237267,253276,260492,282570,297327,322852,352780,373534,400996,427276,427375,420961,430527,468059,475662,512795,556453,611882,616962,614554,641694,654265,677003,691714,700047,718658,746349,751798,799273,850758,909555,919993
 "29003","Andrew, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",12044,12008,12410,12616,12818,12980,13483,13442,13431,13833,13793,14016,14132,14270,14511,14710,14610,14477,14537,14598,14534,14696,14898,15042,15157,15416,15633,15727,15948,16212,16308,16522,16580,16501,16608,16580,16511,16861,16834,16924,17036,17357,17258,17419,17462,17487,17567,17650,17823,18064,18151,18098,18009,18003
 "29003","Andrew, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3503,3588,3859,4224,5075,4780,5174,5426,6355,6926,8069,7944,9126,9378,9744,10823,12003,12372,12644,12971,14505,15097,15926,16838,17186,18330,19019,20529,22121,23041,24589,25861,25777,25511,25923,28230,28809,30413,33055,36155,36215,35407,37182,37560,38770,39556,39850,40717,41876,41619,44035,47008,50506,51102
 "29005","Atchison, MO",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",31225,35153,36997,44395,55172,46094,53623,55706,55714,66061,74160,49313,79972,80727,75377,94396,104209,105003,98903,88788,94190,109209,115414,124674,104731,137352,120222,152449,154378,151477,149966,164421,164166,154045,166797,187952,177406,178486,192607,226449,246261,236252,244790,236160,286020,270990,197535,222073,218181,195702,235562,262722,280429,285716
