GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "30000","Montana",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2350491,2604190,2787297,3230256,3745221,4069917,4478717,4806477,5197877,6090546,6549399,7215690,8194382,8632561,9082310,9593961,9735941,10122849,10355058,10679766,11763596,12379212,13216625,14009275,15154047,15574369,16400030,17173644,17910227,19125723,19496880,20770544,21685226,22350296,24015175,26072167,28052041,30362708,32646839,34730541,33926624,35670871,38082705,40436886,40785993,42901443,44583320,45283300,48003346,50352020,53393045,58208785,64542052,68477036
 "30000","Montana",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",694000,697172,711037,719138,727389,737203,749208,758521,771354,784043,789167,788752,795325,803984,814029,820904,822320,813738,805064,800200,799634,800204,809680,825770,844761,861306,876553,886254,889865,892431,897507,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990863,998188,1005385,1015933,1024998,1034413,1045648,1057982,1066542,1075462,1087075,1106227,1122867
 "30000","Montana",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3387,3735,3920,4492,5149,5521,5978,6337,6739,7768,8299,9148,10303,10737,11157,11687,11840,12440,12862,13346,14711,15470,16323,16965,17939,18082,18710,19378,20127,21431,21723,22982,23910,24516,26114,28034,29839,31870,33841,35569,34479,36000,38152,40220,40146,41855,43100,43306,45373,47211,49647,53546,58344,60984
 "30001","Beaverhead, MT",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",25464,28558,30645,36775,41615,42725,45490,44317,45772,56732,62656,65610,75546,79500,85743,90706,92364,98459,98791,104601,116095,124154,130058,136154,147162,150803,159307,163394,171778,181328,182468,193150,205809,205962,217873,231772,241962,241228,266394,286254,286718,296879,323991,339312,348484,375928,396656,398811,398678,418522,449866,490851,530323,592163
 "30001","Beaverhead, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",8113,8207,8227,8085,8011,8124,7974,7904,7845,8044,7919,8240,8442,8674,8717,8496,8497,8492,8460,8520,8543,8429,8487,8696,8793,8951,9168,9394,9244,9133,9184,9204,9058,9018,8924,8908,8904,9012,9028,9166,9200,9254,9202,9338,9273,9296,9248,9395,9360,9326,9376,9381,9532,9719
 "30001","Beaverhead, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3139,3480,3725,4549,5195,5259,5705,5607,5835,7053,7912,7962,8949,9165,9836,10676,10870,11594,11677,12277,13589,14729,15324,15657,16736,16848,17376,17393,18583,19854,19868,20985,22721,22839,24414,26018,27175,26767,29508,31230,31165,32081,35209,36337,37581,40440,42891,42449,42594,44877,47981,52324,55636,60928
 "30003","Big Horn, MT",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",27925,31357,30260,37374,45473,50621,49596,49069,53945,70068,77590,92402,103576,99794,99506,105182,106612,109614,109833,109122,120396,126998,142185,152887,167310,163921,162213,163034,176119,183954,187922,206378,217016,214206,243524,259206,276963,266128,288280,307808,305024,317321,337364,340775,337947,350154,365109,377754,382403,393777,415556,465571,466960,479492
 "30003","Big Horn, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10052,10063,10150,10300,10304,10500,10975,10617,10727,11342,10932,11051,10851,10961,11032,11229,11411,11446,11261,11210,11466,11313,11400,11622,11773,12074,12215,12418,12669,12673,12653,12669,12783,12713,12652,12731,12634,12540,12549,12564,12747,12912,13058,12994,13111,13337,13305,13432,13447,13298,13241,13082,12932,12851
 "30003","Big Horn, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2778,3116,2981,3629,4413,4821,4519,4622,5029,6178,7098,8361,9545,9104,9020,9367,9343,9577,9753,9734,10500,11226,12472,13155,14211,13576,13280,13129,13902,14515,14852,16290,16977,16849,19248,20360,21922,21222,22972,24499,23929,24576,25836,26226,25776,26254,27441,28123,28438,29612,31384,35589,36109,37312
 "30005","Blaine, MT",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",18219,21682,22022,28784,36698,35592,35997,35733,34860,46053,43802,45918,56502,57844,60764,63973,58957,68472,70506,72217,86030,84353,89372,94938,100749,90044,92939,95646,99290,111699,111624,112790,114091,106078,117337,133109,140609,130685,149092,158233,165040,173285,184344,183962,196515,188696,193925,187640,193953,200512,204535,228466,229114,254170
