GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "38000","North Dakota",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1990570,2102372,2424204,2887407,4036830,3998170,4181464,4101883,4261106,5357868,5507758,5273968,6904340,7454850,7838187,8456480,8743001,8871038,9105864,8460842,9472814,10256270,10401883,11384968,11536405,12531737,12552311,14037638,13770070,15078708,15257879,16591077,16930740,17356115,18949490,19330915,20501369,21508536,23828798,26942586,26722103,29758809,33587983,39538595,39538731,42181264,40408157,39232018,39743692,42565900,43968202,47621422,51261703,54828494
 "38000","North Dakota",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",621000,618851,626659,630937,632411,634212,638469,645293,649168,650648,652152,654380,659504,668972,676687,680499,676979,669513,661141,655330,646351,637685,635753,638223,641216,644804,647832,650382,649716,647532,644259,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,675054,687065,705071,727382,744395,762693,764650,766673,771407,776516,779518,777934,779261
 "38000","North Dakota",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3205,3397,3868,4576,6383,6304,6549,6357,6564,8235,8446,8059,10469,11144,11583,12427,12915,13250,13773,12911,14656,16084,16362,17839,17991,19435,19376,21584,21194,23286,23683,25842,26493,27197,29663,29984,31731,33120,36501,40973,40186,44084,48886,56077,54358,56665,52981,51307,51839,55180,56622,61091,65895,70360
 "38001","Adams, ND",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",13522,14866,15755,18214,29727,26021,24071,20770,23469,27472,28137,25259,35064,34004,38579,43406,40167,42896,43984,37573,42729,44981,43605,53042,52616,48407,47424,55779,49051,54472,56936,63921,64524,56041,74314,71268,78238,77732,89123,87067,90687,99201,104742,134382,116631,119533,104814,99599,111610,107588,109821,131930,123237,124339
 "38001","Adams, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",3897,3800,3717,3701,3746,3730,3710,3724,3725,3616,3586,3577,3544,3472,3546,3525,3578,3487,3401,3309,3217,3157,3092,3024,2834,2866,2814,2820,2784,2734,2648,2578,2542,2509,2469,2436,2405,2366,2362,2343,2325,2351,2312,2335,2392,2388,2397,2341,2331,2274,2229,2187,2152,2115
 "38001","Adams, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3470,3912,4239,4921,7936,6976,6488,5577,6300,7597,7846,7062,9894,9794,10880,12314,11226,12302,12933,11355,13282,14248,14103,17540,18566,16890,16853,19780,17619,19924,21502,24795,25383,22336,30099,29256,32531,32854,37732,37160,39005,42195,45304,57551,48759,50056,43727,42545,47881,47312,49269,60325,57266,58789
 "38003","Barnes, ND",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",46424,47522,56664,65974,87351,94046,99329,84887,91980,123400,120264,87226,119549,144900,135173,164792,162324,160915,171757,140494,171592,205124,188994,212716,190276,219421,210917,252663,222400,257088,247840,286711,276351,285639,308426,314321,330982,327467,385105,457094,415470,505555,514074,595924,527639,535689,518415,537865,527796,550443,600996,664946,721857,815092
 "38003","Barnes, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",14934,14671,14893,14854,14367,14135,13898,14086,14157,14239,14195,13945,13853,13692,13576,13496,13237,13088,13011,12834,12723,12509,12422,12320,12231,12078,12092,12079,12084,12001,11914,11692,11446,11281,11199,11202,11171,11106,11057,11027,11028,11076,11172,11111,11266,11263,11256,11192,11016,10900,10813,10847,10812,10758
 "38003","Barnes, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3109,3239,3805,4441,6080,6653,7147,6026,6497,8666,8472,6255,8630,10583,9957,12210,12263,12295,13201,10947,13487,16398,15214,17266,15557,18167,17443,20918,18405,21422,20802,24522,24144,25320,27540,28059,29629,29486,34829,41452,37674,45644,46015,53634,46835,47562,46057,48058,47912,50499,55581,61302,66764,75766
 "38005","Benson, ND",4,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",20352,21710,26507,32316,52846,50829,55463,46306,38362,62354,55055,38931,61281,76900,67602,83665,91683,80694,81842,57684,80134,98933,86646,93274,93415,103987,90859,115441,100660,118246,109144,123447,121338,128724,165895,139337,152540,148913,187702,218659,207803,219796,241184,287231,244290,225727,217555,235340,229076,251880,243668,296702,327939,395554
