GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "34000","New Jersey",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",32504175,35294519,38078118,41394930,45063192,48945152,52877698,57408891,62802139,69699071,77368975,87084508,97168413,104980977,113460820,125385448,134484929,143990664,154710515,170480905,182884117,192170879,196169703,210398531,217404095,225066906,238901876,252630680,268793397,286580221,299723847,329591759,341308913,345988725,354097719,369770927,382749265,410264863,435048745,449545421,436271441,448931100,469252907,484600001,488591296,509357588,530303097,545301738,566237088,591910410,624819804,657894366,705095171,714990176
 "34000","New Jersey",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",7095000,7190282,7281935,7336538,7335240,7335227,7341417,7344079,7342027,7356414,7373048,7376330,7407471,7430970,7467784,7515474,7565530,7622161,7670741,7712333,7726086,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8809058,8876959,8933292,8984801,9033845,9076577,9119862,9174898,9218858,9258804,9271689,9267961,9261699
 "34000","New Jersey",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4581,4909,5229,5642,6143,6673,7203,7817,8554,9475,10493,11806,13118,14127,15193,16684,17776,18891,20169,22105,23671,24755,25103,26699,27350,28083,29555,30999,32705,34580,35854,39095,40189,40454,41167,42825,44238,47366,50133,51606,49828,50962,52862,54247,54380,56383,58425,59793,61716,64206,67484,70957,76079,77199
 "34001","Atlantic, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",694634,782866,871879,964555,1081593,1173626,1283784,1421862,1575347,1779776,2069951,2387058,2733798,2918957,3178317,3582582,3829614,4097474,4329526,4745144,4941681,5065141,4801639,5391811,5658242,5800713,6262856,6674143,7039367,7359508,7580102,8032277,7456371,7737565,8035699,8559745,9019718,9880758,10350882,10685492,10447153,10614431,11066928,11258603,11414061,11626811,11742848,11828874,12142939,12619513,13462043,14677214,15778937,15413028
 "34001","Atlantic, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",174603,175908,179824,184987,187199,189113,189544,189613,189311,191121,193082,194566,195984,196548,199168,202752,206045,209388,212581,217445,221589,225431,228763,231612,234288,236589,239212,242152,244771,247863,250432,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274943,276084,277274,278140,277553,276237,274324,273651,273295,274085,274172,275130,275638
 "34001","Atlantic, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3978,4450,4849,5214,5778,6206,6773,7499,8321,9312,10721,12269,13949,14851,15958,17670,18586,19569,20366,21822,22301,22469,20990,23279,24151,24518,26181,27562,28759,29692,30268,31664,29156,29844,30521,31972,33365,36359,38012,39139,38121,38606,40085,40605,41037,41890,42510,43120,44374,46175,49116,53533,57351,55918
 "34003","Bergen, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",4928452,5295087,5627984,6064621,6556908,7082772,7588369,8179180,8904872,9877344,10915527,12260308,13753633,14796468,15954636,17718121,18977614,20187177,21761703,24059548,26032019,27028883,27188418,29309005,29963845,31430522,33458302,35583651,38087860,40248821,41664664,45915822,46188297,46245264,45969724,49194022,50717304,55191076,58905356,59659525,57504753,59470693,62403387,65282802,64950562,67172514,70448449,72046631,74672799,78821904,82869454,84358030,90383200,92572219
 "34003","Bergen, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",893713,896575,893789,884746,879576,873773,871592,865559,859951,855004,851298,845904,846358,844419,845965,845834,842541,840309,835367,831343,826527,826129,829599,837520,843198,848392,855242,862048,868897,875050,880225,885180,888782,890647,892214,893378,891446,889406,890817,895328,900319,906894,915051,921783,927974,933917,939423,943829,950448,953401,955240,953617,954879,952997
 "34003","Bergen, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5515,5906,6297,6855,7455,8106,8706,9450,10355,11552,12822,14494,16250,17523,18860,20948,22524,24024,26050,28941,31496,32718,32773,34995,35536,37047,39121,41278,43835,45996,47334,51872,51968,51923,51523,55065,56893,62054,66125,66634,63872,65576,68197,70822,69992,71926,74991,76334,78566,82674,86752,88461,94654,97138
 "34005","Burlington, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1340421,1466500,1617126,1799769,1949664,2134897,2327024,2615903,2859966,3200518,3612382,4088709,4537941,4899946,5311047,5783941,6271933,6727939,7217165,7844811,8424351,8883089,9135251,9872562,10080184,10526434,10989247,11589479,12341323,13140888,13892822,15196783,15727305,16321216,17076202,17893644,18458891,19659273,20463922,21378245,21332443,21736885,22499326,22898552,23080613,23908179,24812155,25520889,26193549,27081703,28319603,30177389,32331893,32836141
