GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "32000","Nevada",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",2278607,2560413,2860381,3196764,3630058,4025238,4543971,5170461,5977935,7225731,8372017,9681438,10998173,11752694,12530750,13634293,14791280,15979144,17406994,19826291,22328914,25039231,27543572,30459859,32932912,36442306,40075451,44336734,48450166,54217238,58623619,64312598,68026741,69952742,74518428,82524683,92194143,99485129,103705970,102535875,96982751,100750401,104596400,108696140,108914362,115514106,125088591,129879146,138846976,148408130,159292887,170269224,192006059,197290898
 "32000","Nevada",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2701967,2710520,2739941,2770049,2809771,2857017,2905604,2955631,3011627,3068943,3115648,3146402,3177772
 "32000","Nevada",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4747,5191,5501,5847,6381,6746,7331,7994,8815,10045,10942,11949,12975,13332,13893,14741,15553,16295,17009,18443,19632,20512,21250,22540,23337,24306,25339,26608,27464,29256,30301,31858,32418,32180,33136,35173,37907,39437,39870,38640,36125,37288,38589,39671,39319,41112,43783,44700,46977,49278,51905,54650,61024,62085
 "32001","Churchill, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",35207,42626,49544,59327,69620,70875,69722,77803,86389,100700,112363,133059,146057,153766,164670,182528,202924,216742,240540,264644,284288,291082,320848,354173,389045,420407,439130,486498,522981,575019,589210,624599,603672,621183,656517,709258,754318,771622,787019,816015,791594,835765,876843,869098,873887,909431,945305,980383,1052016,1097591,1147063,1277265,1420593,1400858
 "32001","Churchill, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",10498,10635,11157,11625,11850,11924,11987,11960,12131,12771,13571,13917,13896,14178,14319,14397,15029,15717,16425,16990,17555,18039,18637,18963,19723,20519,21197,21960,23179,23503,23859,24024,24342,24155,24026,24226,24593,24842,24961,25049,25067,24820,24627,24302,24007,23930,24089,24056,24204,24708,25202,25568,25671,25843
 "32001","Churchill, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3354,4008,4441,5103,5875,5944,5816,6505,7121,7885,8280,9561,10511,10845,11500,12678,13502,13790,14645,15576,16194,16136,17216,18677,19725,20489,20717,22154,22563,24466,24696,25999,24800,25717,27325,29277,30672,31061,31530,32577,31579,33673,35605,35762,36401,38004,39242,40754,43465,44422,45515,49956,55338,54206
 "32003","Clark, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1273648,1429017,1582762,1747451,1984224,2221573,2515704,2863774,3296192,3959777,4630517,5358883,6156325,6625066,7093052,7677223,8372251,9138380,10033816,11495419,13183129,15090973,16742593,18660123,20530800,23017431,25550577,28589960,31629874,35921375,39226327,43220927,46417362,48327299,51607812,57552364,65174906,70658033,74098045,73157227,67741924,69690053,72486084,77122169,77179892,82308254,88989148,92300696,98136446,104221369,112745711,119563676,134011250,137403632
 "32003","Clark, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",267479,276079,293008,307426,319399,336930,351339,369529,389965,412913,441358,469185,492747,513708,530195,544893,561081,580775,611763,647410,691467,756170,816085,857357,902338,972624,1035847,1099894,1177230,1251258,1321254,1393909,1460500,1522962,1584166,1662773,1729522,1803774,1867817,1912349,1939407,1951737,1957626,1981384,2005757,2037960,2077790,2115963,2154616,2195698,2237815,2274734,2295194,2322985
 "32003","Clark, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4762,5176,5402,5684,6212,6594,7160,7750,8453,9590,10492,11422,12494,12897,13378,14089,14922,15735,16401,17756,19065,19957,20516,21765,22753,23665,24666,25993,26868,28708,29689,31007,31782,31732,32577,34612,37684,39172,39671,38255,34929,35707,37028,38923,38479,40388,42829,43621,45547,47466,50382,52562,58388,59150
 "32005","Douglas, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",44246,52296,61364,73219,89008,105053,116560,137505,164116,211014,242165,281791,310463,328145,349968,401234,439626,469213,489528,570991,625165,689427,804738,891572,960093,1049612,1147035,1260353,1401357,1534858,1609462,1711277,1771437,1781280,1924146,2210873,2400122,2549387,2598550,2470452,2331969,2391548,2454533,2573585,2571564,2704358,3037748,3059147,3328777,3477177,3735401,4226734,4751159,4977474
 "32005","Douglas, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",6674,7008,7753,8777,10119,11131,12069,13097,14324,16072,18391,19487,19720,20348,20420,21152,22276,22854,23951,25009,26579,28010,30066,31694,33089,34413,36121,37286,38241,39321,40458,41443,42327,43436,44524,46388,46731,46855,47166,47270,46965,47045,47023,47006,47066,47553,47605,48025,48273,48824,49334,49522,49969,49628
 "32005","Douglas, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",6630,7462,7915,8342,8796,9438,9658,10499,11457,13129,13168,14460,15744,16127,17138,18969,19735,20531,20439,22831,23521,24614,26766,28131,29015,30500,31755,33802,36645,39034,39781,41292,41851,41009,43216,47660,51360,54410,55094,52263,49653,50835,52199,54750,54637,56870,63812,63699,68957,71219,75717,85351,95082,100296
 "32007","Elko, NV",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",60312,65085,72602,83995,94918,96967,104715,114726,127795,143893,161872,198692,228168,247923,264161,293878,316885,334522,388039,515141,596171,643081,702010,773882,845085,918431,963741,1063729,1103927,1150613,1185580,1231383,1145338,1148277,1199844,1320145,1396316,1536904,1707596,1811951,1803999,1977040,2109219,2166419,2182375,2187352,2170078,2198372,2308347,2432170,2528805,2698820,2877927,2920991
 "32007","Elko, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",13979,13932,13938,15107,15469,15707,15574,15776,15508,15839,16054,17550,18650,19687,20417,20822,21822,23344,24528,27050,30904,34142,35760,37060,38717,40193,41363,43347,45360,45849,45134,45233,45063,44173,43693,43830,44760,46108,47423,47634,48445,49109,49544,51150,52605,52915,52122,52461,52820,53056,53542,53670,53811,54046
