GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "36000","New York",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",83626257,89895425,96121001,102833594,109571703,118064617,127413860,134980837,145640377,158583699,173371724,193336283,215436642,234154698,252718689,279066436,298925027,319272979,339348059,373424007,403530094,432353696,433087824,457070947,469679135,484265850,510311719,536942300,567116455,600087225,635242742,683214301,709417581,707561130,717555330,749469308,777653227,836022632,899609888,920456535,906188251,943392743,995231357,1039791605,1051798103,1090000795,1137082289,1176654694,1255776700,1298669006,1343066325,1405028826,1508135064,1483802284
 "36000","New York",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",18105000,18271605,18364865,18351767,18194767,18072768,18032254,17974654,17851507,17720421,17633646,17566754,17567731,17589737,17686907,17745676,17791678,17833421,17868844,17941309,17983084,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,18882725,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19419964,19600908,19757479,19892169,20002008,20088855,20150838,20190489,20222664,20222325,20108296,19857492,19677151
 "36000","New York",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4619,4920,5234,5603,6022,6533,7066,7510,8158,8949,9832,11006,12263,13312,14288,15726,16801,17903,18991,20814,22439,23992,23898,25050,25561,26234,27549,28886,30398,31995,33641,35955,37176,36972,37420,39093,40645,43760,47020,47909,46936,48579,50775,52628,52875,54495,56603,58392,62196,64218,66415,69873,75948,75407
 "36001","Albany, NY",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1222715,1384440,1530814,1657409,1783091,1920264,2067910,2184206,2346577,2541905,2768973,3068715,3371100,3679548,3996633,4421276,4764489,5131394,5401945,5901495,6538903,6939715,7109586,7468574,7656993,7853687,8084680,8308335,8765590,9217741,9877779,10613847,10560011,10493122,10914853,11249338,11476555,11990809,12416803,13157307,13412590,14003474,14598320,15121745,15337648,16123733,16695928,16746709,17925152,18084599,19419693,21610081,23219393,23093599
 "36001","Albany, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",286201,287151,288612,290300,289750,289146,287863,286517,286155,286922,286969,286173,286690,287159,287780,288450,289760,291010,290843,291094,292202,292956,295530,296913,298592,300262,299725,297680,296187,295097,294692,295106,296232,298283,301085,302173,302791,303997,303858,303739,304733,304352,305966,308196,310162,311828,313183,314561,315765,315604,314702,313987,316301,315811
 "36001","Albany, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4272,4821,5304,5709,6154,6641,7184,7623,8200,8859,9649,10723,11759,12814,13888,15328,16443,17633,18573,20274,22378,23689,24057,25154,25644,26156,26974,27910,29595,31236,33519,35966,35648,35178,36252,37228,37903,39444,40864,43318,44014,46011,47712,49065,49450,51707,53310,53238,56767,57302,61708,68825,73409,73125
 "36003","Allegany, NY",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",135581,149905,164561,175435,192517,212798,232194,249323,266077,289529,325516,361827,391471,422523,434855,468834,491980,515526,547581,601495,643562,687667,715315,764838,783979,795944,834604,876476,890469,926497,960621,998990,1008666,1031226,1064819,1122576,1148267,1180890,1224705,1358416,1344781,1382418,1418898,1439630,1425116,1488817,1614427,1630792,1857030,1861874,1923499,1976903,1978492,1928302
 "36003","Allegany, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",46301,46729,48061,49963,50253,50538,51450,51858,52155,52209,52348,51785,51861,51640,51354,51070,50723,50060,49768,49835,50166,50522,50935,50967,50807,51012,51251,50869,50325,49991,49997,49819,50079,50014,50165,50311,49768,49359,49079,49177,48969,48995,48918,48415,48195,48031,47791,47582,47267,46962,46668,47320,46921,46694
 "36003","Allegany, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2928,3208,3424,3511,3831,4211,4513,4808,5102,5546,6218,6987,7548,8182,8468,9180,9699,10298,11003,12070,12829,13611,14044,15007,15431,15603,16285,17230,17694,18533,19214,20052,20141,20619,21226,22313,23072,23925,24954,27623,27462,28215,29006,29735,29570,30997,33781,34273,39288,39646,41217,41777,42166,41297
 "36005","Bronx, NY",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",5313763,5657441,5908732,6182516,6381338,6760973,7242870,7401039,7680066,8077084,8585409,9498003,10542986,11435523,12211524,13296428,14031024,14820816,15389737,16437777,17562571,18881683,19211609,19710449,20235315,20948935,21723892,22417160,23138740,23950220,25093276,26912842,29015582,29633651,30564954,32187931,32553078,34893084,37855056,37898793,38706668,40334439,41280014,41287173,41886481,43420096,45367105,46570255,49421806,50975925,54581191,60256805,62556538,56151391
