GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "40000","Oklahoma",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",8454824,9325575,10163611,11153394,12652931,14079579,15735744,17348684,19295941,21896038,25413798,29286958,34192458,38159431,39088971,41896949,43595242,43867691,43620137,45584662,48472389,51112102,52723718,56001403,58200991,60762957,63357553,67111450,71071391,74943596,76956477,83332119,88609534,90711628,95275667,102917268,112487587,124536498,128994333,143654854,133218319,139695062,150301952,159875362,167796900,177635739,172726289,164709044,171995438,180823960,189981259,199233203,220176482,226307998
 "40000","Oklahoma",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759581,3786640,3815353,3848112,3871583,3901051,3916821,3920455,3928494,3943796,3964912,3991225,4019800
 "40000","Oklahoma",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3335,3634,3882,4197,4696,5153,5677,6145,6733,7517,8557,9631,11044,11902,11880,12752,13326,13486,13588,14393,15387,16232,16604,17389,17895,18520,19152,20092,21071,22009,22390,24124,25557,25999,27184,29194,31699,34650,35493,39154,35835,37157,39693,41903,43605,45882,44277,42052,43871,46029,48172,50249,55165,56298
 "40001","Adair, OK",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",28386,31954,34889,39055,45471,51351,57539,60549,65204,74878,89381,98796,109252,115908,122092,144849,154045,168077,166683,179068,201485,214027,227242,257496,258332,272464,275979,283943,297104,305874,316145,328746,362411,382808,385615,403042,428137,446078,466868,478669,491326,530843,551112,561700,564174,579553,622361,616247,635443,644545,657698,696105,784508,815623
 "40001","Adair, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",14888,15187,15547,16274,16725,16786,17077,17300,17663,18185,18702,18518,18258,18437,18845,18369,18357,18557,18815,18771,18516,18444,18844,19178,19483,19784,19933,20182,20421,20748,20904,21031,21101,21271,21445,21589,21887,22215,22345,22346,22477,22693,22334,21872,21609,21284,20913,20695,20284,20158,19893,19451,19479,19576
 "40001","Adair, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1907,2104,2244,2400,2719,3059,3369,3500,3692,4118,4779,5335,5984,6287,6479,7886,8392,9057,8859,9540,10882,11604,12059,13427,13259,13772,13845,14069,14549,14742,15124,15631,17175,17997,17982,18669,19561,20080,20894,21421,21859,23392,24676,25681,26108,27230,29760,29778,31327,31975,33062,35788,40275,41664
 "40003","Alfalfa, OK",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",24868,31898,34357,33314,36812,42632,43528,37914,37216,49466,63801,63408,79645,107070,82853,108872,93224,89674,96296,102494,100561,106416,89547,107467,99246,97151,86147,90631,112032,111084,114776,126959,132270,128256,142030,138363,138768,138596,141345,185630,155264,180569,218677,252569,247755,282263,263726,216353,210064,225030,215343,233653,258672,236289
 "40003","Alfalfa, OK",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",7928,7216,7206,7110,7027,7021,7175,7237,7230,7314,7231,7111,7235,7380,7519,7324,7197,7222,6979,6637,6575,6384,6367,6327,6309,6291,6275,6291,6247,6244,6125,6080,5933,5894,5827,5785,5706,5639,5618,5618,5585,5627,5645,5665,5851,5816,5910,5924,5902,5739,5661,5708,5681,5637
 "40003","Alfalfa, OK",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3137,4420,4768,4686,5239,6072,6067,5239,5147,6763,8823,8917,11008,14508,11019,14865,12953,12417,13798,15443,15294,16669,14064,16985,15731,15443,13729,14406,17934,17791,18739,20881,22294,21760,24374,23918,24320,24578,25159,33042,27800,32090,38738,44584,42344,48532,44624,36521,35592,39211,38040,40934,45533,41918
 "40005","Atoka, OK",6,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",20360,23270,24163,27315,34654,35890,40943,43423,46120,51844,57366,64993,78070,85814,92125,103120,108910,107180,107124,113389,122453,122571,131028,138589,148567,158693,167248,177466,186127,194485,205225,218627,227908,247952,257558,260897,281668,294179,321800,338743,347179,362360,379423,390322,399420,419907,419491,419535,432401,439937,450380,487211,517021,510903
