GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "41000","Oregon",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",7832186,8537112,9382814,10511429,11845440,13431788,14919665,16821714,18812438,21563442,24389914,27037638,29153824,29990192,31912923,34539865,36298355,38195548,40028834,43729905,48034370,51924984,54721664,58422080,62515825,66933205,72043802,77668514,82276640,86877803,89931392,96913747,99785736,101042146,104729621,110580697,116073359,126600112,132605592,138899921,134391819,137926267,145345124,152601501,154851248,165171917,177478055,186104953,197262336,210044887,219982662,239862474,262382376,264173844
 "41000","Oregon",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",2062000,2100388,2149890,2195219,2238878,2280956,2324622,2372155,2439355,2509609,2578312,2641218,2667985,2664919,2653071,2666589,2672648,2683526,2700996,2741297,2790579,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3393941,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837611,3872655,3900071,3924064,3965387,4018466,4093179,4147186,4183414,4215976,4244795,4256301,4240137
 "41000","Oregon",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3798,4065,4364,4788,5291,5889,6418,7091,7712,8592,9460,10237,10927,11254,12029,12953,13581,14233,14820,15952,17213,18153,18686,19528,20428,21444,22624,23919,24900,25915,26498,28257,28774,28759,29523,30980,32125,34488,35624,36856,35286,35941,37531,39128,39462,41653,44166,45467,47565,50209,52178,56507,61646,62303
 "41001","Baker, OR",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",49098,55129,62304,71145,74242,78192,86523,95439,104014,113483,137927,145195,155066,156943,166500,168972,169866,171401,176161,192162,210114,223596,232674,243625,263997,273748,287742,296444,321628,329294,321548,342351,337701,340932,354199,366858,378863,396352,415525,440589,456405,462786,483468,503750,523306,553902,581612,601281,605456,642948,671900,749023,812491,824298
 "41001","Baker, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",15219,15070,15721,15612,15491,15206,15748,15463,15799,15712,16121,16153,16198,16377,16255,16118,15731,15426,15130,14994,14890,15433,15581,15847,16172,16418,16691,16652,16746,16841,16755,16714,16618,16376,16312,16272,16086,16094,16139,16195,16225,16126,16117,16087,16151,16193,16099,16211,16329,16343,16483,16725,16873,16938
 "41001","Baker, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3226,3658,3963,4557,4793,5142,5494,6172,6584,7223,8556,8989,9573,9583,10243,10483,10798,11111,11643,12816,14111,14488,14933,15374,16324,16674,17239,17802,19206,19553,19191,20483,20321,20819,21714,22545,23552,24627,25747,27205,28130,28698,29997,31314,32401,34206,36127,37091,37079,39341,40763,44785,48153,48666
 "41003","Benton, OR",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",171727,183578,205429,232456,263806,299249,338181,389271,446823,514888,569902,629988,706338,744966,798497,857647,887616,936492,985679,1062218,1169259,1226137,1281174,1366958,1477829,1589481,1741541,1924220,2061053,2156755,2161030,2269002,2364604,2403152,2540988,2591428,2644453,2793965,2900331,3074943,2950799,3059405,3234454,3252247,3234109,3429054,3582335,3784693,3943228,4205820,4431794,4759412,5258868,5401411
 "41003","Benton, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",51491,53943,54929,60135,59313,61230,61618,62299,65569,66955,68171,68471,69369,69461,68245,67474,67275,66940,67590,67876,69879,71059,71507,72618,73997,75481,76517,77776,78560,78943,78254,78236,78491,80203,80322,80149,80943,81957,83718,84150,85390,85619,86494,87095,86784,88034,89368,91178,93257,94042,94844,95208,96277,97630
 "41003","Benton, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3335,3403,3740,3866,4448,4887,5488,6248,6815,7690,8360,9201,10182,10725,11700,12711,13194,13990,14583,15649,16733,17255,17917,18824,19971,21058,22760,24741,26235,27320,27616,29002,30126,29963,31635,32333,32671,34091,34644,36541,34557,35733,37395,37341,37266,38951,40085,41509,42283,44723,46727,49990,54622,55325
 "41005","Clackamas, OR",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",671450,717676,803901,922265,1043553,1187847,1337667,1539362,1739043,2064820,2423341,2797546,3059521,3179899,3372139,3679094,3881929,4102521,4341774,4762161,5331052,5880653,6223496,6697385,7243096,7816667,8484806,9346767,10050594,10781716,11186494,12314613,12234522,12090185,12454430,13307805,13894857,15033140,15738742,16385687,15533291,15928979,16893912,18008318,17954121,18704851,20019138,21480104,22612761,24338342,25657646,27394717,30369278,30946445
