GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "42000","Pennsylvania",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",45346106,48843711,51835461,56579789,62032948,68133164,74472731,81283216,89174091,98271999,108710086,119133879,131383551,140328325,147211666,158758804,168297891,177003246,186827586,203001535,219826972,232899904,242842842,255911487,265557213,274855910,287343845,301835572,317130456,334421754,348489158,372690713,388186257,395633311,409185840,432634650,450359695,472940608,502658788,522993816,512318194,535335505,563528870,584880333,589720173,611421707,635818019,653328866,671702754,707043419,729142341,783825569,833321971,836778334
 "42000","Pennsylvania",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12716521,12772774,12815609,12846775,12880463,12898688,12918191,12945337,12980864,12991448,12994440,13012059,12972008
 "42000","Pennsylvania",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9156,10038,11079,11847,12436,13437,14298,15022,15818,17137,18526,19566,20267,21238,21911,22592,23556,24699,25935,27309,28416,30339,31563,32084,33066,34860,36173,37803,40008,41467,40446,42098,44120,45638,45904,47469,49293,50574,51888,54468,56125,60320,64042,64506
 "42001","Adams, PA",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",205176,220477,237257,267285,301015,335085,363640,414886,458548,511846,574468,644015,710624,767382,805023,885695,950181,1026077,1094292,1201246,1306854,1397769,1450555,1540246,1589506,1628413,1727050,1833759,1959225,2067521,2208179,2388674,2601522,2709957,2888714,3023016,3181133,3327644,3525804,3731300,3726646,3812958,3968960,4052496,4132615,4332931,4525454,4590593,4744217,4968932,5069573,5527061,5896214,5894792
 "42001","Adams, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",56433,57165,58628,60815,62627,63523,63834,64435,65398,66235,67409,68513,69506,70422,70679,70290,71043,72492,73976,75326,76609,78797,80531,81771,83013,84186,85063,86252,87751,89074,90363,91457,92591,93934,95503,97300,98606,99899,100502,101056,101252,101498,101610,101506,101504,101830,102411,102625,103414,103932,103778,103779,105632,106027
 "42001","Adams, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3636,3857,4047,4395,4806,5275,5697,6439,7012,7728,8522,9400,10224,10897,11390,12601,13375,14154,14793,15947,17059,17739,18012,18836,19148,19343,20303,21260,22327,23211,24437,26118,28097,28850,30247,31069,32261,33310,35082,36923,36806,37567,39061,39924,40714,42551,44189,44732,45876,47809,48850,53258,55818,55597
 "42003","Allegheny, PA",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",6630031,7122248,7466431,8005338,8633514,9517369,10451178,11301507,12367312,13496797,14755774,16178506,17841502,18951290,19503533,20778399,21756089,22423785,23255622,25398527,27216359,29194166,30243437,31633416,32541723,33383532,34715838,36100149,38129400,39510365,41535372,44015810,44755306,45176704,45920373,46950507,47996866,50709347,53046503,55602336,54267948,56264540,58906194,60823385,61550344,63663100,66208277,66742126,70276114,75326018,77893819,82485899,87351618,87359911
 "42003","Allegheny, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",1606592,1602690,1593414,1573451,1548863,1525950,1513436,1499354,1486316,1473802,1454339,1448253,1437549,1429717,1420639,1404696,1380315,1366108,1355061,1346483,1339463,1336740,1338435,1340919,1338289,1331772,1322460,1313445,1304196,1295026,1287247,1279651,1272416,1265577,1258420,1247531,1234787,1226025,1222482,1221071,1222171,1224896,1233085,1239536,1246180,1249357,1248993,1250277,1247438,1248213,1250117,1249524,1245445,1233253
 "42003","Allegheny, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4127,4444,4686,5088,5574,6237,6906,7538,8321,9158,10146,11171,12411,13255,13729,14792,15762,16414,17162,18863,20319,21840,22596,23591,24316,25067,26251,27485,29236,30509,32267,34397,35173,35697,36490,37635,38871,41361,43392,45536,44403,45934,47771,49069,49391,50957,53009,53382,56336,60347,62309,66014,70137,70837
 "42005","Armstrong, PA",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",233170,247373,267687,301643,328454,370298,422743,472764,523280,567528,631544,695781,758718,809568,838253,874557,897990,914706,938758,986853,1062549,1131782,1181260,1244532,1281775,1344761,1383083,1454305,1509757,1574257,1643382,1699535,1746077,1808804,1884109,1912842,2026193,2165306,2239854,2569941,2368091,2458775,2696954,2633451,2637527,2700436,2625813,2630553,2730633,2888923,2992791,3269472,3500832,3519158
 "42005","Armstrong, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",75918,75732,76720,76873,76807,76938,77567,77765,77504,78260,78064,77716,77353,77298,77320,77198,76507,76328,75330,74381,73700,73516,73898,73850,74356,74236,73978,73544,73116,73040,72572,72268,71956,71747,71645,71404,70602,70030,69845,69611,69120,69063,68832,68529,68456,68205,67616,67295,67001,66493,65898,65459,65138,64747
 "42005","Armstrong, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3071,3266,3489,3924,4276,4813,5450,6079,6752,7252,8090,8953,9809,10473,10841,11329,11737,11984,12462,13268,14417,15395,15985,16852,17238,18115,18696,19775,20649,21553,22645,23517,24266,25211,26298,26789,28699,30920,32069,36919,34261,35602,39182,38428,38529,39593,38834,39090,40755,43447,45416,49947,53745,54352
 "42007","Beaver, PA",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",732124,755596,790701,869154,973484,1131860,1263997,1382228,1536880,1714674,1918273,2082957,2328511,2300034,2210394,2295092,2323466,2379021,2444152,2561076,2766057,2960359,3116270,3285588,3419423,3547631,3673389,3848053,4054103,4161932,4352417,4556764,4803800,4819232,4902933,5154949,5336940,5631627,5901338,6131927,6072988,6298414,6596783,6790914,6835180,7034950,7205946,7314396,7491523,7890736,8190087,8822212,9231354,9081089
 "42007","Beaver, PA",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",208191,208511,208841,209953,208993,206274,208086,208300,206225,205569,204660,204001,201832,201308,199089,195760,192077,188667,186644,185406,185703,186271,187064,187917,188483,187990,187479,186663,185610,184315,182592,181054,179391,178277,177523,176395,174820,173259,172161,171336,170524,170763,170992,171284,171492,171278,171076,170196,169551,168938,168725,167860,166914,165677
 "42007","Beaver, PA",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3517,3624,3786,4140,4658,5487,6074,6636,7452,8341,9373,10211,11537,11425,11103,11724,12097,12610,13095,13813,14895,15893,16659,17484,18142,18871,19594,20615,21842,22581,23837,25168,26778,27032,27619,29224,30528,32504,34278,35789,35614,36884,38579,39647,39857,41073,42121,42976,44184,46708,48541,52557,55306,54812
 "42009","Bedford, PA",2,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",121483,130531,143162,154453,172387,188325,206678,230424,253817,283454,319206,349648,382895,407044,427890,450481,467602,490650,516243,550646,595678,622630,655429,710889,750623,791623,819134,887556,936720,987587,1046502,1092297,1144224,1169855,1207471,1229157,1237592,1319873,1432172,1522799,1517309,1590427,1690980,1711047,1701300,1741916,1820995,1818562,1897946,1958553,2022097,2182332,2371351,2345666
