GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "00000","United States", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",791229000,855525000,924613000,1016408000,1133468000,1244912000,1362505000,1495704000,1651632000,1855849000,2073296000,2313972000,2590995000,2777640000,2969333000,3275415000,3508482000,3717756000,3931800000,4264433000,4605107000,4897332000,5072291000,5406546000,5643648000,5933938000,6278125000,6660854000,7068422000,7584003000,7978449000,8620234000,8990104000,9146700000,9474684000,10008929000,10540800000,11291446000,11925044000,12423410000,12058253000,12547501000,13299818000,13905749000,14063283000,14778160000,15467113000,15884741000,16658962000,17514402000,18343601000,19609985000,21392812000,21820248000
 "00000","United States", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309378433,311841632,314344331,316735375,319270047,321829327,324367742,326623063,328542157,330233102,331511512,332031554,333287557
 "00000","United States", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3931,4198,4471,4857,5363,5836,6324,6875,7516,8356,9232,10184,11291,11990,12701,13889,14746,15482,16228,17442,18658,19619,20050,21077,21713,22552,23577,24725,25925,27493,28592,30551,31548,31801,32659,34183,35669,37843,39588,40854,39307,40557,42649,44237,44401,46287,48060,48971,51004,53309,55547,59153,64430,65470
 "00998","United States (Metropolitan Portion)", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",684087777,739319709,798048937,875093686,968033324,1066312857,1165803536,1281064175,1415460784,1589606840,1776465174,1990908866,2226860016,2391198751,2563947140,2828377511,3040766589,3233023712,3428434789,3730915703,4028127729,4289725914,4440063499,4729278236,4936863016,5186221138,5499195398,5832794165,6199376363,6670525329,7033940732,7622194487,7941114555,8079441611,8361381198,8834496795,9319147275,10009774044,10570335588,10986240039,10644483143,11074667528,11742871881,12304432213,12434649034,13098330657,13749801376,14160850146,14874329091,15658029135,16409442322,17514915792,19108986993,19506221545
 "00998","United States (Metropolitan Portion)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",165312410,167673802,170105159,172046247,173780093,175466407,177030533,178686628,180432448,182401281,184484865,186782151,188778153,190745925,192718299,194703380,196876182,199228098,201492835,203720597,206023143,208731806,211749567,214894354,217865356,220657445,223370500,226131436,229081203,232040831,235008165,237948237,240717866,243260703,245592588,248115013,250646689,253256238,255922913,258627316,261210075,263718787,266205658,268779366,271230523,273817755,276425937,278995907,281262885,283180665,284873351,286183497,286638672,287840612
 "00998","United States (Metropolitan Portion)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4138,4409,4692,5086,5570,6077,6585,7169,7845,8715,9629,10659,11796,12536,13304,14527,15445,16228,17015,18314,19552,20551,20968,22007,22660,23503,24619,25794,27062,28747,29931,32033,32989,33213,34046,35606,37180,39524,41303,42479,40751,41994,44112,45779,45845,47836,49741,50756,52884,55293,57603,61202,66666,67767
 "00999","United States (Nonmetropolitan Portion) *", ,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",107141223,116205291,126564063,141314314,165434676,178599143,196701464,214639825,236171216,266242160,296830826,323063134,364134984,386441249,405385860,447037489,467715411,484732288,503365211,533517297,576979271,607606086,632227501,677267764,706784984,747716862,778929602,828059835,869045637,913477671,944508268,998039513,1048989445,1067258389,1113302802,1174432205,1221652725,1281671956,1354708412,1437169961,1413769857,1472833472,1556946119,1601316787,1628633966,1679829343,1717311624,1723890854,1784632909,1856372865,1934158678,2095069208,2283825007,2314026455
 "00999","United States (Nonmetropolitan Portion) *", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",35985590,36124920,36712350,37228635,37569112,37867228,38426052,38867231,39328427,39696963,40083714,40442568,40687591,40918507,41073715,41121527,41047552,40904733,40796101,40778407,40796079,40891008,41231374,41619870,42053232,42468376,42907893,43262848,43565722,43813273,44032003,44214174,44251089,44364490,44515345,44690285,44869910,45123674,45308294,45466650,45561454,45659646,45635974,45564965,45504852,45452292,45403390,45371835,45360178,45361492,45359751,45328015,45392882,45446945
 "00999","United States (Nonmetropolitan Portion) *", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2977,3217,3447,3796,4403,4716,5119,5522,6005,6707,7405,7988,8950,9444,9870,10871,11394,11850,12339,13083,14143,14859,15334,16273,16807,17606,18154,19140,19948,20849,21450,22573,23705,24057,25009,26279,27227,28404,29900,31609,31030,32257,34117,35144,35790,36958,37823,37995,39344,40924,42640,46220,50312,50917
 "01000","Alabama",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",9737715,10628318,11699341,12999098,14638867,16241055,18100116,20324056,22394893,25339922,28150828,31044372,34454169,36384630,38978846,42838000,46085821,48777214,51514370,55527314,60350959,64234198,67982455,73004434,76346081,80786743,85393841,89218035,93851877,99772880,103204055,108002948,111894150,115007661,120241006,128606270,136087503,144719039,151942557,157780330,155666922,162068839,167882194,172101458,173720680,179487109,187474744,190871820,197963769,205674190,215165840,230872566,252791890,258362172
