GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "45000","South Carolina",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",7604376,8380439,9180919,10308853,11692290,13234649,14394289,16096281,17592494,19879133,22283228,24971758,28101834,29878270,32452170,36148865,38691618,41354869,44239758,48206088,52466539,56391004,58930883,62654657,65852021,69837510,73997450,78651981,83696770,89751886,94148461,100705331,104242061,107305288,111196686,117451820,124416985,134174152,143055124,149954405,146753696,151745851,160391125,168271228,170204761,180837663,192054676,200027426,210387551,219942068,234324036,250288341,274347818,283245781
 "45000","South Carolina",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",2570000,2598210,2661836,2718404,2775442,2843199,2900158,2941407,2988979,3041068,3086885,3134502,3179255,3207611,3234068,3271864,3303211,3342759,3380507,3412097,3456777,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,3974682,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4633890,4662785,4701074,4740306,4792246,4852678,4910768,4965753,5021059,5077543,5131848,5193266,5282634
 "45000","South Carolina",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2959,3225,3449,3792,4213,4655,4963,5472,5886,6537,7219,7967,8839,9315,10034,11048,11713,12371,13087,14128,15178,16106,16505,17306,17976,18848,19740,20719,21685,22900,23687,25025,25644,26122,26792,27892,29136,30789,32190,33110,31973,32747,34398,35794,35906,37735,39577,40732,42368,43804,46149,48772,52828,53618
 "45001","Abbeville, SC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",54575,57765,63150,70314,80886,86995,90431,102925,112038,124473,136862,150718,168633,176407,192799,209371,222371,233507,250051,267090,288680,305941,324403,356138,371079,397922,426278,452723,495056,531110,571001,613791,606365,562599,532688,567883,579806,601964,623816,661811,659923,676044,695909,685414,697797,727385,758940,771921,797118,816148,849281,923239,975641,970343
 "45001","Abbeville, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",20596,21141,21506,21544,21623,21860,22061,22245,22637,22933,22873,22674,22790,22964,22923,22980,22963,22831,23015,23300,23643,23958,24157,24352,24487,24680,24941,25074,25308,25670,25921,26229,26330,26311,26306,26235,25995,25821,25745,25699,25614,25332,25067,24986,24845,24723,24706,24560,24452,24470,24398,24256,24258,24356
 "45001","Abbeville, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2650,2732,2936,3264,3741,3980,4099,4627,4949,5428,5984,6647,7399,7682,8411,9111,9684,10228,10865,11463,12210,12770,13429,14625,15154,16123,17091,18055,19561,20690,22029,23401,23029,21383,20250,21646,22305,23313,24231,25752,25764,26687,27762,27432,28086,29421,30719,31430,32599,33353,34809,38062,40219,39840
 "45003","Aiken, SC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",320434,330577,357781,392372,436225,482736,516641,587551,648793,724218,805486,905730,1009929,1083298,1179994,1341945,1476309,1573058,1640958,1791322,2078377,2216318,2342049,2515188,2620400,2684007,2780735,2875382,3048029,3259950,3380394,3599044,3670511,3816111,3971688,4105171,4304348,4554502,4835930,5132340,5217962,5407088,5704396,5825663,5808454,6058975,6422772,6567228,6880247,7149928,7557042,8113687,8812850,8986274
 "45003","Aiken, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",91582,90919,91649,92470,95192,96120,97794,99450,100680,103220,104060,105957,106919,108220,108419,110440,112494,114539,115579,117042,118374,122046,126745,129898,132694,134214,135769,136477,138080,139358,141379,142742,143676,145226,146793,148746,150152,152577,154814,156896,158499,160467,161169,162149,162585,162756,163868,164981,165774,166572,167764,169163,171263,174150
 "45003","Aiken, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3499,3636,3904,4243,4583,5022,5283,5908,6444,7016,7741,8548,9446,10010,10884,12151,13123,13734,14198,15305,17558,18160,18478,19363,19748,19998,20481,21069,22074,23393,23910,25214,25547,26277,27056,27599,28667,29851,31237,32712,32921,33696,35394,35928,35726,37227,39195,39806,41504,42924,45046,47964,51458,51601
 "45005","Allendale, SC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",20553,22480,24553,26871,29995,35118,36410,39468,43109,49525,56972,60282,71066,71917,75236,84337,89124,89919,94688,101682,111411,117393,127496,136392,139592,154201,159903,158396,170095,173609,176252,180757,188124,187753,192257,199974,212213,227624,233692,247447,254900,271204,270925,267862,253577,254898,254106,263528,276337,284432,283363,320681,321786,307950
 "45005","Allendale, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",9998,9802,10003,10190,10286,10315,10384,10514,10603,10553,10706,10660,10465,10641,10795,10959,11096,11226,11440,11559,11611,11747,12048,12001,11897,11825,11760,11675,11488,11389,11316,11193,11022,11114,11092,11049,11021,10882,10787,10803,10619,10343,10184,9889,9697,9534,9232,8840,8745,8607,8304,7992,7870,7579
 "45005","Allendale, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2056,2293,2455,2637,2916,3405,3506,3754,4066,4693,5322,5655,6791,6758,6970,7696,8032,8010,8277,8797,9595,9993,10582,11365,11733,13040,13597,13567,14806,15244,15575,16149,17068,16893,17333,18099,19255,20917,21664,22905,24004,26221,26603,27087,26150,26736,27524,29811,31599,33047,34124,40125,40888,40632
 "45007","Anderson, SC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",312521,335161,369966,420211,480558,538638,578607,655129,732317,827618,932472,1040345,1155014,1221836,1335368,1476904,1567490,1660979,1788316,1965368,2131216,2269224,2358899,2495603,2641702,2811339,2994163,3189959,3412811,3637980,3828673,4085525,4188766,4247539,4365490,4515784,4723505,5011941,5322954,5623843,5525908,5772718,5998454,6131018,6287500,6622821,6930387,7214467,7565151,7934276,8323306,8929750,9755911,9995469
 "45007","Anderson, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",102780,105815,108978,110691,114236,117367,119786,120538,124331,127664,129878,133925,136250,136853,136941,137952,138975,139489,140781,142321,144236,145538,146440,148301,151014,152818,154937,157226,159623,161767,164029,166304,168881,170287,171862,173539,175467,178579,181543,184520,186544,187084,188130,188765,189934,191694,193589,195417,197959,199869,202042,204176,206852,209581
 "45007","Anderson, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3041,3167,3395,3796,4207,4589,4830,5435,5890,6483,7180,7768,8477,8928,9751,10706,11279,11908,12703,13809,14776,15592,16108,16828,17493,18397,19325,20289,21380,22489,23341,24567,24803,24943,25401,26022,26920,28066,29321,30478,29623,30856,31885,32480,33104,34549,35799,36918,38216,39697,41196,43736,47164,47693
 "45009","Bamberg, SC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",33647,37578,41552,45085,52832,58414,61539,66199,72052,79296,90147,94888,107165,113072,121147,137112,141892,148016,156750,169640,182809,190086,200059,215446,220395,233630,244162,254454,267693,280587,289023,295238,305856,314790,325267,348239,360917,394696,404714,415978,411913,424216,438253,430884,429758,453424,439094,444342,456489,472465,487726,507590,525165,516199
 "45009","Bamberg, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",16197,15813,15588,16051,16623,16929,17450,17701,17938,17872,18082,18117,18058,17965,17885,18054,17846,17658,17393,17149,17158,16883,17022,17040,17008,16944,17012,16967,16895,16801,16674,16680,16580,16548,16342,16322,16360,16392,16226,16104,16022,15926,15715,15515,15152,14844,14314,14053,13914,13738,13501,13261,13112,12908
 "45009","Bamberg, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2077,2376,2666,2809,3178,3451,3527,3740,4017,4437,4985,5238,5934,6294,6774,7595,7951,8382,9012,9892,10654,11259,11753,12644,12958,13788,14352,14997,15845,16701,17334,17700,18447,19023,19904,21336,22061,24079,24942,25831,25709,26637,27888,27772,28363,30546,30676,31619,32808,34391,36125,38277,40052,39991
 "45011","Barnwell, SC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",43568,47655,51897,57911,67569,96054,86596,86092,96097,109825,123958,131814,147591,155132,169614,192762,206160,215758,214951,244218,272599,288395,305229,354652,376580,403642,417561,422970,461187,526870,538029,519642,463794,467200,479918,494248,514087,542787,557667,585254,597941,610204,636280,629852,632755,653093,663618,671357,680107,702862,736475,790671,825167,800078
 "45011","Barnwell, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",17497,17173,17331,17793,18383,18985,19725,19294,19491,20072,20478,19880,19864,19731,19647,19770,19961,20160,20006,19973,20020,20419,20870,21428,21789,22158,22353,22588,23046,23266,23377,23478,23406,23177,23211,22980,22965,22886,22851,22761,22611,22633,22430,22302,22131,21921,21656,21452,21181,20946,20698,20580,20580,20414
 "45011","Barnwell, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2490,2775,2994,3255,3676,5059,4390,4462,4930,5472,6053,6630,7430,7862,8633,9750,10328,10702,10744,12227,13616,14124,14625,16551,17283,18217,18680,18725,20012,22645,23015,22133,19815,20158,20676,21508,22386,23717,24404,25713,26445,26961,28367,28242,28591,29793,30644,31296,32109,33556,35582,38419,40096,39193
 "45013","Beaufort, SC",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",211303,238000,237905,288576,321066,345662,380454,453335,492268,546124,614906,701420,848156,896459,947034,1097487,1207310,1321293,1391116,1507120,1658301,1839295,1918574,2111938,2249200,2482627,2668883,2927080,3226818,3558517,3786757,4049357,4369812,4507915,4767531,5267083,5760009,6472294,6968869,7151733,6950841,6775252,7218634,7628153,7810143,8484908,9122737,9646338,10023848,10582745,11501283,12213168,13537694,14166672
