GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "47000","Tennessee",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",11815600,12849372,14188137,15970576,18141651,20073602,21893630,24519691,27175753,30979262,34544015,38090043,42374357,45036017,48073556,53445267,57197621,61206494,65770270,71613065,76875704,81787247,86093139,94022364,100041604,106433967,114276071,120649337,127785224,139760336,145231941,153990107,158125252,162879395,169929514,179892943,188177577,200188916,209746788,218372476,217094703,227613018,241431730,252592322,254464603,263856025,277356111,286532273,299307669,316176537,335496924,359633593,396986140,411035072
 "47000","Tennessee",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3897000,3936975,4010238,4088445,4138417,4201621,4260829,4329160,4401939,4461639,4533297,4600252,4627662,4646043,4659757,4686743,4715292,4738708,4782939,4822438,4854432,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6356320,6404344,6463111,6507640,6558710,6612901,6672356,6739437,6806545,6862378,6925619,6968351,7051339
 "47000","Tennessee",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3032,3264,3538,3906,4384,4778,5138,5664,6174,6943,7620,8280,9157,9693,10317,11403,12130,12916,13751,14850,15836,16710,17334,18619,19472,20345,21452,22274,23237,25091,25756,26998,27496,28102,29059,30435,31410,32878,33963,34954,34427,35809,37698,39082,39102,40230,41942,42943,44411,46452,48889,51928,56970,58292
 "47001","Anderson, TN",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",187333,208124,231959,253621,277501,310627,358587,400757,447147,502357,554612,603099,665823,715436,756988,828725,863444,892057,942344,1043269,1125772,1174242,1246305,1327172,1389418,1438913,1519195,1556346,1621194,1711683,1739914,1812919,2006000,2097075,2117564,2124492,2204526,2333756,2435365,2541941,2511354,2606065,2733397,2722711,2704769,2779550,2880458,2955255,3023006,3167916,3358781,3610601,3960848,4058974
 "47001","Anderson, TN",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",60426,60538,61673,61041,60965,61552,61796,63356,65202,65100,66029,67467,67818,67762,67885,67879,67398,67047,67544,67902,68084,68406,69292,70509,70837,71151,71597,71797,71736,71321,71454,71357,71461,71515,71608,71587,72040,73117,73580,74397,75031,75082,75179,75180,75233,75072,75349,75383,75897,76087,76706,77302,77567,78913
 "47001","Anderson, TN",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3100,3438,3761,4155,4552,5047,5803,6325,6858,7717,8400,8939,9818,10558,11151,12209,12811,13305,13952,15364,16535,17166,17986,18823,19614,20223,21219,21677,22599,24000,24350,25406,28071,29324,29572,29677,30601,31918,33098,34167,33471,34710,36359,36216,35952,37025,38228,39203,39830,41635,43788,46708,51064,51436
 "47003","Bedford, TN",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",76254,80792,86088,98314,109474,117196,120879,143957,155928,175210,197973,212119,240302,250693,263645,306075,324047,350897,380773,424856,454416,468597,491237,534282,562058,593773,641250,667130,719542,788767,817385,868606,918123,890428,944289,1024681,1086567,1142622,1190139,1214541,1190601,1223846,1302915,1351935,1451820,1543524,1600150,1660338,1742834,1833856,1939162,2073731,2340997,2459149
 "47003","Bedford, TN",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",24918,24954,24820,25135,25863,26111,26193,26615,26612,27260,27501,27949,28026,28360,28393,28841,29146,29452,29554,29797,30071,30583,31292,32194,32785,33273,34251,35154,35710,36275,36931,37806,38414,38960,39697,40558,41616,42780,43678,44395,44845,45086,45267,45286,45613,46317,47027,47540,48315,49267,49812,50381,51157,51950
 "47003","Bedford, TN",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3060,3238,3468,3911,4233,4488,4615,5409,5859,6427,7199,7590,8574,8840,9286,10612,11118,11914,12884,14258,15111,15322,15698,16596,17144,17845,18722,18977,20150,21744,22133,22975,23901,22855,23787,25265,26109,26709,27248,27358,26549,27145,28783,29853,31829,33325,34026,34925,36072,37223,38930,41161,45761,47337
 "47005","Benton, TN",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",30927,34411,39137,41996,49541,56134,62004,72247,80352,90571,102128,112083,126778,126413,126637,143418,149293,156814,165626,182319,197320,209092,227425,228386,242942,262523,277025,279704,296562,302591,313901,329772,322914,332067,344388,361688,383500,399764,423879,447269,447020,461905,479300,486429,485727,483279,497233,501101,522011,538909,560303,597300,656886,653830
 "47005","Benton, TN",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12004,12173,12518,12652,12805,12928,13524,13833,14364,14572,14834,14912,14926,14985,14850,14793,14744,14581,14436,14447,14460,14580,14843,15083,15261,15498,15830,16094,16299,16353,16519,16537,16673,16572,16531,16517,16515,16435,16490,16431,16424,16502,16493,16378,16264,16072,16064,15904,15770,16000,15916,15850,15839,16002
 "47005","Benton, TN",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2576,2827,3126,3319,3869,4342,4585,5223,5594,6215,6885,7516,8494,8436,8528,9695,10126,10755,11473,12620,13646,14341,15322,15142,15919,16939,17500,17379,18195,18504,19002,19941,19367,20038,20833,21898,23221,24324,25705,27221,27217,27991,29061,29700,29865,30070,30953,31508,33102,33682,35204,37685,41473,40859
 "47007","Bledsoe, TN",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",14554,16825,18614,21885,25852,27013,30819,36021,38661,45153,49724,52135,57037,60789,68363,79118,84772,88985,92216,97864,104879,107729,112197,122226,137610,150310,157711,174096,192299,208377,213413,221157,217648,214314,217253,227190,228709,228905,233086,240482,250769,260389,282841,300163,323123,337505,353944,352019,371722,385942,420538,453729,505514,515449
 "47007","Bledsoe, TN",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",7678,7629,7664,7954,8085,8305,8807,9137,9132,9101,9374,9469,9419,9470,9490,9740,9824,9721,9818,9665,9688,9711,9873,10010,10211,10511,10918,11217,11501,11834,12142,12390,12468,12446,12502,12610,12685,12847,13028,13070,12924,12886,12972,12883,13835,14402,14470,14572,14708,14622,14828,14954,14844,14798
 "47007","Bledsoe, TN",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1896,2205,2429,2751,3198,3253,3499,3942,4234,4961,5304,5506,6056,6419,7204,8123,8629,9154,9393,10126,10826,11094,11364,12210,13477,14300,14445,15521,16720,17608,17576,17850,17457,17220,17377,18017,18030,17818,17891,18400,19403,20207,21804,23299,23355,23435,24461,24157,25273,26395,28361,30342,34055,34832
 "47009","Blount, TN",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",188106,204388,212315,233850,271699,312847,340414,389033,450847,519569,590105,672097,753782,822880,868352,936338,987538,1049156,1113562,1211211,1281497,1409219,1477421,1594426,1707136,1779168,1895504,1993468,2123783,2338020,2449953,2604102,2748790,2878742,3064255,3211402,3362554,3562231,3744298,3913188,3826521,3970346,4206818,4415709,4498497,4644743,4923882,5108840,5376103,5757372,6088126,6547155,7228403,7464299
