GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "51000","Virginia",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",17847652,19371643,21410967,23764172,26612710,29489590,32379775,35770824,39631200,44990392,50186344,56746086,63651263,68805226,74253831,82549774,89269129,96310281,103737724,113855750,123151152,129561607,135175978,143616852,150892451,158792705,166843936,175083774,186626604,199883611,214025699,231869839,244314338,251357721,266325205,284687272,303288897,323553839,341200328,355506371,349465380,364677930,385635146,402072097,398579782,414710067,433088249,444691432,462372199,479766611,501811571,530920445,578639738,599041951
 "51000","Virginia",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",4614000,4659930,4752846,4828131,4906648,4978155,5056385,5132693,5205706,5284122,5324533,5368334,5444094,5492785,5564662,5643868,5715149,5811692,5932273,6036908,6120246,6216884,6301217,6414307,6509630,6593139,6670693,6750884,6829183,6900918,7000174,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8025030,8107628,8196915,8269638,8333578,8389864,8444688,8502578,8547016,8597339,8636471,8657365,8683619
 "51000","Virginia",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3868,4157,4505,4922,5424,5924,6404,6969,7613,8514,9425,10571,11692,12526,13344,14626,15620,16572,17487,18860,20122,20840,21452,22390,23180,24085,25011,25935,27328,28965,30574,32631,33940,34495,36151,38082,40027,42164,44020,45383,44091,45443,47564,49052,48198,49764,51620,52659,54380,56133,58368,61474,66838,68985
 "51001","Accomack, VA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",72875,79372,86973,96193,112156,124861,139671,154219,166432,194395,206045,225043,256026,265601,279288,310849,342083,376280,387226,415642,454067,466208,487204,526705,540735,579207,596715,613749,635179,685283,717800,757185,795587,826979,880757,918903,950481,970801,1030159,1093105,1101435,1119556,1127574,1180215,1180745,1216319,1257547,1341408,1459442,1505510,1593013,1700237,1883502,1797403
 "51001","Accomack, VA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",29308,28863,28560,28721,29553,30551,30893,30878,30893,31259,31443,31288,31306,31264,31215,31074,31075,31228,31565,31708,31868,31803,32520,33215,33907,34568,35024,35679,36266,37059,37614,38215,37742,37308,36742,36310,35835,35192,34553,33970,33415,33178,33366,33528,33343,33465,33514,33599,33534,33516,33342,33388,33364,33191
 "51001","Accomack, VA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2487,2750,3045,3349,3795,4087,4521,4994,5387,6219,6553,7193,8178,8495,8947,10004,11008,12049,12268,13108,14248,14659,14982,15857,15948,16756,17037,17202,17514,18492,19083,19814,21080,22166,23971,25307,26524,27586,29814,32179,32962,33744,33794,35201,35412,36346,37523,39924,43521,44919,47778,50924,56453,54153
 "51007","Amelia, VA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",18123,20157,22716,25237,30447,32448,35633,38687,40992,48910,54882,61093,69014,73013,77309,92081,98451,108006,113526,125248,135731,137966,141136,152511,164183,177921,192841,207519,223050,240208,256725,273431,289118,289544,301669,336506,359365,384391,415433,417640,401675,425002,434620,453807,481285,491713,522648,524254,540987,547922,574974,610727,671171,712802
 "51007","Amelia, VA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",7702,7583,7654,7902,8002,8178,8394,8462,8482,8372,8428,8403,8380,8301,8221,8188,8276,8381,8384,8495,8748,8823,9012,9307,9634,9708,9965,10241,10634,10890,11137,11446,11481,11540,11544,11712,11943,12250,12447,12563,12594,12746,12775,12793,12728,12809,12903,12948,13142,13188,13274,13268,13337,13455
 "51007","Amelia, VA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2353,2658,2968,3194,3805,3968,4245,4572,4833,5842,6512,7270,8236,8796,9404,11246,11896,12887,13541,14744,15516,15637,15661,16387,17042,18327,19352,20264,20975,22058,23052,23889,25182,25090,26132,28732,30090,31379,33376,33244,31894,33344,34021,35473,37813,38388,40506,40489,41165,41547,43316,46030,50324,52977
 "51009","Amherst, VA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",63907,69928,74674,83022,93321,105825,118900,130263,142042,159827,180867,190644,209410,228101,253338,280025,294516,314975,338784,355269,382195,399914,412668,436118,469034,493905,516483,545755,575625,606532,645661,691556,708980,717856,738756,781092,820486,871901,913287,963318,960576,964900,986078,1015493,1009931,1048545,1071557,1090347,1119985,1155820,1190394,1283599,1382732,1412745
 "51009","Amherst, VA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",26007,26141,26779,27593,27431,27242,27579,27780,27675,28284,28927,29128,29098,29143,28931,28926,28715,28654,28595,28576,28402,28694,28962,29287,29581,30085,30387,30774,30994,31199,31710,31854,31953,31775,31810,31783,31955,32094,32203,32510,32447,32380,32112,32552,32204,32010,31654,31664,31615,31457,31325,31309,31391,31589
 "51009","Amherst, VA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2457,2675,2789,3009,3402,3885,4311,4689,5133,5651,6253,6545,7197,7827,8757,9681,10257,10992,11848,12432,13457,13937,14249,14891,15856,16417,16997,17734,18572,19441,20361,21710,22188,22592,23224,24576,25676,27167,28360,29631,29604,29799,30707,31196,31360,32757,33852,34435,35426,36743,38001,40998,44049,44723
 "51011","Appomattox, VA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",27432,29842,31878,35878,40772,45934,49248,56284,62218,71823,78484,87904,96598,99590,109094,122729,131492,140265,149830,159132,174606,182639,186071,198521,206752,224648,234195,249503,268556,287349,308924,337086,338128,337269,349370,363484,381515,400193,425486,452271,457510,461071,476887,482419,496034,515871,542320,553889,575635,601780,620014,677317,745095,769590
 "51011","Appomattox, VA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",9803,9793,9984,10408,10336,10660,11216,11392,11574,11791,12164,11994,12064,12031,12097,12083,12124,12146,12272,12346,12312,12312,12560,12613,12751,12798,12953,13088,13277,13466,13651,13692,13809,13733,13765,13916,13981,14215,14425,14795,14812,15093,15115,15261,15344,15382,15533,15593,15783,15952,15989,16154,16398,16748
 "51011","Appomattox, VA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2798,3047,3193,3447,3945,4309,4391,4941,5376,6091,6452,7329,8007,8278,9018,10157,10846,11548,12209,12889,14182,14834,14815,15739,16215,17553,18080,19063,20227,21339,22630,24619,24486,24559,25381,26120,27288,28153,29496,30569,30888,30549,31551,31611,32328,33537,34914,35522,36472,37724,38778,41929,45438,45951
 "51013","Arlington, VA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1195040,1327239,1465465,1564904,1648408,1738215,1918994,2043208,2174133,2443222,2674294,2992234,3238220,3444826,3577936,3900436,4157544,4371213,4569010,4970776,5254603,5417570,5684527,6049677,6365980,6665474,7045497,7403392,7863027,8482659,9043102,9860685,10576399,10839308,11397448,12051744,12819954,13673978,14496560,15189448,15035711,16579030,17778662,18481882,17760244,18653176,19446327,19937449,21017389,22229262,22820517,23342907,25454836,26281190
 "51013","Arlington, VA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",174981,173825,174500,172980,164416,156886,156925,158937,156584,154634,154108,153363,156123,157834,160483,163163,165356,167502,168060,169903,170391,171164,172773,175365,177845,180563,181741,182801,184768,186693,188716,189198,190386,190137,188735,187901,187760,188176,190759,196305,202637,209293,215943,221365,224754,225792,228283,231078,234337,235683,237280,238799,233574,234000
 "51013","Arlington, VA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",6830,7635,8398,9047,10026,11079,12229,12855,13885,15800,17353,19511,20741,21826,22295,23905,25143,26096,27187,29257,30839,31651,32902,34498,35795,36915,38767,40500,42556,45436,47919,52118,55552,57008,60389,64139,68278,72666,75994,77377,74200,79214,82330,83491,79021,82612,85185,86280,89689,94318,96175,97751,108980,112313
 "51017","Bath, VA",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",13313,14683,16023,18369,20958,23311,25215,27314,30563,39179,46283,48773,48724,59288,67795,75905,72064,67327,67524,69275,77306,78675,84225,92475,100550,104010,104810,109065,115522,117725,125363,134477,145689,148568,153155,163934,163280,165314,176460,181092,173792,178536,200329,223226,211645,219734,233575,245498,255495,260360,268029,291914,283915,302572
 "51017","Bath, VA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",5201,5207,5266,5252,5262,4890,5356,5214,5121,5447,5626,5786,5481,5410,5493,5395,5330,5117,5043,5001,4911,4790,4786,4799,4861,4906,4954,4997,4967,5026,5052,5020,4997,5012,4974,4934,4891,4823,4835,4778,4743,4723,4666,4662,4619,4572,4507,4459,4328,4341,4241,4186,4087,4049
 "51017","Bath, VA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2560,2820,3043,3498,3983,4767,4708,5239,5968,7193,8227,8429,8890,10959,12342,14070,13520,13158,13390,13852,15741,16425,17598,19270,20685,21201,21157,21826,23258,23423,24815,26788,29155,29642,30791,33225,33384,34276,36496,37901,36642,37801,42934,47882,45821,48061,51825,55057,59033,59977,63199,69736,69468,74728
 "51019","Bedford, VA*",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",98697,102584,111061,126140,145128,164214,174697,203128,231707,268705,311860,362304,400891,430196,477718,537636,585930,634259,694957,763749,844631,915421,972050,1046980,1131612,1201605,1297184,1415622,1553913,1683327,1794277,1914539,1968106,2001231,2050799,2119848,2231092,2432435,2539775,2689239,2670058,2706341,2815345,2956860,2989914,3104181,3251297,3302567,3462854,3609168,3779260,3985249,4307397,4433461
 "51019","Bedford, VA*",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",32709,32872,33931,33641,34727,35696,36096,36657,37336,39054,40243,41157,42038,42582,43145,44277,45261,46538,48013,49296,50658,51978,53666,55438,57062,58776,60684,62320,63058,64763,65758,66897,67385,67900,68678,69761,71011,72510,73561,73744,74573,75026,75525,75700,76108,76947,77519,77865,78258,78902,79188,79553,80287,80848
 "51019","Bedford, VA*",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3017,3121,3273,3750,4179,4600,4840,5541,6206,6880,7749,8803,9536,10103,11072,12143,12946,13629,14474,15493,16673,17612,18113,18886,19831,20444,21376,22715,24643,25992,27286,28619,29207,29473,29861,30387,31419,33546,34526,36467,35805,36072,37277,39060,39285,40342,41942,42414,44249,45742,47725,50096,53650,54837
