GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "50000","Vermont",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1515435,1663931,1802291,1989067,2183882,2364027,2591785,2876016,3120096,3573412,4014867,4506540,5061344,5491146,5906012,6480322,7031154,7564819,8173313,8965124,9903085,10293914,10507320,11227015,11661131,12223050,12862199,13545648,14358996,15458643,16326189,17680211,18797433,19198107,19945829,21049089,21477398,22803466,24062984,25449395,25216382,25988718,27547769,28291866,28665970,29724479,30597984,31073264,31960192,33117074,34824056,37273845,39603541,40790337
 "50000","Vermont",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,626360,629582,630661,632824,633827,635874,636342,639061,640667,641838,642893,646972,647064
 "50000","Vermont",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3468,3728,3967,4294,4661,4996,5401,5928,6339,7171,7939,8793,9817,10578,11286,12305,13265,14165,15128,16307,17757,18226,18479,19602,20184,20936,21837,22816,24042,25747,27000,29002,30704,31194,32282,33955,34573,36609,38595,40774,40358,41492,43756,44861,45298,46897,48120,48831,50011,51692,54257,57978,61214,63039
 "50001","Addison, VT",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",74438,83975,91418,101674,111057,118305,128497,143055,152384,176850,202144,230802,260375,283699,299545,331206,363760,401782,440321,468935,517755,548249,558197,595650,610071,639535,669595,720665,759839,835431,890831,964761,1035981,1059614,1121869,1172383,1181137,1241955,1333836,1412059,1392853,1472334,1570335,1654418,1640615,1668749,1677984,1732743,1802976,1853991,1961242,2082271,2240719,2332266
 "50001","Addison, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",23692,24283,24462,24707,25726,26403,26799,27132,27269,27595,28477,29448,29549,29932,30439,30521,30642,30739,31353,31988,32380,33150,33454,33762,34140,34394,34599,34930,35103,35481,35687,36002,36055,36320,36432,36580,36611,36758,36886,36905,36847,36825,37030,37013,37097,37144,37196,37260,37280,37351,37423,37343,37444,37578
 "50001","Addison, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3142,3458,3737,4115,4317,4481,4795,5273,5588,6409,7099,7838,8812,9478,9841,10852,11871,13071,14044,14660,15990,16538,16686,17643,17870,18594,19353,20632,21646,23546,24962,26797,28733,29174,30794,32050,32262,33787,36161,38262,37801,39982,42407,44698,44225,44926,45112,46504,48363,49637,52407,55761,59842,62065
 "50003","Bennington, VT",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",108243,116721,127492,145252,160171,171547,186116,209040,229403,262489,295207,325514,363805,395890,425581,459308,487742,515326,550743,602019,666908,680732,690324,734596,761959,800360,826247,859368,916034,1012455,1045574,1119212,1192774,1189790,1217760,1289383,1279684,1378010,1459534,1546493,1463686,1499932,1586816,1619542,1622615,1682194,1729666,1761455,1813505,1877394,1968379,2076975,2186001,2248611
 "50003","Bennington, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",28669,29234,29264,29154,30351,31131,31375,31873,32890,32983,33131,33447,33782,34084,34411,34648,34839,34928,35156,35551,35876,35854,35809,35940,36053,36316,36680,36809,36782,36770,36927,36965,36974,37105,37083,37062,36960,37127,37077,37168,37151,37127,37066,37071,37201,37026,37214,37183,37157,37220,37311,37300,37424,37392
 "50003","Bennington, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3776,3993,4357,4982,5277,5510,5932,6559,6975,7958,8910,9732,10769,11615,12368,13256,14000,14754,15666,16934,18589,18986,19278,20440,21134,22039,22526,23347,24904,27535,28315,30278,32260,32065,32839,34790,34623,37116,39365,41608,39398,40400,42811,43688,43618,45433,46479,47373,48807,50440,52756,55683,58412,60136
 "50005","Caledonia, VT",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",71415,77914,86063,95053,105947,113200,124281,141857,150392,165605,179159,198457,221373,239081,255912,277339,298607,321599,344474,376328,410920,426436,434901,480673,479948,498175,521612,550210,582825,627264,653625,723256,729002,748052,771710,812299,835297,880094,947447,1017444,1008648,1032647,1082806,1107916,1123690,1155498,1162794,1164921,1187373,1229318,1299542,1442840,1528926,1544497
 "50005","Caledonia, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",22597,22882,23239,23740,23952,24239,24873,25089,25181,25530,25870,25824,25826,25772,25874,26065,26013,26249,26521,27089,27477,27982,28249,28417,28713,28827,28934,29223,29131,29214,29546,29662,29704,30046,30188,30642,30881,31252,31238,31167,31213,31175,31178,31148,31220,31097,30922,30486,30533,30634,30318,30183,30423,30579
 "50005","Caledonia, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3160,3405,3703,4004,4423,4670,4997,5654,5972,6487,6925,7685,8572,9277,9891,10640,11479,12252,12989,13892,14955,15240,15395,16915,16715,17282,18028,18828,20007,21471,22122,24383,24542,24897,25563,26509,27049,28161,30330,32645,32315,33124,34730,35569,35993,37158,37604,38212,38888,40129,42864,47803,50256,50508
 "50007","Chittenden, VT",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",351653,393698,424492,461181,495314,536065,595684,665557,733964,853401,976886,1102226,1255178,1371616,1489374,1637327,1800485,1944244,2113631,2358832,2640816,2781527,2856476,3018697,3151862,3268572,3501403,3736159,3937973,4273355,4557272,4961088,5228770,5368221,5643318,5869462,5985715,6429727,6716443,7161210,7064361,7256821,7826069,8073154,8247941,8588390,8908469,9108288,9374735,9723782,10186714,10738289,11505189,11947718
 "50007","Chittenden, VT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",96160,99762,102354,104328,104163,104965,106233,107909,109777,111354,113185,115955,117334,118431,119853,120777,122341,123808,125371,128298,130682,132143,132996,134042,135985,138442,140104,141239,142729,143758,145379,147161,148441,149639,150410,151445,152163,152861,153625,154659,155793,156868,158557,159638,160829,161781,163593,164298,166138,167055,167633,168386,169271,169301
 "50007","Chittenden, VT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3657,3946,4147,4420,4755,5107,5607,6168,6686,7664,8631,9506,10697,11582,12427,13557,14717,15704,16859,18386,20208,21049,21478,22521,23178,23610,24991,26453,27591,29726,31348,33712,35225,35874,37520,38756,39338,42063,43720,46303,45345,46261,49358,50572,51284,53087,54455,55438,56427,58207,60768,63772,67969,70571
 "50009","Essex, VT",1,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",15458,17245,19006,19994,22373,24154,25272,28610,30226,33480,36897,41039,47157,49472,53551,58987,61083,64338,67960,75720,79718,81179,83692,89049,90875,94767,97757,101601,109828,120122,124167,131726,135648,136508,141098,148393,152304,162106,171426,183371,188261,195640,199737,197966,200821,202082,210793,209308,218454,228639,240150,259165,272473,272110
