GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "53000","Washington",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",14235772,15036667,15838561,17079016,19236035,21826702,24719584,27398764,30411983,35366608,40752946,46254685,51365099,54573628,58291800,62358723,66336846,70833996,74745705,81651774,90213844,99135239,106288273,114669850,120546409,126690099,133934768,143929234,154610940,169365441,179870334,192317794,197445687,201073137,209167846,224342927,232783787,253199891,274770444,289381122,277889805,285436747,302460806,324882731,330952568,355276626,376360823,397270635,423017231,451609165,484334162,522713789,574266835,586520188
 "53000","Washington",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6743597,6830460,6904030,6974173,7068026,7180454,7315935,7446807,7548537,7638689,7724031,7740745,7785786
 "53000","Washington",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4258,4400,4595,4955,5532,6152,6831,7424,8062,9101,10156,11133,12127,12761,13555,14356,15076,15908,16493,17598,19007,20219,21149,22220,22836,23570,24436,25841,27245,29355,30786,32538,32986,33222,34267,36309,37202,39744,42524,44098,41679,42327,44281,47057,47454,50265,52415,54302,56805,59827,63405,67674,74188,75332
 "53001","Adams, WA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",50693,58805,61987,70546,88299,110609,127468,112902,106354,115512,114296,146378,155055,143139,204203,196175,186315,210938,185739,207701,211299,244956,239338,262307,300782,288317,300470,330472,325727,340936,329420,348957,341441,360480,389356,395241,396504,423721,489672,542316,545590,577058,643033,684721,699048,715577,809057,739735,731469,748040,805204,902384,974134,1004733
 "53001","Adams, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",11219,12125,12474,12378,12558,12423,12658,13429,13632,13605,13703,13259,13202,13240,13403,13533,13618,13482,13599,13476,13575,13636,14100,14476,14932,15646,15711,15860,16042,16194,16239,16458,16259,16445,16612,16664,16918,16997,17413,17782,18405,18804,18943,19056,19255,19383,19493,19653,19977,20100,20484,20608,20640,20961
 "53001","Adams, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4518,4850,4969,5699,7031,8904,10070,8407,7802,8490,8341,11040,11745,10811,15236,14496,13682,15646,13658,15413,15565,17964,16974,18120,20143,18428,19125,20837,20305,21053,20286,21203,21000,21920,23438,23718,23437,24929,28121,30498,29644,30688,33946,35932,36305,36918,41505,37640,36616,37216,39309,43788,47196,47933
 "53003","Asotin, WA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",46337,49275,53364,59876,68905,76399,89377,96962,107293,124061,142342,159873,171905,177080,196160,203209,204383,210696,215863,231901,248197,268095,294917,315877,343626,359869,375396,405647,435492,461561,478793,503266,523043,533432,556274,577709,592003,639129,684894,731566,734749,767025,798898,816730,821404,863592,889609,930694,975468,1005116,1047803,1110195,1195506,1223081
 "53003","Asotin, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",13285,13833,14091,14909,14954,15271,15423,15610,15858,16150,16452,16857,16963,16998,17046,17299,17385,17311,17128,17095,17324,17666,17948,18399,18860,19454,19894,20280,20499,20721,20560,20546,20447,20490,20487,20783,20908,21133,21188,21393,21415,21713,21922,21823,22004,22022,21905,22048,22244,22280,22217,22325,22468,22508
 "53003","Asotin, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3488,3562,3787,4016,4608,5003,5795,6212,6766,7682,8652,9484,10134,10418,11508,11747,11756,12171,12603,13565,14327,15176,16432,17168,18220,18498,18870,20002,21245,22275,23288,24495,25580,26034,27153,27797,28315,30243,32325,34197,34310,35326,36443,37425,37330,39215,40612,42212,43853,45113,47162,49729,53209,54340
 "53005","Benton, WA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",252490,279201,296277,330157,377431,458489,560324,636475,769402,957891,1112365,1230221,1474824,1537582,1564011,1534078,1581405,1659881,1716700,1752227,1884591,2079890,2287993,2535934,2803448,3044508,3106497,3175807,3269361,3446611,3631132,3899108,4214697,4457333,4731962,5006853,5118040,5239593,5720428,6239811,6561188,7189121,7633185,7479463,7425372,7660003,8303640,8597428,8895932,9185650,9812680,10520807,11511248,11587408
 "53005","Benton, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",64951,67599,67742,68011,68387,71129,76936,83029,88906,96702,103941,110252,113271,116202,112679,110669,110353,110193,110971,110060,109284,113583,116631,120711,125195,130703,134740,135833,137376,138628,140629,143131,145909,150323,153596,155689,157726,159564,161669,166573,171122,176485,180540,182568,184607,186860,190691,194070,198821,201857,204948,207413,210585,212791
 "53005","Benton, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3887,4130,4374,4854,5519,6446,7283,7666,8654,9906,10702,11158,13020,13232,13880,13862,14330,15063,15470,15921,17245,18312,19617,21008,22393,23293,23055,23380,23799,24862,25821,27242,28886,29652,30808,32159,32449,32837,35384,37460,38342,40735,42280,40968,40223,40993,43545,44301,44743,45506,47879,50724,54663,54454
 "53007","Chelan, WA",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",161912,168015,188978,195432,224576,259005,295065,320591,356237,394942,433844,482098,519525,558951,606947,655699,683617,723321,776031,784425,864896,922681,1035897,1129895,1200458,1264727,1324967,1431720,1489074,1590812,1603700,1703138,1747239,1780853,1857681,1974707,2034827,2158993,2333421,2556186,2539032,2579589,2739138,3006811,3053597,3259845,3453098,3653052,3826150,4011832,4199275,4591318,4979745,5010185
 "53007","Chelan, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",39659,41063,41074,39924,39663,40639,41266,41951,42949,43748,44437,45315,46242,46530,47528,48598,49312,49478,49636,50916,51698,52476,53627,55127,56599,58384,60569,62091,63233,64415,65764,66648,66574,66742,67173,67882,68747,69536,70214,70813,71679,72783,73400,73808,74212,74758,75836,76780,77350,77911,78517,79228,79775,79926
