GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "55000","Wisconsin",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",16424603,17648753,18959244,20731568,23157827,25436474,27871968,30609129,34210389,38209862,42797838,47299027,51586511,54425987,57213708,62839302,66243939,69881373,73507230,78389485,85446559,90418024,94089052,101342383,106615006,113266452,119152526,125937358,133808682,143130045,148737033,158494204,166593201,171010014,175794284,183721399,189779153,201058382,210529869,219194538,216211889,222260933,234631562,244508303,245762269,255165329,266132029,270846626,281979549,295996804,307907603,326836532,355048009,362245267
 "55000","Wisconsin",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5691995,5713164,5734069,5757204,5778371,5794088,5812379,5836461,5858766,5880193,5896271,5880101,5892539
 "55000","Wisconsin",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3752,3988,4251,4609,5125,5605,6099,6676,7416,8249,9172,10038,10915,11509,12118,13270,13953,14694,15385,16255,17594,18435,18953,20166,20967,22063,22981,24080,25409,27018,27892,29493,30812,31406,32084,33319,34218,36047,37522,38857,38138,39048,41069,42641,42688,44159,45932,46598,48313,50522,52364,55431,60381,61475
 "55001","Adams, WI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",22995,25605,28640,31211,39289,45675,54847,58752,65830,78467,88874,104795,112445,113485,127678,139315,144920,153250,155871,163536,188828,191629,211025,228642,248453,271254,289735,315549,348951,371318,397155,430676,457894,478135,491623,506291,526579,549175,567899,589457,604674,621235,655746,688433,697856,705543,731729,740799,764891,801775,840926,909558,958904,948708
 "55001","Adams, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8875,9302,9740,10321,10891,11242,12013,12452,12487,12936,13437,13573,14008,14320,14405,14539,14767,14779,15030,15115,15480,15696,15954,16151,16533,17051,17246,17545,17989,18158,18462,20047,20337,20578,20644,20774,21211,21185,21156,21101,20930,20882,20790,20451,20465,20195,20119,20094,20031,20533,20431,20675,20795,21226
 "55001","Adams, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2591,2753,2940,3024,3607,4063,4566,4718,5272,6066,6614,7721,8027,7925,8863,9582,9814,10369,10371,10819,12198,12209,13227,14157,15028,15908,16800,17985,19398,20449,21512,21483,22515,23235,23814,24371,24826,25923,26843,27935,28890,29750,31541,33663,34100,34937,36370,36867,38185,39048,41159,43993,46112,44696
 "55003","Ashland, WI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",47385,50666,54087,57571,62891,69075,78622,85948,94115,109133,119074,127186,140889,151170,164069,176452,184181,193990,193331,204730,218871,224573,235406,247151,264207,281528,297509,310548,329292,348908,358869,375462,396644,399431,408214,432083,439840,453132,453210,475935,490046,500300,521654,537292,546290,559904,579208,580540,599902,622570,651153,697957,747419,738025
 "55003","Ashland, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",17188,16704,16495,16254,16379,16245,16506,16569,16824,16381,16285,16913,17391,17365,17309,17043,16745,16568,16615,16475,16519,16268,16316,16512,16761,16764,16847,16891,16905,16896,16891,16823,16773,16747,16647,16547,16407,16408,16199,16145,16128,16156,16096,15962,16153,16238,16105,15986,15910,16013,16021,16018,16054,16039
 "55003","Ashland, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2757,3033,3279,3542,3840,4252,4763,5187,5594,6662,7312,7520,8101,8705,9479,10353,10999,11709,11636,12427,13250,13805,14428,14968,15763,16794,17659,18385,19479,20650,21246,22318,23648,23851,24522,26112,26808,27617,27978,29479,30385,30967,32409,33661,33820,34481,35964,36316,37706,38879,40644,43573,46557,46014
 "55005","Barron, WI",3,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",95645,103663,113141,126052,147201,157731,179005,194824,229708,258269,282770,323460,350008,372200,371711,453397,478186,500672,503572,523050,580826,606261,638696,688673,718993,774906,807017,867534,922374,1014974,1047044,1099481,1202549,1219146,1260081,1304156,1348187,1421813,1521464,1586695,1637303,1654842,1774377,1914665,1851037,1936460,2010990,2000826,2082021,2210223,2310633,2546803,2661152,2718274
 "55005","Barron, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",34640,34222,35303,36172,36346,36325,36784,36827,37411,37440,38047,38898,39482,39761,39986,40153,40029,39833,40154,40659,40760,40796,41154,41796,42286,42742,43379,43760,44119,44419,44705,45018,45225,45515,45601,45804,45808,45968,45874,46009,45876,45855,46085,46131,46084,46005,46181,46228,46311,46385,46645,46714,46746,46843
