GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "56000","Wyoming",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",1218567,1347928,1497541,1684506,1968637,2302703,2607391,2890363,3375638,4033706,4715704,5507299,6294249,6611457,6568956,6848332,7156130,7125342,6833645,6993870,7632006,8231000,8650746,9122246,9646841,10085729,10563190,11043368,11864553,12615139,13476758,14545290,15440766,15905302,16937217,18287423,20004393,22895543,24408327,27002529,24912751,26185429,28699871,30844405,30694095,32679633,32755555,31090130,32487400,34025191,35592602,37866368,40866558,42584713
 "56000","Wyoming",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",329000,333795,340023,346863,353353,364548,380477,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564405,566858,575497,580930,580949,583645,581983,576248,574801,575341,577605,579483,581381
 "56000","Wyoming",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3704,4038,4404,4856,5571,6317,6853,7309,8203,9361,10436,11614,12801,13056,12872,13564,14321,14376,14327,15037,16650,18142,18836,19565,20392,21000,21773,22622,24241,25704,27404,29426,31215,31810,33642,35921,38907,43805,45634,49451,44499,46395,50630,53596,52836,56252,56122,53421,56377,59195,61863,65558,70522,73248
 "56001","Albany, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",74388,81316,90627,97879,109591,121035,138883,154064,181106,208116,231858,268997,307267,334787,353898,372139,386740,398869,387146,399530,426146,452898,473642,503881,523510,560431,600860,615144,647605,681948,718252,779197,847921,903225,970595,987830,991643,1028958,1079803,1205089,1190026,1256591,1393825,1432763,1426634,1472284,1506259,1474470,1501267,1576682,1576215,1723747,1876004,1925581
 "56001","Albany, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",26110,26469,26534,26753,26714,27221,26888,27584,27937,28119,28773,29221,29795,30608,30947,30905,30642,30549,30463,30553,30844,30879,31285,31566,32227,32526,32742,32879,32264,32179,32192,31966,32419,32675,33098,33580,33631,33950,33858,34643,35743,36427,36652,37000,37032,36934,37099,36877,37268,37413,37120,37110,37860,38031
 "56001","Albany, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2849,3072,3416,3659,4102,4446,5165,5585,6483,7401,8058,9206,10313,10938,11436,12041,12621,13057,12709,13077,13816,14667,15140,15963,16244,17230,18351,18709,20072,21192,22312,24376,26155,27643,29325,29417,29486,30308,31892,34786,33294,34496,38029,38723,38524,39863,40601,39983,40283,42143,42463,46450,49551,50632
 "56003","Big Horn, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",31544,35168,39049,44404,53636,56314,58216,62313,67536,80003,90914,108367,117396,124762,118357,127672,129947,125746,123851,129825,135482,151551,159276,162963,163278,170122,179872,192913,211046,223895,237295,245159,268677,264159,280310,278537,304512,337942,324576,368302,365028,383132,414391,424876,424054,446549,449227,425772,436522,456359,475974,502061,540903,552607
 "56003","Big Horn, WY",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10053,10264,10499,10428,10620,10601,10902,11286,11435,11653,11842,12030,12547,12791,12691,12287,12166,11912,11376,11088,10838,10487,10582,10708,10770,10950,11228,11334,11255,11520,11480,11398,11209,11157,11073,11231,11193,11222,11350,11419,11541,11662,11710,11736,11905,11816,11905,11878,11806,11794,11643,11481,11645,11855
 "56003","Big Horn, WY",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3138,3426,3719,4258,5050,5312,5340,5521,5906,6865,7677,9008,9356,9754,9326,10391,10681,10556,10887,11709,12501,14451,15052,15219,15160,15536,16020,17021,18751,19435,20670,21509,23970,23677,25315,24801,27206,30114,28597,32253,31629,32853,35388,36203,35620,37792,37734,35845,36975,38694,40881,43730,46449,46614
 "56005","Campbell, WY",7,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",40588,46107,46904,54259,61345,75388,107272,136837,191994,233783,281358,350428,490863,544302,494035,526373,574096,533290,493824,479474,508796,541862,578655,582693,611417,642236,671147,713356,763986,802365,857863,943507,1134479,1155795,1187284,1285708,1466883,1749143,1862202,2187731,2060361,2335413,2641491,2675359,2564387,2760407,2625601,2296893,2322522,2456278,2494855,2544664,2589512,2652863
