GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "05000","Arkansas",5,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",5128531,5626520,6263108,7071222,8376080,9353548,10292084,11378923,12661751,14668793,16089121,17396286,19702982,20696485,21946842,24446529,25982293,27302960,28356851,30489773,32694750,34456200,36494274,39697534,41622845,44252233,47112248,49969528,52480597,55686342,57922066,60886171,64168556,65698816,69656369,74308675,77990351,82891649,88410652,92435635,90992265,94126992,100449543,107007376,107209282,113171547,116632432,119758840,123825419,128970824,131439239,142111663,156361458,160254175
 "05000","Arkansas",5,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",3874558,4168285,4592822,5221897,6180049,6703650,7103006,7885769,8838834,10380044,11166293,11421662,12598254,12770011,13548020,15368591,16219175,17096499,18153856,19599438,20641209,21617946,22971222,25313495,26523820,28290499,29890824,31630971,33121741,35369659,37371559,39153406,41054132,41921175,44924507,47937762,49464090,51257656,53307164,53279583,51849999,53436994,56345527,59251220,60856299,62332827,62970848,63733235,66334115,68049043,70489114,72550070,79744573,84721826
 "05000","Arkansas",5,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",584019,683709,801792,893282,1083373,1315207,1669438,1829429,1941876,2131921,2444162,2899657,3280376,3566584,3858820,4043731,4281686,4512337,4643500,4884635,5399026,5846815,6483132,7189351,7586750,7963316,8590383,9101580,9501991,9818266,10121228,10741397,11909962,12825390,13390827,14349963,15395313,16809988,18176237,20266671,21996633,23612364,24087339,24336622,24756535,26251117,27460018,28511718,29172258,30205738,31951973,39035201,43392771,39547859
 "05000","Arkansas",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",67597,99809,119427,127914,141857,191856,220910,238595,234600,231364,278626,335260,355369,342372,363467,369300,367997,388095,396363,443184,491691,548592,614384,749403,797635,848586,933748,1040424,1076447,1071435,1090917,1123407,1137195,1262107,1381583,1492119,1637499,1697978,1797705,1873219,2234075,2469826,2532356,2587064,2636025,2628970,2632825,2572408,2518190,2488402,2503949,2938988,4216849,3651372
 "05000","Arkansas",5,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",15008,24491,36382,35026,28756,46456,144312,110331,82209,72962,85584,149047,134562,180343,178098,121119,133203,147198,150111,136902,138309,154334,199424,286787,260855,185496,183241,207283,205616,199288,192655,208853,310772,404094,406247,295784,271701,280244,328765,462037,1054811,940351,705541,606696,474312,280251,273127,201378,163133,132485,125664,2531944,882735,79457
 "05000","Arkansas",5,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",501414,559409,645983,730342,912760,1076895,1304216,1480503,1625067,1827595,2079952,2415350,2790445,3043869,3317255,3553312,3780486,3977044,4097026,4304549,4769026,5143889,5669324,6153161,6528260,6929234,7473394,7853873,8219928,8547543,8837656,9409137,10461995,11159189,11602997,12562060,13486113,14831766,16049767,17931415,18707747,20202187,20849442,21142862,21646198,23341896,24554066,25737932,26490935,27584851,29322360,33564269,38293187,35817030
 "05000","Arkansas",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",669954,774526,868494,956043,1112658,1334691,1519640,1663725,1881041,2156828,2478666,3074967,3824352,4359890,4540002,5034207,5481432,5694124,5559495,6005700,6654515,6991439,7039920,7194688,7512275,7998418,8631041,9236977,9856865,10498417,10429279,10991368,11204462,10952251,11341035,12020950,13130948,14824005,16927251,18889381,17145633,17077634,20016677,23419534,21596448,24587603,26201566,27513887,28319046,30716043,28998152,30526392,33224114,35984490
 "05000","Arkansas",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921561,2938833,2948887,2954685,2961191,2970352,2980602,2990801,2997271,3004248,3014195,3028122,3045637
 "05000","Arkansas",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",2681,2915,3176,3504,4069,4453,4769,5247,5736,6546,7090,7601,8592,9021,9518,10538,11165,11708,12106,13015,13934,14621,15313,16431,16945,17743,18582,19427,20176,21203,21842,22731,23841,24280,25564,27024,28043,29376,31036,32157,31411,32218,34180,36287,36285,38218,39266,40179,41402,43029,43751,47147,51636,52618
 "05000","Arkansas",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2025,2160,2329,2588,3002,3192,3291,3636,4004,4632,4921,4990,5494,5566,5876,6625,6970,7331,7750,8366,8797,9173,9639,10478,10798,11343,11789,12298,12734,13468,14093,14617,15253,15492,16487,17434,17786,18165,18713,18535,17899,18291,19173,20093,20597,21050,21200,21383,22179,22704,23463,24069,26335,27817
