GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "04000","Arizona",6,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",6327071,7216133,8255566,9464649,10934211,12336094,13317758,14813181,16646785,19559610,22987021,26489939,30223309,32161434,35454856,39988822,44529113,48697699,52270181,56652853,60776818,63797722,67229566,71607986,76933245,84205588,91807305,99449957,107797478,117834952,124922252,135573750,142097788,147455199,156408807,170442982,187724914,207762641,219579070,223495122,212283565,216223640,227203294,236431415,242030312,253711620,267474059,279696749,297261506,315458961,337214074,374311796,409885700,430083534
 "04000","Arizona",6,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",4630849,5167709,5881658,6774876,7786290,8626486,8816331,9924071,11260662,13327779,15771420,17677728,19563986,20259038,22116483,25259200,28098214,30879573,33522305,36297521,37512589,39318631,41761224,44913819,48462573,53131397,58150105,63442155,69149520,76755716,82200349,89896128,93636627,96876431,102263989,112025815,123336315,136950317,142679350,140053084,129654622,130225796,137564228,143668533,148216362,154186343,161798640,169374782,179464522,191079678,203399945,214136333,233145082,254672638
 "04000","Arizona",6,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",491894,592046,709731,815975,983180,1187963,1660226,1828012,1927572,2172497,2472375,2975893,3495636,3901700,4271276,4577983,4968051,5450399,5953841,6535772,7580048,8402999,9383258,10684403,11524979,12306431,13116719,13969395,14577465,15130035,16115609,17027888,19312672,21513578,23475071,25775134,28487194,31132132,33783999,39360187,44010475,47885742,47822912,47852141,49525104,52189248,54689537,57364681,61268143,64318506,68806021,93043212,102568334,92279543
 "04000","Arizona",6,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",33241,44350,51160,62066,73902,99256,126962,152167,145598,138107,175516,249110,277484,300733,330760,335263,333408,366723,397785,481592,583792,715962,880865,1097653,1205604,1306531,1427785,1446871,1489880,1447328,1471749,1514425,1604640,1925751,2177853,2376739,2629586,2722665,2941983,3307247,4223914,4646340,4893130,5002707,5025237,4966357,5072711,4996630,4851894,4786177,5056917,5878661,9717773,7919770
 "04000","Arizona",6,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",10833,19695,30180,31422,26928,54180,173448,143099,74012,62191,51645,95211,99047,206203,201053,100459,101111,125911,136334,121881,130958,163853,226955,337687,298907,200708,174126,177949,159131,172812,189545,188484,297293,503936,511722,358779,293710,252214,312136,564187,1627144,1901114,1325056,931609,591802,393400,355550,338961,320197,294403,253897,10564026,3453051,192606
 "04000","Arizona",6,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",447820,528001,628391,722487,882350,1034527,1359816,1532746,1707962,1972199,2245214,2631572,3119105,3394764,3739463,4142261,4533532,4957765,5419722,5932299,6865298,7523184,8275438,9249063,10020468,10799192,11514808,12344575,12928454,13509895,14454315,15324979,17410739,19083891,20785496,23039616,25563898,28157253,30529880,35488753,38159417,41338288,41604726,41917825,43908065,46829491,49261276,52029090,56096052,59237926,63495207,76600525,89397510,84167167
 "04000","Arizona",6,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1204328,1456378,1664177,1873798,2164741,2521645,2841201,3061098,3458551,4059334,4743226,5836318,7163687,8000696,9067097,10151639,11462848,12367727,12794035,13819560,15684181,16076092,16085084,16009764,16945693,18767760,20540481,22038407,24070493,25949201,26606294,28649734,29148489,29065190,30669747,32642033,35901405,39680192,43115721,44081851,38618468,38112102,41816154,44910741,44288846,47336029,50985882,52957286,56528841,60060777,65008108,67132251,74172284,83131353
 "04000","Arizona",6,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6402024,6446537,6507351,6563216,6638196,6714328,6801591,6879830,6969944,7070511,7179943,7264877,7359197
 "04000","Arizona",6,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3643,4020,4354,4711,5145,5546,5825,6309,6858,7768,8712,9676,10755,11129,11942,13038,13987,14720,15208,16025,16779,17317,17745,18287,18924,19836,20712,21681,22757,24130,24866,26271,26946,27325,28384,30154,32150,34460,35602,35586,33467,33774,35244,36333,36877,38220,39836,41122,43208,45260,47693,52133,56420,58442
 "04000","Arizona",6,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2666,2879,3102,3373,3664,3878,3856,4227,4639,5293,5977,6457,6962,7010,7449,8235,8826,9334,9753,10268,10356,10673,11023,11470,11921,12516,13119,13831,14598,15718,16362,17420,17756,17953,18558,19819,21123,22715,23133,22300,20440,20341,21339,22078,22583,23227,24098,24902,26086,27415,28767,29824,32092,34606
