GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "06000","California",8,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",92160048,99417462,105987186,116351066,127777265,142507421,157639903,174924788,194032902,220640055,250181567,284416652,319356852,342144678,369925812,410321649,443888531,476484468,511613010,557618023,600193593,643623777,666607620,702023479,719014905,741651785,779604724,828147235,876440299,953360541,1022682748,1127550078,1169366357,1187280934,1240604169,1315172209,1387883820,1493216996,1561307156,1588294546,1539818660,1609997470,1713428004,1814763034,1840885251,1955718006,2097049575,2191138011,2295048653,2411055136,2537950599,2767521379,3013676929,3006647281
 "06000","California",8,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",69404479,73240891,77022461,84951089,92807739,102003556,110710190,123868089,138500360,158449439,179918679,200343914,217967293,230504423,248576612,276633521,300341727,325312503,357062222,389394208,412097601,441139954,455264425,478229180,486856084,500873842,522995441,556752218,598231427,654906344,713008482,797225593,819535501,833917086,870058350,928147589,972786542,1032660883,1065502778,1052914057,1013750221,1062722172,1133068523,1197397998,1225632783,1289445218,1372734444,1432518253,1509550094,1583352298,1665749940,1711756734,1878021212,1935011575
 "06000","California",8,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",7616204,9300701,10695547,11521550,12758371,15117591,18994216,21011565,22306606,24105492,26485686,30784183,36210987,39687570,42375699,44216304,47802875,51353036,53579191,57350771,62814344,69172892,76724918,88635461,93604307,95823749,100343420,105264283,105825193,111725348,117385478,122177543,135684664,146045078,154242369,161451803,169300669,181853277,192795018,218067133,241051110,266907132,268503844,271100586,282002282,301433888,326220108,339042814,335573318,352606285,376718849,551737947,585816377,483364725
 "06000","California",8,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",1344538,1798562,2143100,2254230,2182905,2665628,3143513,3465291,3837854,3990106,4284655,5295781,5804078,6127652,6560684,6835985,7266556,7909201,8612927,9483960,10688984,12259542,13874663,15694294,16553430,17706248,18696882,19129780,18006050,18374824,19226210,19428921,19350298,20623092,21899053,23161122,24619356,25486467,26462485,27660375,30778109,32907823,34168653,34481584,35327990,35940470,36857434,37136152,38218539,37675371,39074439,45189709,62651444,67953536
 "06000","California",8,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",451878,724339,916948,810743,674803,982742,2025165,2075536,1555847,1264168,1013674,1633068,1758867,2743492,3005913,2042146,2084903,2179712,1810921,1640036,1636601,2197807,3537920,5579919,5825774,3892321,3199337,3041737,2700477,2633802,2729089,2507562,3467115,7194766,7290038,5216005,4525400,4358565,5036130,7984025,19154032,22179960,17563901,13894286,10729816,6081846,5332548,5311393,5381174,5009188,4975782,106866429,70282702,4535995
 "06000","California",8,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",5819788,6777800,7635499,8456577,9900663,11469221,13825538,15470738,16912905,18851218,21187357,23855334,28648042,30816426,32809102,35338173,38451416,41264123,43155343,46226775,50488759,54715543,59312335,67361248,71225103,74225180,78447201,83092766,85118666,90716722,95430179,100241060,112867251,118227220,125053278,133074676,140155913,152008245,161296403,182422733,191118969,211819349,216771290,222724716,235944476,259411572,284030126,296595269,291973605,309921726,332668628,399681809,452882231,410875194
 "06000","California",8,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",15139365,16875870,18269178,19878427,22211155,25386274,27935497,30045134,33225936,38085124,43777202,53288555,65178572,71952685,78973501,89471824,95743929,99818929,100971597,110873044,125281648,133310931,134618277,135158838,138554514,144954194,156265863,166130734,172383679,186728849,192288788,208146942,214146192,207318770,216303450,225572817,245796609,278702836,303009360,317313356,285017329,280368166,311855637,346264450,333250186,364838900,398095023,419576944,449925241,475096553,495481810,504026698,549839340,588270981
 "06000","California",8,CAINC30,100,"..."," Population (persons) 3/","Number of persons",19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37322360,37650514,37970368,38291358,38636290,38966055,39223210,39424071,39535906,39547996,39501653,39142991,39029342
 "06000","California",8,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4676,4965,5209,5652,6123,6731,7320,7975,8681,9661,10758,11950,13150,13785,14587,15877,16788,17581,18418,19590,20542,21483,21877,22664,22990,23556,24596,25864,26979,28901,30529,33175,33915,34047,35191,36969,38737,41454,43070,43391,41660,43138,45509,47794,48076,50619,53817,55863,58214,60984,64174,70061,76991,77036
 "06000","California",8,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3521,3658,3786,4127,4447,4818,5141,5647,6197,6938,7737,8418,8975,9287,9802,10704,11359,12003,12855,13680,14104,14725,14941,15439,15567,15909,16500,17388,18415,19853,21284,23456,23769,23914,24680,26090,27152,28668,29393,28765,27427,28474,30094,31535,32008,33374,35229,36522,38290,40048,42120,43334,47978,49578
 "06000","California",8,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",386,464,526,560,611,714,882,958,998,1055,1139,1293,1491,1599,1671,1711,1808,1895,1929,2015,2150,2309,2518,2862,2993,3044,3166,3288,3258,3387,3504,3595,3935,4188,4375,4538,4725,5049,5318,5957,6522,7151,7131,7140,7365,7802,8372,8644,8512,8919,9526,13967,14966,12385
 "06000","California",8,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",68,90,105,110,105,126,146,158,172,175,184,223,239,247,259,265,275,292,310,333,366,409,455,507,529,562,590,597,554,557,574,572,561,591,621,651,687,708,730,756,833,882,908,908,923,930,946,947,969,953,988,1144,1601,1741
 "06000","California",8,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",23,36,45,39,32,46,94,95,70,55,44,69,72,111,119,79,79,80,65,58,56,73,116,180,186,124,101,95,83,80,81,74,101,206,207,147,126,121,139,218,518,594,466,366,280,157,137,135,136,127,126,2705,1796,116
 "06000","California",8,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",295,338,375,411,474,542,642,705,757,825,911,1002,1180,1242,1294,1367,1454,1523,1554,1624,1728,1826,1947,2175,2277,2358,2475,2595,2620,2750,2849,2949,3273,3390,3547,3741,3912,4220,4450,4984,5171,5675,5757,5866,6162,6714,7289,7562,7406,7839,8412,10118,11570,10527
 "06000","California",8,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",768,843,898,966,1064,1199,1297,1370,1487,1668,1882,2239,2684,2899,3114,3462,3621,3683,3635,3895,4288,4450,4418,4364,4430,4604,4930,5189,5306,5661,5740,6124,6211,5945,6136,6341,6860,7737,8359,8669,7711,7512,8283,9119,8703,9443,10216,10697,11412,12017,12529,12760,14047,15073
 "06000","California",8,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",74329117,78352156,82582961,91402059,100883935,111116918,120292875,134725991,151080844,173276679,197519971,219599858,240773877,255203284,275917118,308450044,335469692,363846231,399341120,437085973,463137155,495459943,511713803,536789079,546362525,562529938,586509339,622383828,668027313,730064889,794444128,887549245,914764493,932204242,973563433,1041552904,1091397214,1154689337,1189726778,1179658212,1136303217,1185996970,1249077532,1317973597,1366471583,1438253481,1530524415,1597207757,1682986953,1767234742,1859956484,1909359192,2094293463,2168542286
 "06000","California",8,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",57931868,61258951,64012638,69888132,76906601,84377932,90887662,100699011,112641527,129104377,146995290,164081481,182104622,192877486,206480887,229161263,249824188,269320910,294010672,319101860,341962088,366832688,371863838,381841463,384081757,395288745,415033441,440424657,475281712,517592617,565624705,638455163,648050300,645996513,666057806,705728279,742516778,791450009,834657501,843122831,798914095,813699083,847516542,903207287,933893533,992025352,1067705274,1117915535,1190747913,1260482440,1334844914,1377870887,1537938490,1607341273
 "06000","California",8,CAINC30,200,"...","  Supplements to wages and salaries ","Thousands of dollars",7505723,8066667,8937370,10331016,11426129,12779588,14654605,16395991,19328642,22354500,25903939,29095825,33196498,36316117,40604826,45512490,50124302,54940491,59476047,65256757,72208158,78292053,82359152,89869114,92598247,93748470,92804263,94374087,98479746,106769081,115148512,128231206,138764200,147832390,161203066,176259238,184801548,189223556,195466736,198972688,190464048,195433240,210218402,211543436,228039293,237704959,250486401,260274929,270049267,280357371,289389267,297407283,311571200,323041105
 "06000","California",8,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",5124594,5590881,6220464,7120582,7367764,8209875,9795823,10686194,12761476,14503742,16607252,18861393,21148760,23412067,26232334,28602111,31870285,35261171,38342211,41636163,47054499,51502593,54841168,61345111,63779634,64049628,62530099,63150705,65006730,70787088,76265541,85314993,93184964,100379735,110292146,119848217,126434484,130438355,136813498,140554059,134910783,139902499,151680713,150021671,164322041,170573660,179203693,185883826,192214297,199085583,203979470,210310688,218185078,222888068
 "06000","California",8,CAINC30,202,"...","   Employer contributions for government social insurance ","Thousands of dollars",2381129,2475786,2716906,3210434,4058365,4569713,4858782,5709797,6567166,7850758,9296687,10234432,12047738,12904050,14372492,16910379,18254017,19679320,21133836,23620594,25153659,26789460,27517984,28524003,28818613,29698842,30274164,31223382,33473016,35981993,38882971,42916213,45579236,47452655,50910920,56411021,58367064,58785201,58653238,58418629,55553265,55530741,58537689,61521765,63717252,67131299,71282708,74391103,77834970,81271788,85409797,87096595,93386122,100153037
 "06000","California",8,CAINC30,210,"...","  Proprietors' income ","Thousands of dollars",8891526,9026538,9632953,11182911,12551205,13959398,14750608,17630989,19110675,21817802,24620742,26422552,25472757,26009681,28831405,33776291,35521202,39584830,45854401,52727356,48966909,50335202,57490813,65078502,69682521,73492723,78671635,87585084,94265855,105703191,113670911,120862876,127949993,138375339,146302561,159565387,164078888,174015772,159602541,137562693,146925074,176864647,191342588,203222874,204538757,208523170,212332740,219017293,222189773,226394931,235722303,234081022,244783773,238159908
 "06000","California",8,CAINC30,220,"...","   Farm proprietors' income ","Thousands of dollars",946342,911077,889752,1305892,1947407,2413061,1861314,1893964,1924943,1953678,2870975,3797123,2610364,2568537,2260030,2872802,2854119,3403689,4559264,4623519,4306193,4195229,3282899,3916390,4607048,4325651,3544818,4070824,4486374,3719014,3769374,3601763,3174570,3988298,5111847,6882286,6600291,4701601,7540919,5326801,6070023,6972515,9975049,11249438,13707508,16238308,14921734,12219029,11967825,9124080,7740974,8783335,8320660,7699661
 "06000","California",8,CAINC30,230,"...","   Nonfarm proprietors' income ","Thousands of dollars",7945184,8115461,8743201,9877019,10603798,11546337,12889294,15737025,17185732,19864124,21749767,22625429,22862393,23441144,26571375,30903489,32667083,36181141,41295137,48103837,44660716,46139973,54207914,61162112,65075473,69167072,75126817,83514260,89779481,101984177,109901537,117261113,124775423,134387041,141190714,152683101,157478597,169314171,152061622,132235892,140855051,169892132,181367539,191973436,190831249,192284862,197411006,206798264,210221948,217270851,227981329,225297687,236463113,230460247
 "06000","California",8,CAINC30,240,"...","Total employment (number of jobs) ","Number of jobs",9032738,9056897,9036074,9368468,9843939,10163089,10286346,10632968,11119255,11815943,12460727,12761955,12934962,12862878,13182023,13796978,14284986,14709923,15300046,16021802,16425901,16834515,16750052,16390983,16367123,16540724,16939791,17341994,17667115,18432865,18852334,19228895,19341458,19358251,19478732,19784214,20126936,20505244,20888508,20654365,19837727,19642544,19986185,20666919,21318697,21996861,22687175,23177961,23548874,24077466,24225068,23154091,23934549,25300974
 "06000","California",8,CAINC30,250,"..."," Wage and salary employment ","Number of jobs",7899113,7892973,7848156,8099083,8509127,8733815,8788009,9082714,9507476,10187340,10736365,10929384,11089849,10915527,11089600,11688836,12076674,12413237,12877153,13340358,13708576,13981744,13602982,13315592,13193830,13296363,13578082,13904839,14215405,14746957,15179482,15621983,15711829,15641630,15591450,15682745,15870087,16116523,16241854,16052176,15151338,14946351,15091909,15713617,16212167,16694313,17187488,17615830,17916675,18287597,18604657,17296385,17864456,18814316
 "06000","California",8,CAINC30,260,"..."," Proprietors employment ","Number of jobs",1133625,1163924,1187918,1269385,1334812,1429274,1498337,1550254,1611779,1628603,1724362,1832571,1845113,1947351,2092423,2108142,2208312,2296686,2422893,2681444,2717325,2852771,3147070,3075391,3173293,3244361,3361709,3437155,3451710,3685908,3672852,3606912,3629629,3716621,3887282,4101469,4256849,4388721,4646654,4602189,4686389,4696193,4894276,4953302,5106530,5302548,5499687,5562131,5632199,5789869,5620411,5857706,6070093,6486658
 "06000","California",8,CAINC30,270,"...","  Farm proprietors employment 6/","Number of jobs",77221,76472,77084,76112,76599,76729,76727,78489,79835,81712,82601,84530,86493,85427,90708,89742,91010,90072,88100,88217,89547,89859,87331,86719,89411,88583,89592,88546,89973,89428,88329,88324,81105,76768,69670,66790,65734,63912,67493,66821,65844,65373,64615,63286,63152,61474,61164,59117,58117,57002,56015,56539,55964,55474
 "06000","California",8,CAINC30,280,"...","  Nonfarm proprietors employment ","Number of jobs",1056404,1087452,1110834,1193273,1258213,1352545,1421610,1471765,1531944,1546891,1641761,1748041,1758620,1861924,2001715,2018400,2117302,2206614,2334793,2593227,2627778,2762912,3059739,2988672,3083882,3155778,3272117,3348609,3361737,3596480,3584523,3518588,3548524,3639853,3817612,4034679,4191115,4324809,4579161,4535368,4620545,4630820,4829661,4890016,5043378,5241074,5438523,5503014,5574082,5732867,5564396,5801167,6014129,6431184
 "06000","California",8,CAINC30,290,"...","Average earnings per job (dollars) ","Dollars",8229,8651,9139,9756,10248,10933,11694,12671,13587,14665,15851,17207,18614,19840,20931,22356,23484,24735,26101,27281,28196,29431,30550,32749,33382,34009,34623,35889,37812,39607,42140,46157,47296,48155,49981,52646,54226,56312,56956,57114,57280,60379,62497,63772,64097,65384,67462,68911,71468,73398,76778,82463,87501,85710
 "06000","California",8,CAINC30,300,"..."," Average wages and salaries ","Dollars",7334,7761,8156,8629,9038,9661,10342,11087,11848,12673,13691,15013,16421,17670,18619,19605,20687,21696,22832,23920,24945,26237,27337,28676,29111,29729,30566,31674,33434,35098,37262,40869,41246,41300,42719,45000,46787,49108,51389,52524,52729,54441,56157,57479,57604,59423,62121,63461,66460,68926,71748,79662,86089,85432
 "06000","California",8,CAINC30,310,"..."," Average nonfarm proprietors' income ","Dollars",7521,7463,7871,8277,8428,8537,9067,10693,11218,12841,13248,12943,13000,12590,13274,15311,15429,16397,17687,18550,16996,16700,17717,20465,21102,21918,22960,24940,26706,28357,30660,33326,35163,36921,36984,37843,37574,39150,33207,29157,30485,36687,37553,39258,37838,36688,36299,37579,37714,37899,40971,38837,39318,35835
 "06001","Alameda, CA",8,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",4991979,5413615,5748044,6256221,6646967,7316446,8047585,8852592,9627922,10741959,11896051,13394244,15059491,16069252,17487701,19443806,21028968,22265959,23511230,25571861,27649841,29591400,30573371,32111729,33103404,34139761,36229042,38828277,41127697,44958856,48991374,56279293,57736359,57113565,58133943,59956558,61871945,66581282,69510993,71421770,68773015,72075011,77301332,81435436,85777177,92038123,101231136,108327158,115789437,124671796,134505557,147136291,162176203,159241119
 "06001","Alameda, CA",8,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",3795361,4031361,4219248,4601927,4855536,5266662,5685835,6297683,6868524,7709679,8506881,9392606,10262415,10851713,11814615,13196738,14415080,15385411,16550779,18005246,19171278,20721870,21429755,22449633,22991589,23616646,25045193,26936820,29167727,32233535,35769369,42211609,42992163,42113588,42431228,43903422,45251260,48269913,50231974,50071528,47893303,50491925,54220341,57089894,60444206,64674105,71313039,76869191,82830863,89567467,96870501,101639183,113702261,113197334
 "06001","Alameda, CA",8,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",416209,510357,583454,617604,673476,786884,984161,1074402,1135203,1222400,1343769,1540718,1785634,1925261,2047610,2103991,2239501,2379822,2464055,2642236,2905787,3177381,3455765,3941121,4130766,4195968,4370460,4546949,4528468,4797447,5005607,5142997,5677521,6183698,6478059,6720821,6981942,7483980,7900367,8908712,9946667,11035174,10992190,11026364,11541264,12324206,13411308,13992211,13799210,14525401,15433618,22998050,23706292,19655203
