GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "10000","Delaware",2,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",2441193,2599931,2844088,3124948,3462300,3747067,4029225,4403982,4741121,5201590,5718290,6434021,7083806,7621178,8132038,8954939,9723692,10349456,11139874,12247487,13621036,14370177,15216407,15849784,16458401,17157641,18157065,19406095,20306455,22475726,24116650,26586900,29374785,30360262,31071781,32271293,33073339,35003147,36211444,36462924,36610712,36980808,39760604,40122555,40677771,42422891,44626257,45928401,48077134,51150363,52740700,55338407,59172329,64406597
 "10000","Delaware",2,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",1887209,1992513,2183853,2415422,2678993,2849685,3025337,3303296,3524479,3889640,4236381,4627369,4954523,5319772,5707395,6268330,6832872,7247152,7901334,8633162,9404395,9902927,10367434,10855162,11206621,11691653,12199949,12891050,13539970,15144826,16783526,18491644,20970144,21617320,21969734,22521828,22878203,23784728,24215347,23281671,23535474,23663002,25491051,25348119,25474238,26256329,27652760,28144016,29090191,31048038,31549356,31773563,33357662,38327415
 "10000","Delaware",2,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",138681,164910,194115,215069,248323,303169,408019,438775,477489,500058,573205,695418,782286,830983,885591,949247,997921,1079644,1124853,1236874,1341503,1440916,1674121,1822292,1947987,2069864,2261932,2507216,2534785,2699493,2814358,3070488,3367644,3628433,3895662,4194064,4521849,4896220,5307380,6117586,6631491,7158416,7472706,7647964,8037608,8499116,9047714,9421672,9967123,10460293,11058906,13635052,15084565,14580755
 "10000","Delaware",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",13746,17128,21647,22644,20781,28109,42687,48381,51078,52185,63483,80950,86609,82523,82622,82871,79112,77832,75202,82472,90530,103804,122117,148749,161010,171969,193205,206645,205257,208699,216299,224186,233082,258079,286526,306083,346757,377537,403069,409222,491770,563476,620822,647693,668471,684714,682181,701993,678717,670678,689381,821425,1197746,1304451
 "10000","Delaware",2,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",6928,11390,15108,14233,11416,25905,62519,55573,58489,34090,32978,59156,57986,46569,35822,31315,24298,45043,24976,41517,35430,41051,74370,100171,85535,62429,63599,98678,63892,65519,58920,70765,90257,141798,159880,117321,105546,102262,112451,156511,316425,329270,263114,212454,170698,95294,83389,75645,73952,69511,66064,874182,451968,42193
 "10000","Delaware",2,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",118007,136392,157360,178192,216126,249155,302813,334821,367922,413783,476744,555312,637691,701891,767147,835061,894511,956769,1024675,1112885,1215543,1296061,1477634,1573372,1701442,1835466,2005128,2201893,2265636,2425275,2539139,2775537,3044305,3228556,3449256,3770660,4069546,4416421,4791860,5551853,5823296,6265670,6588770,6787817,7198439,7719108,8282144,8644034,9214454,9720104,10303461,11939445,13434851,13234111
 "10000","Delaware",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",415303,442508,466120,494457,534984,594213,595869,661911,739153,811892,908704,1111234,1346997,1470423,1539052,1737362,1892899,2022660,2113687,2377451,2875138,3026334,3174852,3172330,3303793,3396124,3695184,4007829,4231700,4631407,4518766,5024768,5036997,5114509,5206385,5555401,5673287,6322199,6688717,7063667,6443747,6159390,6796847,7126472,7165925,7667446,7925783,8362713,9019820,9642032,10132438,9929792,10730102,11498427
 "10000","Delaware",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899762,908169,916572,925599,935160,944596,953030,961499,971072,981297,992114,1004807,1018396
 "10000","Delaware",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",4521,4724,5032,5446,5979,6426,6844,7430,7971,8696,9549,10815,11886,12720,13431,14643,15727,16492,17490,18912,20692,21462,22276,22808,23300,23912,24882,26190,27022,29444,31119,33810,36917,37660,37985,38843,39133,40736,41539,41254,41056,41101,43781,43775,43948,45364,47244,48192,50002,52674,53746,55778,58889,63243
 "10000","Delaware",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3495,3621,3864,4209,4626,4887,5139,5573,5925,6502,7074,7778,8313,8879,9427,10250,11051,11548,12405,13331,14286,14790,15177,15621,15865,16294,16718,17397,18018,19840,21656,23515,26354,26815,26858,27109,27070,27680,27778,26340,26393,26299,28069,27655,27522,28077,29275,29531,30255,31973,32151,32026,33198,37635
 "10000","Delaware",2,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",257,300,343,375,429,520,693,740,803,836,957,1169,1313,1387,1463,1552,1614,1720,1766,1910,2038,2152,2451,2622,2758,2885,3100,3384,3373,3536,3631,3905,4232,4501,4762,5048,5350,5698,6088,6921,7437,7956,8228,8344,8684,9088,9578,9886,10366,10772,11270,13743,15012,14317
 "10000","Delaware",2,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",25,31,38,39,36,48,73,82,86,87,106,136,145,138,136,136,128,124,118,127,138,155,179,214,228,240,265,279,273,273,279,285,293,320,350,368,410,439,462,463,551,626,684,707,722,732,722,737,706,691,703,828,1192,1281
 "10000","Delaware",2,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",13,21,27,25,20,44,106,94,98,57,55,99,97,78,59,51,39,72,39,64,54,61,109,144,121,87,87,133,85,86,76,90,113,176,195,141,125,119,129,177,355,366,290,232,184,102,88,79,77,72,67,881,450,41
 "10000","Delaware",2,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",219,248,278,311,373,427,514,565,619,692,796,933,1070,1171,1267,1365,1447,1525,1609,1718,1847,1936,2163,2264,2409,2558,2748,2972,3015,3177,3276,3530,3826,4005,4217,4539,4815,5140,5497,6281,6530,6964,7255,7406,7777,8254,8768,9070,9583,10010,10500,12034,13371,12995
 "10000","Delaware",2,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",769,804,825,862,924,1019,1012,1117,1243,1357,1517,1868,2260,2454,2542,2841,3062,3223,3318,3671,4368,4520,4648,4565,4677,4733,5064,5409,5631,6067,5831,6390,6330,6344,6365,6687,6713,7358,7673,7992,7226,6846,7484,7775,7742,8199,8391,8775,9381,9929,10326,10009,10679,11291
