GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "12000","Florida",5,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",25004933,28276202,31756352,36549964,42578343,47883133,52167930,57012352,63844262,73633283,84679438,99906516,115554486,124862111,138140276,153545389,168155204,181983464,195918080,216350658,240834946,257601057,268849056,284090313,301152003,317382636,341123138,363064761,385679172,416721537,435930396,471588082,497335404,514288810,540366333,587003015,637602753,690506134,719734158,725995008,685982844,730690145,769798435,794071056,794604073,848535336,905450458,938985637,1011002173,1078010586,1145460767,1221121559,1376879460,1441598918
 "12000","Florida",5,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",17360657,19187837,21269654,24572221,28424725,31117383,32577001,35404576,39559482,45722966,51982208,59680200,66546916,71115581,79186731,87861144,96211518,104488777,115161837,126498026,134986391,143832387,149974540,160783224,171862015,181128546,192973957,205919345,218343784,238006878,255263580,277005704,292988415,307470295,324513408,351247951,380668648,404434262,410327656,396539981,373113131,391079615,406951473,420407360,427137329,452864488,481598565,504453707,534895324,566031814,595560520,605832112,683246836,748567834
 "12000","Florida",5,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",2194620,2645521,3187608,3754637,4560714,5497460,7182922,7978095,8729983,9698383,11236991,13379005,15629475,17688603,19341241,20596923,22223719,23945326,25386489,27805241,31369983,34381853,38635256,44345115,47481787,50618558,54672490,57846599,60005415,61368926,63796719,68009653,74138452,79867660,85265275,91712253,98486302,105077350,111806517,126988888,138483290,151686114,157757781,156112909,160900664,169404858,179010674,185185641,194002305,203449009,216825054,274877036,314018469,283225918
 "12000","Florida",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",129797,153628,205298,289346,354725,434434,563717,689424,708580,704171,825652,1086866,1202641,1194054,1212984,1209009,1237513,1321866,1393180,1616924,1910479,2289877,2934528,4157697,4249227,4505587,5067342,5231504,5324031,5251536,5282976,5464688,5696596,6368015,7300384,8685019,9786500,9653330,9863590,10873271,13127561,15325922,16403048,16642371,17205241,17024995,17311223,17016925,18482209,16564722,16996041,21130816,29933223,25635465
 "12000","Florida",5,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",24059,41586,84977,87325,71306,160105,503912,427149,269387,158338,167238,223360,219015,390036,424953,292945,296093,340613,311445,321687,372502,517932,931549,1563254,1250614,838955,721770,721000,696616,681623,701844,708197,1034341,1691400,1621634,1177102,919026,841453,1161321,2299013,6031308,6581821,4433975,2987460,2084589,958564,645729,523602,499861,451430,420721,18264146,12358416,388850
 "12000","Florida",5,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",2040764,2450307,2897333,3377966,4134683,4902921,6115293,6861522,7752016,8835874,10244101,12068779,14207819,16104513,17703304,19094969,20690113,22282847,23681864,25866630,29087002,31574044,34769179,38624164,41981946,45274016,48883378,51894095,53984768,55435767,57811899,61836768,67407515,71808245,76343257,81850132,87780776,94582567,100781606,113816604,119324421,129778371,136920758,136483078,141610834,151421299,161053722,167645114,175020235,186432857,199408292,235482074,271726830,257201603
 "12000","Florida",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",5449656,6442844,7299090,8223106,9592904,11268290,12408007,13629681,15554797,18211934,21460239,26847311,33378095,36057927,39612304,45087322,49719967,53549361,55369754,62047391,74478572,79386817,80239260,78961974,81808201,85635532,93476691,99298817,107329973,117345733,116870097,126572725,130208537,126950855,130587650,144042811,158447803,180994522,197599985,202466139,174386423,187924416,205089181,217550787,206566080,226265990,244841219,249346289,282104544,308529763,333075193,340412411,379614155,409805166
 "12000","Florida",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18842884,19039100,19271885,19507621,19795405,20145580,20537931,20871785,21133562,21354519,21589602,21828069,22244823
 "12000","Florida",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3765,4131,4433,4860,5371,5757,6107,6557,7182,8064,8941,10153,11337,11924,12850,13908,14814,15597,16330,17580,19057,19765,20109,20812,21623,22289,23464,24443,25397,26909,27662,29387,30405,30815,31779,33706,35736,38009,39184,39185,36777,38778,40433,41204,40733,42865,44945,45720,48439,51009,53640,56561,63078,64806
 "12000","Florida",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2614,2803,2969,3267,3586,3741,3814,4072,4450,5007,5489,6065,6529,6791,7366,7958,8476,8956,9599,10279,10681,11036,11217,11779,12340,12720,13274,13863,14378,15369,16198,17262,17912,18423,19084,20169,21335,22262,22339,21403,20003,20755,21375,21815,21896,22877,23906,24562,25628,26784,27889,28061,31301,33651
