GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "16000","Idaho",7,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",2390991,2647659,2894151,3304340,3820515,4497360,4866714,5436242,5942337,6829893,7467508,8395933,9233932,9694146,10599659,11280397,11923428,12165634,12674389,13747994,15124499,16343258,17199171,18881868,20689524,22134238,23788606,25263805,26370017,28498090,30180128,32667002,34059367,35213859,36454932,39386688,41724669,45887687,48853509,50157363,48498805,50201889,53076546,55719818,57790643,60896989,64564307,67294067,71472616,76529572,83019410,91888534,103113985,109775862
 "16000","Idaho",7,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",1828256,1988173,2132253,2456849,2835302,3336028,3469288,3903988,4239982,4934568,5310686,5830263,6212217,6185479,6827202,7252699,7544763,7690358,8223109,9007785,9901968,10793544,11278225,12510401,13778234,14672823,15508060,16415597,17038901,18632044,20201775,21980822,22642061,23477010,23858456,25711807,27056586,29596081,31236293,30997417,29683368,30456386,32107656,33251598,35149656,36841974,38791023,40260398,42851199,46154553,50030889,53676997,59047758,64271521
 "16000","Idaho",7,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",193654,228696,269207,306344,350738,421478,523680,592519,628411,670353,782597,937417,1074013,1232596,1303498,1349184,1445318,1524840,1569784,1686008,1834090,1978472,2214385,2477921,2666717,2829042,3114066,3329547,3455236,3598451,3823132,4144677,4630884,5025614,5336896,5717819,6178041,6706486,7282026,8477354,9323734,10249431,10294030,10430458,10776202,11345272,12029133,12568588,13198630,14053948,15165513,19283644,22417497,20629914
 "16000","Idaho",7,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",13504,17796,20006,25605,22184,32521,41764,47531,50402,50196,65002,89777,94605,96315,101123,100168,104090,107292,107987,116820,126603,138672,160476,194884,214686,234298,266703,285672,287828,281065,303524,307780,321592,375164,435193,481254,541694,558674,627736,701683,874886,1016904,1089721,1069351,1078294,1042098,1049879,1038119,1013749,979113,1061801,1191633,1813741,2272775
 "16000","Idaho",7,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",8549,11695,19328,21492,17386,24778,46221,43402,37451,34579,47563,75564,82151,145132,124920,84862,89893,98008,80548,67897,64991,71756,100715,131487,140166,107933,112831,115309,110325,118948,113540,112868,165139,249299,252055,176158,144921,121786,139095,264961,638765,598914,439964,320794,213901,137824,128925,122267,114118,91167,93132,1006536,338691,74186
 "16000","Idaho",7,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",171601,199205,229873,259247,311168,364179,435695,501586,540558,585578,670032,772076,897257,991149,1077455,1164154,1251335,1319540,1381249,1501291,1642496,1768044,1953194,2151550,2311865,2486811,2734532,2928566,3057083,3198438,3406068,3724029,4144153,4401151,4649648,5060407,5491426,6026026,6515195,7510710,7810083,8633613,8764345,9040313,9484007,10165350,10850329,11408202,12070763,12983668,14010580,17085475,20265065,18282953
 "16000","Idaho",7,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",369081,430790,492691,541147,634475,739854,873746,939735,1073944,1224972,1374225,1628253,1947702,2276071,2468959,2678514,2933347,2950436,2881496,3054201,3388441,3571242,3706561,3893546,4244573,4632373,5166480,5518661,5875880,6267595,6155221,6541503,6786422,6711235,7259580,7957062,8490042,9585120,10335190,10682592,9491703,9496072,10674860,12037762,11864785,12709743,13744151,14465081,15422787,16321071,17823008,18927893,21648730,24874427
 "16000","Idaho",7,CAINC30,100,"..."," Population (persons) 3/","Number of persons",707000,717255,738749,763229,782061,807973,831981,856979,883446,910962,932636,947983,962204,973719,981866,990841,994052,990222,984997,985661,994422,1012384,1041316,1071685,1108768,1145140,1177322,1203083,1228520,1252330,1275674,1299430,1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1571266,1586530,1600013,1618042,1640181,1662421,1696089,1734030,1768643,1808039,1849202,1904314,1939033
 "16000","Idaho",7,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3382,3691,3918,4329,4885,5566,5850,6343,6726,7497,8007,8857,9597,9956,10795,11385,11995,12286,12867,13948,15209,16143,16517,17619,18660,19329,20206,20999,21465,22756,23658,25139,25803,26272,26739,28299,29214,31244,32459,32690,31200,31950,33454,34825,35716,37128,38838,39676,41218,43270,45917,49691,54148,56614
 "16000","Idaho",7,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2586,2772,2886,3219,3625,4129,4170,4556,4799,5417,5694,6150,6456,6352,6953,7320,7590,7766,8348,9139,9958,10662,10831,11674,12427,12813,13172,13645,13869,14878,15836,16916,17154,17515,17499,18474,18944,20152,20754,20203,19096,19383,20238,20782,21724,22462,23334,23737,24712,26096,27671,29027,31007,33146
 "16000","Idaho",7,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",274,319,364,401,448,522,629,691,711,736,839,989,1116,1266,1328,1362,1454,1540,1594,1711,1844,1954,2127,2312,2405,2470,2645,2768,2813,2873,2997,3190,3508,3749,3914,4108,4326,4566,4838,5525,5998,6523,6488,6519,6660,6917,7236,7410,7612,7946,8388,10428,11772,10639
 "16000","Idaho",7,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",19,25,27,34,28,40,50,55,57,55,70,95,98,99,103,101,105,108,110,119,127,137,154,182,194,205,227,237,234,224,238,237,244,280,319,346,379,380,417,457,563,647,687,668,666,635,632,612,585,554,587,644,952,1172
 "16000","Idaho",7,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",12,16,26,28,22,31,56,51,42,38,51,80,85,149,127,86,90,99,82,69,65,71,97,123,126,94,96,96,90,95,89,87,125,186,185,127,101,83,92,173,411,381,277,200,132,84,78,72,66,52,52,544,178,38
 "16000","Idaho",7,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",243,278,311,340,398,451,524,585,612,643,718,814,933,1018,1097,1175,1259,1333,1402,1523,1652,1746,1876,2008,2085,2172,2323,2434,2488,2554,2670,2866,3140,3284,3410,3636,3845,4103,4329,4895,5024,5495,5524,5650,5861,6198,6527,6726,6961,7341,7749,9239,10642,9429
 "16000","Idaho",7,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",522,601,667,709,811,916,1050,1097,1216,1345,1473,1718,2024,2338,2515,2703,2951,2980,2925,3099,3407,3528,3559,3633,3828,4045,4388,4587,4783,5005,4825,5034,5141,5007,5325,5717,5944,6526,6867,6962,6106,6044,6728,7524,7333,7749,8268,8528,8894,9228,9858,10236,11368,12828
 "16000","Idaho",7,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",1940837,2109689,2270103,2622172,3055068,3594491,3755533,4237234,4620907,5377412,5828047,6376209,6862295,6843620,7543115,8046458,8389423,8544914,9103354,10009549,11003255,12071286,12664353,14016026,15424480,16478251,17402868,18327014,18998058,20669390,22307327,24303725,25019718,25967885,26468552,28523968,30155866,33105330,34919626,34661933,33163850,34049944,35184314,36200165,38674114,40464326,42640697,44301374,47206399,50826360,54800329,58963725,64832265,70592136
 "16000","Idaho",7,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",1320708,1440640,1556675,1749463,1980130,2261040,2564467,2950054,3325581,3767300,4185009,4473971,4857421,4892534,5182475,5561836,5847881,5908275,6151576,6685163,7231106,7959014,8540741,9305334,10032170,10990012,11777423,12353382,13152525,14010223,15090399,16650453,16997504,17443573,17984623,19243328,20654057,22715399,24022775,23953469,22800391,22945036,23460884,24151284,25253684,26662050,27890271,29439483,31580001,33813891,35771496,38459192,43162871,47470424
 "16000","Idaho",7,CAINC30,200,"...","  Supplements to wages and salaries ","Thousands of dollars",166041,189282,220779,269619,314908,364907,432096,501565,583259,675185,760717,827062,931284,968696,1071524,1176151,1259181,1314077,1372893,1506255,1683373,1911218,2100082,2391517,2633968,2834519,2937757,3006147,3086904,3290040,3482060,3842437,3941296,4136521,4383701,4721107,5100699,5684517,5964020,5996916,5811274,5979801,5855165,5933410,6520424,6375502,6777081,7143132,7890967,8424781,8857069,9225363,9892906,10266718
 "16000","Idaho",7,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",98691,116438,137934,169879,184694,211954,261706,295815,347465,396240,441047,486234,538037,571287,636532,681403,744676,790943,836700,905372,1032919,1158306,1283418,1495544,1642149,1742322,1768827,1814628,1862114,1988523,2126281,2366275,2450153,2603725,2783175,3025269,3267360,3658948,3860686,3902278,3752375,3751327,3621784,3655174,4200424,3999881,4309719,4564825,5149896,5591562,5881187,6007522,6416525,6454129
 "16000","Idaho",7,CAINC30,202,"...","   Employer contributions for government social insurance ","Thousands of dollars",67350,72844,82845,99740,130214,152953,170390,205750,235794,278945,319670,340828,393247,397409,434992,494748,514505,523134,536193,600883,650454,752912,816664,895973,991819,1092197,1168930,1191519,1224790,1301517,1355779,1476162,1491143,1532796,1600526,1695838,1833339,2025569,2103334,2094638,2058899,2228474,2233381,2278236,2320000,2375621,2467362,2578307,2741071,2833219,2975882,3217841,3476381,3812589
 "16000","Idaho",7,CAINC30,210,"...","  Proprietors' income ","Thousands of dollars",454088,479767,492649,603090,760030,968544,758970,785615,712067,934927,882321,1075176,1073590,982390,1289116,1308471,1282361,1322562,1578885,1818131,2088776,2201054,2023530,2319175,2758342,2653720,2687688,2967485,2758629,3369127,3734868,3810835,4080918,4387791,4100228,4559533,4401110,4705414,4932831,4711548,4552185,5125107,5868265,6115471,6900006,7426774,7973345,7718759,7735431,8587688,10171764,11279170,11776488,12854994
