GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "18000","Indiana",3,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",19238335,20028723,21793740,23846523,27368399,29274320,31607533,35131556,38900918,43398431,47804276,51434612,56385049,58405977,61292821,67944411,71781760,75602918,79994102,85855229,93483728,98724639,101844784,110062468,115996313,123234342,128816697,136090898,143320055,154521832,160465789,171032057,175229754,177918829,182457953,191088330,196999021,208373702,215919895,226602287,220908661,231025568,245731198,256284678,259534763,269159112,279385736,287275158,297990490,313127221,326386659,351106590,387919266,398522647
 "18000","Indiana",3,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",15505944,15784488,16983518,18625052,21329590,22257891,23328860,26309197,29268708,32764657,35787696,36639285,38956181,38975156,40603092,45696088,48276878,51024285,55191224,59123238,63769990,66949058,68973368,74956879,79247418,84369398,87670659,92587951,97727872,105793161,111881784,118764183,120629368,122832410,126221848,132867669,136289893,142542531,146142038,148952908,142248032,149723344,161288416,167529241,170972475,174905065,180850205,186590352,193450878,203346234,211522536,217203470,237660042,254720525
 "18000","Indiana",3,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",1279491,1500681,1790316,1970018,2334859,2756768,3511531,3673861,3856762,4241635,4872153,6099062,6813263,7591528,8172075,8569132,9018555,9524831,9708778,10289638,11188044,12157814,13378353,15286467,16137709,16836649,17150643,18108377,18590422,19304769,20202431,21735529,24028246,25502826,26513097,28073232,30567991,32996463,34612087,40041781,44250946,47314897,47358946,48857657,49237069,52609361,54633328,56006782,57557551,59986284,63638099,81949437,93182580,82072263
 "18000","Indiana",3,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",48398,80066,119099,139635,134921,173505,218301,264250,254652,249710,314599,478366,538298,562404,629953,628856,631358,630723,611861,671580,714472,824436,973510,1210817,1313083,1438564,1463408,1465074,1507787,1476753,1644425,1723432,1809693,2026280,2209760,2422305,2701577,2823414,3058068,3476305,4413297,5144173,5108348,5052592,5112590,5126899,4699494,4621131,4536998,4428342,4654831,5419620,8217133,8610437
 "18000","Indiana",3,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",27567,66082,104321,85032,54435,115582,372410,206363,126691,136961,184317,602471,371082,507791,466143,240265,216388,211544,175743,135155,130700,145138,212696,227469,207041,214989,231411,274072,257248,264804,263943,304545,596021,873459,960587,748094,710391,779354,769591,1228177,3243707,2902610,2020683,1450072,886526,439070,365285,337192,268991,265908,251878,6053632,3836018,193088
 "18000","Indiana",3,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",1203526,1354533,1566896,1745351,2145503,2467681,2920820,3203248,3475419,3854964,4373237,5018225,5903883,6521333,7075979,7700011,8170809,8682564,8921174,9482903,10342872,11188240,12192147,13848181,14617585,15183096,15455824,16369231,16825387,17563212,18294063,19707552,21622532,22603087,23342750,24902833,27156023,29393695,30784428,35337299,36593942,39268114,40229915,42354993,43237953,47043392,49568549,51048459,52751562,55292034,58731390,70476185,81129429,73268738
 "18000","Indiana",3,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",2452900,2743554,3019906,3251453,3703950,4259661,4767142,5148498,5775448,6392139,7144427,8696265,10615605,11839293,12517654,13679191,14486327,15053802,15094100,16442353,18525694,19617767,19493063,19819122,20611186,22028295,23995395,25394570,27001761,29423902,28381574,30532345,30572140,29583593,29723008,30147429,30141137,32834708,35165770,37607598,34409683,33987327,37083836,39897780,39325219,41644686,43902203,44678024,46982061,49794703,51226024,51953683,57076644,61729859
 "18000","Indiana",3,CAINC30,100,"..."," Population (persons) 3/","Number of persons",5143000,5203700,5249921,5296129,5329122,5349886,5351080,5371552,5405075,5446403,5474909,5490721,5480440,5467918,5450396,5458322,5459214,5454103,5473023,5491733,5523679,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6491352,6521259,6546242,6581101,6609839,6628556,6658366,6685900,6725753,6761742,6788799,6813532,6833037
 "18000","Indiana",3,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3741,3849,4151,4503,5136,5472,5907,6540,7197,7968,8732,9368,10288,10682,11246,12448,13149,13862,14616,15634,16924,17763,18134,19396,20212,21271,22014,23043,24066,25758,26545,28075,28596,28902,29445,30657,31376,32905,33845,35270,34200,35590,37682,39150,39436,40721,42149,43145,44570,46556,48270,51719,56934,58323
 "18000","Indiana",3,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3015,3033,3235,3517,4002,4160,4360,4898,5415,6016,6537,6673,7108,7128,7450,8372,8843,9355,10084,10766,11545,12046,12281,13209,13809,14563,14983,15677,16410,17635,18508,19496,19686,19953,20369,21317,21707,22509,22908,23184,22022,23065,24733,25592,25979,26461,27283,28023,28934,30234,31282,31994,34881,37278
