GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "21000","Kentucky",5,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",9711706,10534849,11466051,12679771,14252540,16052187,17479191,19544359,21933925,24444005,27454302,29879523,33220541,35387079,36765030,41024190,42799341,44002089,46347070,50536886,54313733,57664576,60894857,65508425,68068630,71532496,74960257,79482505,84466334,89403051,93174966,100475073,103997797,106551862,109765865,116214070,121734486,128584095,134209937,140837674,138999735,144335559,151379896,156564902,157905375,164862106,172269382,175275581,180836063,186931085,195419696,211966801,232362631,234281888
 "21000","Kentucky",5,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",7574919,8057044,8662296,9591435,10670150,11824919,12477559,14063249,15984561,17889457,19915691,20742486,22482680,23173006,23673535,26865602,27902539,28445318,30529103,33500427,35632152,37539597,39156922,42495910,44255349,46451549,47962537,50795594,54072737,57490098,60930058,65532655,67266736,69010513,71593655,76235139,79777340,82871592,85046070,86351211,83135989,86680441,91648664,94647323,96334825,98487679,102366787,103625115,106765697,110219574,115369857,116708787,127094952,135557852
 "21000","Kentucky",5,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",944038,1104788,1298263,1441136,1719542,2051383,2583638,2831327,2967641,3177704,3703673,4468451,5038977,5499198,5953152,6228497,6516943,6824194,7057145,7494501,8234712,9010238,10245268,11248255,11702430,12273881,13202199,13981986,14776770,15170992,15736372,16908164,18426621,19733257,20346833,21900329,23207024,25001037,26897248,30328775,33466208,35454416,35930232,35975479,36845733,40210062,42325964,42663110,44091561,45378727,47368519,62386235,69199827,60566557
 "21000","Kentucky",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",112445,150638,175955,189276,215908,310052,381141,431169,433660,417818,474597,608410,680759,678865,766507,793602,799044,817043,806630,871998,955805,1065201,1214497,1396517,1458082,1529177,1658594,1765244,1780332,1785502,1819231,1819718,1926746,2085821,2276407,2442194,2621414,2740321,2939787,3228100,3773084,4085266,4204998,4280908,4338569,4167034,4061528,3930136,3903801,3776380,3893561,4728339,7054603,5866704
 "21000","Kentucky",5,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",27961,41688,62880,63439,55036,77686,208232,178912,149026,128588,166983,340514,295881,407786,418515,223175,202093,207349,161536,164448,167151,212900,311916,380196,347498,264965,240686,252415,250299,248880,260384,293733,453054,643344,645487,498459,429851,435382,474409,716734,1763632,1718125,1369579,1046477,796269,400200,323513,378376,333153,330590,314945,5603545,2008932,195380
 "21000","Kentucky",5,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",803632,912462,1059428,1188421,1448598,1663645,1994265,2221246,2384955,2631298,3062093,3519527,4062337,4412547,4768130,5211720,5515806,5799802,6088979,6458055,7111756,7732137,8718855,9471542,9896850,10479739,11302919,11964327,12746139,13136610,13656757,14794713,16046821,17004092,17424939,18959676,20155759,21825334,23483052,26383941,27929492,29651025,30355655,30648094,31710895,35642828,37940923,38354598,39854607,41271757,43160013,52054351,60136292,54504473
 "21000","Kentucky",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",1192749,1373017,1505492,1647200,1862848,2175885,2417994,2649783,2981723,3376844,3834938,4668586,5698884,6714875,7138343,7930091,8379859,8732577,8760822,9541958,10446869,11114741,11492667,11764260,12110851,12807066,13795521,14704925,15616827,16741961,16508536,18034254,18304440,17808092,17825377,18078602,18750122,20711466,22266619,24157688,22397538,22200702,23801000,25942100,24724817,26164365,27576631,28987356,29978805,31332784,32681320,32871779,36067852,38157479
 "21000","Kentucky",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4349138,4374212,4394010,4415821,4428679,4443606,4457599,4475723,4487233,4498141,4507445,4506589,4512310
 "21000","Kentucky",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3037,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8154,9051,9607,9951,11101,11584,11932,12583,13733,14770,15610,16359,17397,17855,18584,19283,20279,21369,22433,23189,24815,25564,26053,26661,28030,29104,30476,31529,32830,32198,33187,34607,35631,35759,37226,38768,39321,40404,41658,43445,47026,51561,51921
 "21000","Kentucky",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2369,2494,2626,2875,3165,3461,3597,3983,4471,4954,5466,5661,6125,6291,6408,7270,7552,7713,8288,9103,9690,10162,10519,11286,11609,12068,12338,12960,13680,14425,15164,16185,16535,16874,17389,18387,19073,19641,19979,20129,19257,19930,20952,21540,21816,22239,23037,23247,23854,24563,25648,25892,28202,30042
 "21000","Kentucky",5,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",295,342,394,432,510,600,745,802,830,880,1016,1219,1373,1493,1611,1685,1764,1850,1916,2037,2239,2439,2752,2987,3070,3189,3396,3567,3738,3807,3916,4176,4530,4825,4942,5282,5548,5925,6319,7070,7752,8152,8214,8187,8344,9079,9525,9571,9851,10113,10531,13841,15355,13423
 "21000","Kentucky",5,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",35,47,53,57,64,91,110,122,121,116,130,166,185,184,207,215,216,222,219,237,260,288,326,371,382,397,427,450,450,448,453,449,474,510,553,589,627,649,691,752,874,939,961,974,983,941,914,882,872,842,866,1049,1565,1300
 "21000","Kentucky",5,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",9,13,19,19,16,23,60,51,42,36,46,93,81,111,113,60,55,56,44,45,45,58,84,101,91,69,62,64,63,62,65,73,111,157,157,120,103,103,111,167,409,395,313,238,180,90,73,85,74,74,70,1243,446,43
 "21000","Kentucky",5,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",251,282,321,356,430,487,575,629,667,729,840,961,1107,1198,1291,1410,1493,1573,1653,1755,1934,2093,2342,2515,2596,2723,2908,3052,3225,3296,3399,3654,3945,4158,4232,4573,4819,5173,5517,6150,6470,6818,6940,6975,7181,8048,8538,8604,8905,9198,9595,11549,13344,12079
 "21000","Kentucky",5,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",373,425,456,494,553,637,697,751,834,935,1052,1274,1553,1823,1932,2146,2268,2368,2379,2593,2841,3009,3087,3124,3177,3327,3549,3752,3951,4201,4109,4454,4499,4354,4330,4360,4483,4909,5231,5631,5188,5105,5441,5904,5599,5908,6206,6503,6698,6983,7266,7293,8003,8456
 "21000","Kentucky",5,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",7921774,8450879,9180222,10214500,11544541,12867920,13589288,15371828,17430475,19546990,21839279,22749629,24858226,25688514,26293695,29863190,31124849,31876688,34206540,37605240,40081811,42389611,44288348,48270644,50386137,53110657,54927398,58007891,61686584,65425209,69459277,74352005,76453440,78523102,81581615,86805994,91211944,94922796,97722892,99794612,96512103,100659621,104936592,108328484,111269107,113919189,118463724,120008736,123663315,127920844,133891806,136111717,147740519,157881490
 "21000","Kentucky",5,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",5904669,6361352,6877175,7531996,8481299,9413537,10033210,11253124,12596042,14271094,16009619,16962353,18390272,19027562,19697048,21528816,22688392,23669855,25404700,27133433,28755797,30824972,32008428,34542519,36024338,38114358,40210708,42333865,45181475,48094952,51148699,53945947,55555240,56650063,58473087,61399299,64083952,67307133,70580439,72350823,70412574,71872526,74529050,77055769,78277356,81480090,85379257,87833227,90549717,93333293,96691994,97298882,104817480,113864586
