GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "39000","Ohio",3,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",41801043,44141934,46980368,50967906,56552390,61925206,66162182,72597505,80397208,88854711,98139943,107224402,116584437,122010409,129165178,142495944,151344813,158418410,165483900,178136781,191537126,202968115,207868447,221074852,230183648,243075206,254778303,266670184,282198968,298491358,307407038,323812505,333209250,338462533,348428738,361752998,371633835,390090034,406786493,422085747,410350426,422204427,449923823,466162071,473218777,492475624,511339811,521622549,541289443,562522960,582400407,623835973,670872723,679232967
 "39000","Ohio",3,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",33283594,34578731,36312715,39428807,43493602,46783642,48571742,53770367,60050436,66598259,72942140,76088879,80130070,80809711,84906144,94903869,101115107,105821153,112014969,120705253,128340437,134767109,137363310,147158254,153348187,162642736,169035621,176740635,187788077,200113247,209732560,221134977,226232293,230480634,237499396,247767479,252711014,262462838,269777707,272388553,260421892,268539336,287063880,298498454,306001752,315181841,325744725,330506126,342560411,355602288,365993298,369966759,394454737,414978015
 "39000","Ohio",3,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",2900308,3395479,4013592,4438190,5165588,6202762,7932555,8501862,8929549,9594430,10953110,13810983,15347450,17810249,19045328,19649092,20944245,22184556,23051742,24232814,25830539,28739578,30988091,34034025,35388804,36744040,38774117,40209435,41423256,42182473,43521062,46267091,50407069,53820439,56379799,58934327,62424323,65748747,69997645,78885141,85927071,90692521,93124722,91277290,93263124,98006028,101582355,103988720,106505235,109235052,114703837,152009342,164892659,143026689
 "39000","Ohio",3,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",241833,336505,447614,520832,559698,728443,917373,1039423,1012591,1005313,1102087,1439348,1679947,1723115,1950371,2073055,2190751,2288573,2319589,2478537,2684602,2940147,3247528,3568029,3705780,3886906,3959853,3904229,4073555,3884133,4066949,4164499,4328796,4784928,5157369,5397806,5929690,6259276,6734007,7807437,8878070,9645727,10149811,10202473,9943273,9487945,9482986,9421114,9164606,8987887,9457989,11494051,16025517,14796635
 "39000","Ohio",3,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",67323,149357,243699,211369,128038,275169,875639,655340,510201,420814,588085,1614744,1185265,1997520,1783446,862934,829884,792749,714964,632952,714222,753342,1090818,1482759,1196367,816743,715920,755216,708557,651981,663315,724456,1222942,1819123,1789373,1329888,1159561,1142348,1197867,1808542,4856665,4708613,3338767,2313485,1803284,1004775,959079,979691,943037,886313,846940,15743373,8099619,562580
 "39000","Ohio",3,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",2591152,2909617,3322279,3705989,4477852,5199150,6139543,6807099,7406757,8168303,9262938,10756891,12482238,14089614,15311511,16713103,17923610,19103234,20017189,21121325,22431715,25046089,26649745,28983237,30486657,32040391,34098344,35549990,36641144,37646359,38790798,41378136,44855331,47216388,49433057,52206633,55335072,58347123,62065771,69269162,72192336,76338181,79636144,78761332,81516567,87513308,91140290,93587915,96397592,99360852,104398908,124771918,140767523,127667474
 "39000","Ohio",3,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",5617141,6167724,6654061,7100909,7893200,8938802,9657885,10325276,11417223,12662022,14244693,17324540,21106917,23390449,25213706,27942983,29285461,30412701,30417189,33198714,37366150,39461428,39517046,39882573,41446657,43688430,46968565,49720114,52987635,56195638,54153416,56410437,56569888,54161460,54549543,55051192,56498498,61878449,67011141,70812053,64001463,62972570,69735221,76386327,73953901,79287755,84012731,87127703,92223797,97685620,101703272,101859872,111525327,121228263
 "39000","Ohio",3,CAINC30,100,"..."," Population (persons) 3/","Number of persons",10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11541886,11557958,11573024,11611630,11648446,11674128,11701886,11737605,11762842,11788547,11797517,11764342,11756058
 "39000","Ohio",3,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3957,4137,4376,4743,5252,5752,6143,6752,7464,8231,9088,9928,10807,11342,12029,13271,14098,14764,15379,16496,17687,18682,18991,20044,20735,21796,22742,23719,25024,26388,27119,28496,29261,29669,30471,31588,32419,33976,35371,36654,35593,36580,38928,40280,40754,42278,43801,44576,46116,47822,49404,52879,57026,57777
 "39000","Ohio",3,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",3151,3241,3383,3669,4039,4346,4510,5001,5575,6169,6755,7045,7427,7512,7907,8838,9419,9862,10410,11178,11851,12405,12549,13342,13814,14584,15089,15720,16652,17691,18502,19460,19867,20204,20770,21635,22045,22860,23458,23654,22589,23267,24837,25793,26353,27058,27903,28244,29185,30231,31047,31360,33530,35299
