GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "42000","Pennsylvania",2,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",45346106,48843711,51835461,56579789,62032948,68133164,74472731,81283216,89174091,98271999,108710086,119133879,131383551,140328325,147211666,158758804,168297891,177003246,186827586,203001535,219826972,232899904,242842842,255911487,265557213,274855910,287343845,301835572,317130456,334421754,348489158,372690713,388186257,395633311,409185840,432634650,450359695,472940608,502658788,522993816,512318194,535335505,563528870,584880333,589720173,611421707,635818019,653328866,671702754,707043419,729142341,783825569,833321971,836778334
 "42000","Pennsylvania",2,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",35191901,37186473,38851373,42323117,46150272,49898352,53085197,57908206,63785711,70644174,77659162,82265793,87932227,90018623,93648342,101904889,107835520,113589008,122771806,133876372,143415116,151210750,155231059,165901555,172007618,178405151,185135856,193687247,204476632,217204125,230226599,245864635,257149816,263450776,273334687,292792163,304576502,315094148,330708658,335939820,325371877,341584122,361775709,374673895,382920489,394414735,409061582,417558976,429285590,445874262,459962248,457739876,485567606,511019899
 "42000","Pennsylvania",2,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",3992258,4913987,5774880,6526814,7304548,8539418,10827570,12030160,12782592,13722035,15451543,17710601,19936594,22831402,24688193,24849140,26001426,27419488,28046389,29546905,31426335,34293004,39607289,42155256,44371294,45435941,47453209,50402439,51500749,52229089,54578560,57913637,61874046,65647234,68278371,70831233,76100958,79916045,85366941,95049416,103529128,110981577,111505992,111614485,113327310,117162957,122734630,128887057,130025252,139060033,143487999,195176776,205346042,174519783
 "42000","Pennsylvania",2,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",422355,630211,787916,844739,790968,996262,1222596,1450657,1580953,1611627,1733270,2041985,2206083,2222938,2350178,2372047,2383073,2464719,2418392,2551791,2638408,2969263,3364078,3821687,4064146,4237541,4603937,4647001,4397489,4481760,4350135,4545445,4450466,4828622,5149079,5664722,6168591,6478436,7086708,7527287,8794768,10025577,10244892,10592993,10694332,11062799,11368987,11447728,11627255,11625235,11423583,12431484,17339239,15685324
 "42000","Pennsylvania",2,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",135389,243107,381762,520132,387666,547004,1321111,1397350,1226693,953468,937444,1404294,1269577,2212311,2506306,1325812,1208102,1175294,989055,885869,1011636,1250750,1811274,2799293,2595912,1781348,1632432,1697770,1500285,1465509,1464666,1558398,2237198,3467254,3612429,2477231,2164494,2134067,2321396,3414406,8046884,8279698,6524054,5389175,4067195,2372714,2255440,2251919,1990342,1841178,1818645,31095395,17995815,1149653
 "42000","Pennsylvania",2,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",3434514,4040669,4605202,5161943,6125914,6996152,8283863,9182153,9974946,11156940,12780829,14264322,16460934,18396153,19831709,21151281,22410251,23779475,24638942,26109245,27776291,30072991,34431937,35534276,37711236,39417052,41216840,44057668,45602975,46281820,48763759,51809794,55186382,57351358,59516863,62689280,67767873,71303542,75958837,84107723,86687476,92676302,94737046,95632317,98565783,103727444,109110203,115187410,116407655,125593620,130245771,151649897,170010988,157684806
 "42000","Pennsylvania",2,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",6161947,6743251,7209208,7729858,8578128,9695394,10559964,11344850,12605788,13905790,15599381,19157485,23514730,27478300,28875131,32004775,34460945,35994750,36009391,39578258,44985521,47396150,48004494,47854676,49178301,51014818,54754780,57745886,61153075,64988540,63683999,68912441,69162395,66535301,67572782,69011254,69682235,77930415,86583189,92004580,83417189,82769806,90247169,98591953,93472374,99844015,104021807,106882833,112391912,122109124,125692094,130908917,142408323,151238652
 "42000","Pennsylvania",2,CAINC30,100,"..."," Population (persons) 3/","Number of persons",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12716521,12772774,12815609,12846775,12880463,12898688,12918191,12945337,12980864,12991448,12994440,13012059,12972008
 "42000","Pennsylvania",2,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9156,10038,11079,11847,12436,13437,14298,15022,15818,17137,18526,19566,20267,21238,21911,22592,23556,24699,25935,27309,28416,30339,31563,32084,33066,34860,36173,37803,40008,41467,40446,42098,44120,45638,45904,47469,49293,50574,51888,54468,56125,60320,64042,64506
 "42000","Pennsylvania",2,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2997,3148,3269,3555,3883,4206,4462,4871,5368,5954,6541,6932,7415,7600,7911,8625,9161,9640,10395,11302,12086,12703,12955,13768,14192,14664,15177,15849,16722,17737,18773,20015,20908,21365,22088,23592,24464,25186,26322,26636,25687,26861,28324,29236,29807,30621,31713,32323,33161,34349,35405,35226,37317,39394
 "42000","Pennsylvania",2,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",340,416,486,548,615,720,910,1012,1076,1157,1301,1492,1681,1927,2086,2103,2209,2327,2375,2494,2648,2881,3306,3499,3661,3735,3890,4124,4212,4265,4450,4714,5031,5324,5518,5707,6113,6388,6795,7536,8173,8727,8730,8709,8821,9096,9515,9977,10044,10713,11045,15020,15781,13454
 "42000","Pennsylvania",2,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",36,53,66,71,67,84,103,122,133,136,146,172,186,188,199,201,202,209,205,215,222,249,281,317,335,348,377,380,360,366,355,370,362,392,416,456,495,518,564,597,694,788,802,827,832,859,881,886,898,896,879,957,1333,1209
 "42000","Pennsylvania",2,CAINC30,150,"...","  Per capita unemployment insurance compensation 4/","Dollars",12,21,32,44,33,46,111,118,103,80,79,118,107,187,212,112,103,100,84,75,85,105,151,232,214,146,134,139,123,120,119,127,182,281,292,200,174,171,185,271,635,651,511,421,317,184,175,174,154,142,140,2393,1383,89
 "42000","Pennsylvania",2,CAINC30,160,"...","  Per capita retirement and other 4/","Dollars",293,342,388,434,515,590,696,772,840,940,1076,1202,1388,1553,1675,1790,1904,2018,2086,2204,2341,2526,2874,2949,3112,3240,3379,3605,3729,3779,3976,4218,4487,4651,4810,5051,5443,5699,6046,6669,6844,7288,7417,7462,7672,8053,8459,8917,8992,9675,10026,11670,13066,12156
 "42000","Pennsylvania",2,CAINC30,170,"..."," Per capita dividends, interest, and rent 4/","Dollars",525,571,607,649,722,817,888,954,1061,1172,1314,1614,1983,2320,2439,2709,2928,3055,3049,3341,3791,3982,4006,3972,4058,4193,4489,4725,5001,5307,5193,5610,5623,5396,5461,5561,5597,6229,6891,7295,6585,6509,7066,7693,7276,7752,8065,8274,8682,9407,9675,10074,10944,11659
 "42000","Pennsylvania",2,CAINC30,180,"..."," Earnings by place of work ","Thousands of dollars",38436880,40518691,42410893,46349756,51119285,55468407,58846636,64245467,70701225,78472312,86595068,91820100,98824648,101160396,105242230,114855224,121615883,128098226,138139838,150812088,161088577,170011240,174840776,186564505,193773307,201208862,208258794,217005925,228564468,242081729,256072351,272672491,284766797,291571003,301757851,322134652,334688190,346776765,363028142,369147932,359291829,375934521,393318810,406762901,421457423,433661863,450231554,459146271,472978177,490540476,505967594,502258977,532601637,562602855
 "42000","Pennsylvania",2,CAINC30,190,"...","  Wages and salaries ","Thousands of dollars",30357033,32144348,33503376,36396877,40020341,43492107,45533186,49339840,53549103,59060320,65035319,69778363,74897159,76486821,78815808,84930838,89666307,94611155,102111463,110242677,116804300,123198183,126114149,132610854,136841782,142194189,148313207,155293512,164911456,175755250,184861731,195893879,201372357,204936278,210522084,220394515,228652623,240660749,253532861,260393288,254386988,259593988,269699896,279983494,285211802,296358847,308370419,312722721,325356295,339272774,354141766,353822539,379762844,408967462
 "42000","Pennsylvania",2,CAINC30,200,"...","  Supplements to wages and salaries ","Thousands of dollars",3893280,4171211,4579555,5293380,5991391,6688791,7674519,8414648,9753304,11078137,12641464,13808819,15361855,16197209,17236647,18804881,20259864,21703923,23276665,25075196,27328277,29157135,31041443,34501790,36270813,37525500,37397320,37857689,38681858,40032858,42853680,46291744,50558323,52429908,54938755,58521729,61797267,65189610,66888115,67995019,67056091,69775669,72380608,71428590,76057299,76037004,79389765,80189783,82396031,85417414,87034440,84984135,86471234,88952980
 "42000","Pennsylvania",2,CAINC30,201,"...","   Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",2360712,2580543,2844804,3264432,3403989,3772499,4675801,5006168,5980450,6740233,7724638,8625884,9463289,10116884,10783357,11393107,12555015,13626771,14785746,15719491,17676280,18940514,20487967,23288642,24412471,24967913,24514752,24789942,25065476,25887430,28220501,30910917,34734278,36357247,38455918,41339451,43630887,46184031,47365676,47964029,47360001,49487252,51135184,49589629,53530104,52838303,55279570,55744407,56832619,59359476,60127611,58819063,59092768,59504709
 "42000","Pennsylvania",2,CAINC30,202,"...","   Employer contributions for government social insurance ","Thousands of dollars",1532568,1590668,1734751,2028948,2587402,2916292,2998718,3408480,3772854,4337904,4916826,5182935,5898566,6080325,6453290,7411774,7704849,8077152,8490919,9355705,9651997,10216621,10553476,11213148,11858342,12557587,12882568,13067747,13616382,14145428,14633179,15380827,15824045,16072661,16482837,17182278,18166380,19005579,19522439,20030990,19696090,20288417,21245424,21838961,22527195,23198701,24110195,24445376,25563412,26057938,26906829,26165072,27378466,29448271
 "42000","Pennsylvania",2,CAINC30,210,"...","  Proprietors' income ","Thousands of dollars",4186567,4203132,4327962,4659499,5107553,5287509,5638931,6490979,7398818,8333855,8918285,8232918,8565634,8476366,9189775,11119505,11689712,11783148,12751710,15494215,16956000,17655922,17685184,19451861,20660712,21489173,22548267,23854724,24971154,26293621,28356940,30486868,32836117,34204817,36297012,43218408,44238300,40926406,42607166,40759625,37848750,46564864,51238306,55350817,60188322,61266012,62471370,66233767,65225851,65850288,64791388,63452303,66367559,64682413
