GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "55000","Wisconsin",3,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",16424603,17648753,18959244,20731568,23157827,25436474,27871968,30609129,34210389,38209862,42797838,47299027,51586511,54425987,57213708,62839302,66243939,69881373,73507230,78389485,85446559,90418024,94089052,101342383,106615006,113266452,119152526,125937358,133808682,143130045,148737033,158494204,166593201,171010014,175794284,183721399,189779153,201058382,210529869,219194538,216211889,222260933,234631562,244508303,245762269,255165329,266132029,270846626,281979549,295996804,307907603,326836532,355048009,362245267
 "55000","Wisconsin",3,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",12615940,13277126,14079844,15407909,17162129,18490729,19788655,21914684,24766587,27749244,30924532,32822077,34448695,35257627,36628141,40724511,42873725,45637813,49139167,52554996,56840389,60161402,62507337,68153325,71960635,76708812,79874551,84441824,89945705,96473429,102175921,108399229,114128034,118147875,121925607,128249553,131948772,137745583,142563014,144909692,140021413,143488671,153059030,158514603,160545728,165459594,171598462,174035318,179772505,188283172,195032752,198665536,211529467,223559757
 "55000","Wisconsin",3,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",1359090,1598877,1869925,2079229,2364978,2811183,3527660,3822606,4053530,4474912,5133592,6256970,7114936,7936440,8527264,8731701,9275057,9568248,9784036,10135892,10941748,11735324,12735189,13801658,14380476,14830254,15721856,16283305,16818279,17246968,17954158,19294160,21529002,23165806,23852549,24553682,26308987,27911840,30241402,33866925,39176397,42049365,40653318,41417629,42372939,44357108,46250853,46870170,49226281,52042981,54604611,68945447,77471229,68378735
 "55000","Wisconsin",3,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",93633,117962,157970,205734,214655,278266,350896,407929,459864,483931,535058,699370,781024,821930,940399,1002281,1065149,1111822,1084885,1081660,1081824,1136497,1260367,1413967,1470567,1470549,1525055,1418755,1440319,1339917,1407128,1496022,1638593,1747418,1975482,2125412,2307827,2442424,2688724,2842259,3362671,3769138,3892678,3914535,4044137,4064909,3957044,3741405,3784170,3679461,3807314,4513421,6747570,6223499
 "55000","Wisconsin",3,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",44423,90474,134453,129812,93728,131349,337812,291678,212097,202058,254972,554386,550526,793877,750799,437216,453482,390478,348769,290889,320463,367900,527038,598803,562147,433846,452042,503079,477891,459576,467542,526643,814730,1179148,1180218,897153,818473,811490,907247,1220595,2936217,2879740,2072571,1588389,1238628,683490,573148,482034,433964,393692,390642,4565489,2393860,274089
 "55000","Wisconsin",3,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",1221034,1390441,1577502,1743683,2056595,2401568,2838952,3122999,3381569,3788923,4343562,5003214,5783386,6320633,6836066,7292204,7756426,8065948,8350382,8763343,9539461,10230927,10947784,11788888,12347762,12925859,13744759,14361471,14900069,15447475,16079488,17271495,19075679,20239240,20696849,21531117,23182687,24657926,26645431,29804071,32877509,35400487,34688069,35914705,37090174,39608709,41720661,42646731,45008147,47969828,50406655,59866537,68329799,61881147
 "55000","Wisconsin",3,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",2449573,2772750,3009475,3244430,3630720,4134562,4555653,4871839,5390272,5985706,6739714,8219980,10022880,11231920,12058303,13383090,14095157,14675312,14584027,15698597,17664422,18521298,18846526,19387400,20273895,21727386,23556119,25212229,27044698,29409648,28606954,30800815,30936165,29696333,30016128,30918164,31521394,35400959,37725453,40417921,37014079,36722897,40919214,44576071,42843602,45348627,48282714,49941138,52980763,55670651,58270240,59225549,66047313,70306775
 "55000","Wisconsin",3,CAINC30,100,"..."," Population (persons) 3/","Number of persons",4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5691995,5713164,5734069,5757204,5778371,5794088,5812379,5836461,5858766,5880193,5896271,5880101,5892539
 "55000","Wisconsin",3,CAINC30,110,"..."," Per capita personal income 4/","Dollars",3752,3988,4251,4609,5125,5605,6099,6676,7416,8249,9172,10038,10915,11509,12118,13270,13953,14694,15385,16255,17594,18435,18953,20166,20967,22063,22981,24080,25409,27018,27892,29493,30812,31406,32084,33319,34218,36047,37522,38857,38138,39048,41069,42641,42688,44159,45932,46598,48313,50522,52364,55431,60381,61475
 "55000","Wisconsin",3,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2882,3000,3157,3425,3798,4074,4330,4780,5369,5991,6628,6966,7289,7456,7758,8600,9030,9597,10285,10898,11704,12266,12591,13562,14152,14942,15405,16146,17080,18211,19160,20171,21108,21698,22252,23259,23791,24696,25409,25689,24698,25209,26791,27644,27886,28634,29616,29942,30802,32137,33168,33693,35974,37939
 "55000","Wisconsin",3,CAINC30,130,"..."," Per capita personal current transfer receipts 4/","Dollars",310,361,419,462,523,619,772,834,879,966,1100,1328,1505,1678,1806,1844,1954,2012,2048,2102,2253,2393,2565,2746,2828,2889,3032,3113,3194,3256,3367,3590,3982,4254,4353,4453,4744,5004,5390,6004,6910,7387,7116,7223,7360,7676,7982,8064,8434,8883,9286,11693,13175,11604
 "55000","Wisconsin",3,CAINC30,140,"...","  Per capita income maintenance benefits 4/","Dollars",21,27,35,46,48,61,77,89,100,104,115,148,165,174,199,212,224,234,227,224,223,232,254,281,289,286,294,271,274,253,264,278,303,321,361,385,416,438,479,504,593,662,681,683,702,703,683,644,648,628,647,765,1148,1056
