GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "54000","West Virginia",5,CAINC30,10,"...","Personal income (thousands of dollars) ","Thousands of dollars",4944141,5511837,6051556,6700698,7333218,8128736,9186126,10241128,11457287,12752672,14222751,15637550,17044991,18059962,18554199,19921934,20756668,21253154,21714815,23221484,24579344,26184243,27331646,29388622,30475580,31790532,32855636,34152035,35627801,37130579,38078587,40251566,42750333,44243165,44952808,46551205,48854253,52146960,54184672,57958900,58487453,60532086,64059017,65488403,65152569,67156751,68437802,68067852,70797616,74235000,76746554,80740963,87617398,88744908
 "54000","West Virginia",5,CAINC30,45,"..."," Net earnings by place of residence ","Thousands of dollars",3776659,4143047,4468837,4917361,5255373,5746587,6405204,7182805,8112716,9028528,9931218,10524968,11050600,11356548,11252223,12184739,12633185,12751307,13142324,14096186,14742521,15737469,16193978,17275954,17840075,18828504,19306029,19869739,20820360,21652581,22581652,23890512,25317367,26178177,26731696,28266831,30043929,31974850,32551538,34055878,33686241,34883302,37376472,38068081,37675916,38228381,38365565,37532216,39190559,41686458,42806784,41747597,44620597,47358355
 "54000","West Virginia",5,CAINC30,50,"..."," Personal current transfer receipts ","Thousands of dollars",598877,721757,870540,997482,1186307,1343742,1600555,1757968,1875239,2082893,2437915,2836210,3203081,3511957,3891418,3974554,4148507,4406392,4528329,4779118,5043207,5406589,6079307,6969648,7420360,7523803,7759368,8181530,8368313,8672792,8852913,9287379,10261082,11086843,11361032,11359387,11794805,12600606,13330717,14788644,15965132,16841063,16972077,17299032,17639118,18597735,19430846,19937373,20579280,21085263,21735868,26613719,29557618,26572884
 "54000","West Virginia",5,CAINC30,60,"...","  Income maintenance benefits 1/","Thousands of dollars",60421,97119,104747,117002,101700,139250,164863,182603,192602,216460,214277,268054,313139,310785,351947,386779,413540,432892,437448,470835,505758,544782,604514,697693,734591,772977,806652,871429,843323,828607,848477,863461,959219,1010944,1051677,1095730,1112903,1189567,1230272,1319404,1592732,1750825,1718208,1713223,1726403,1722705,1726966,1754711,1760922,1691728,1712848,2034632,2977172,2805996
 "54000","West Virginia",5,CAINC30,70,"...","  Unemployment insurance compensation ","Thousands of dollars",15661,19807,37195,43888,33781,36386,85621,78450,82807,95755,119561,197130,197547,290508,433600,219988,180106,166623,143116,124760,106397,117480,194879,258956,230514,163818,154898,163171,147314,142776,137194,119769,144793,230086,257060,187533,174611,164570,183575,227327,519828,523412,409987,391560,353051,223439,247832,262121,164887,144400,182615,1779045,624154,92524
 "54000","West Virginia",5,CAINC30,80,"...","  Retirement and other ","Thousands of dollars",522795,604831,728598,836592,1050826,1168106,1350071,1496915,1599830,1770678,2104077,2371026,2692395,2910664,3105871,3367787,3554861,3806877,3947765,4183523,4431052,4744327,5279914,6012999,6455255,6587008,6797818,7146930,7377676,7701409,7867242,8304149,9157070,9845813,10052295,10076124,10507291,11246469,11916870,13241913,13852572,14566826,14843882,15194249,15559664,16651591,17456048,17920541,18653471,19249135,19840405,22800042,25956292,23674364
 "54000","West Virginia",5,CAINC30,90,"..."," Dividends, interest, and rent 2/","Thousands of dollars",568605,647033,712179,785855,891538,1038407,1180367,1300355,1469332,1641251,1853618,2276372,2791310,3191457,3410558,3762641,3974976,4095455,4044162,4346180,4793616,5040185,5058361,5143020,5215145,5438225,5790239,6100766,6439128,6805206,6644022,7073675,7171884,6978145,6860080,6924987,7015519,7571504,8302417,9114378,8836080,8807721,9710468,10121290,9837535,10330635,10641391,10598263,11027777,11463279,12203902,12379647,13439183,14813669
 "54000","West Virginia",5,CAINC30,100,"..."," Population (persons) 3/","Number of persons",1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854409,1857326,1858745,1856642,1853014,1846341,1835998,1822785,1810588,1800430,1791420,1785526,1775156
 "54000","West Virginia",5,CAINC30,110,"..."," Per capita personal income 4/","Dollars",2832,3156,3418,3729,4062,4481,4991,5455,6012,6641,7335,8014,8723,9263,9539,10335,10885,11291,11690,12688,13606,14607,15195,16269,16767,17463,18016,18736,19585,20451,21017,22275,23731,24506,24804,25628,26836,28528,29544,31494,31653,32642,34490,35233,35092,36242,37067,37074,38840,41000,42627,45071,49071,49993
 "54000","West Virginia",5,CAINC30,120,"..."," Per capita net earnings 4/","Dollars",2163,2372,2524,2737,2911,3168,3480,3826,4257,4702,5122,5394,5655,5825,5785,6321,6625,6774,7075,7702,8161,8779,9003,9563,9816,10343,10586,10901,11445,11926,12464,13221,14054,14500,14750,15562,16503,17493,17748,18506,18231,18811,20124,20481,20293,20630,20779,20442,21500,23024,23776,23304,24990,26678
