Customer ID,Count,Country,State,City,Zip Code,Latitude,Longitude,County_Code
8779-QRDMV,1,United States,California,Los Angeles,90022,34.02381,-118.156582,37.0
7495-OOKFY,1,United States,California,Los Angeles,90063,34.044271,-118.185237,37.0
1658-BYGOY,1,United States,California,Los Angeles,90065,34.108833,-118.229715,37.0
4598-XLKNJ,1,United States,California,Inglewood,90303,33.936291,-118.332639,37.0
4846-WHAFZ,1,United States,California,Whittier,90602,33.972119,-118.020188,37.0
4412-YLTKF,1,United States,California,Pico Rivera,90660,33.989524,-118.089299,37.0
0390-DCFDQ,1,United States,California,Los Alamitos,90720,33.79499,-118.065591,59.0
3445-HXXGF,1,United States,California,Sierra Madre,91024,34.168686,-118.057505,37.0
2656-FMOKZ,1,United States,California,Pasadena,91106,34.139402,-118.128658,37.0
2070-FNEXE,1,United States,California,Pasadena,91107,34.159007,-118.087353,37.0
0094-OIFMO,1,United States,California,North Hollywood,91605,34.207295,-118.400022,37.0
9947-OTFQU,1,United States,California,Covina,91722,34.097345,-117.906736,37.0
9514-JDSKI,1,United States,California,El Monte,91732,34.074492,-118.01462,37.0
7273-TEFQD,1,United States,California,La Puente,91746,34.038983,-117.991372,37.0
3606-TWKGI,1,United States,California,Rowland Heights,91748,33.976753,-117.897367,37.0
4385-GZQXV,1,United States,California,Ontario,91764,34.074087,-117.605618,71.0
3488-PGMQJ,1,United States,California,Alpine,91901,32.827184,-116.703729,73.0
7534-BFESC,1,United States,California,San Diego,92122,32.85723,-117.209774,73.0
8098-LLAZX,1,United States,California,San Diego,92122,32.85723,-117.209774,73.0
0265-EDXBD,1,United States,California,San Diego,92122,32.85723,-117.209774,73.0
2840-XANRC,1,United States,California,San Diego,92122,32.85723,-117.209774,73.0
5020-ZSTTY,1,United States,California,San Diego,92122,32.85723,-117.209774,73.0
5804-LEPIM,1,United States,California,San Diego,92122,32.85723,-117.209774,73.0
0623-IIHUG,1,United States,California,San Diego,92122,32.85723,-117.209774,73.0
9057-MSWCO,1,United States,California,San Diego,92122,32.85723,-117.209774,73.0
4895-TMWIR,1,United States,California,San Diego,92122,32.85723,-117.209774,73.0
0533-BNWKF,1,United States,California,San Diego,92122,32.85723,-117.209774,73.0
0334-GDDSO,1,United States,California,San Diego,92122,32.85723,-117.209774,73.0
5564-NEMQO,1,United States,California,Thermal,92274,33.53604,-116.119222,65.0
6235-VDHOM,1,United States,California,Riverside,92509,34.004379,-117.447864,65.0
5609-CEBID,1,United States,California,Hemet,92544,33.644585,-116.871544,65.0
5956-VKDTT,1,United States,California,Moreno Valley,92557,33.970661,-117.255039,65.0
0257-ZESQC,1,United States,California,Perris,92571,33.828289,-117.201666,65.0
2865-TCHJW,1,United States,California,Anaheim,92807,33.848733,-117.788357,59.0
5192-EBGOV,1,United States,California,Brea,92823,33.924143,-117.79387,59.0
3419-SNJJD,1,United States,California,Yorba Linda,92887,33.884073,-117.732197,59.0
4554-YGZIH,1,United States,California,Summerland,93067,34.420998,-119.60137,83.0
5099-BAILX,1,United States,California,Santa Barbara,93101,34.419203,-119.710008,83.0
4913-EHYUI,1,United States,California,Alpaugh,93201,35.869626,-119.498771,107.0
1626-ERCMM,1,United States,California,Camp Nelson,93208,36.057458,-118.591951,107.0
5644-PDMZC,1,United States,California,Delano,93215,35.772244,-119.209689,29.0
4160-AMJTL,1,United States,California,Fellows,93224,35.215731,-119.57013,29.0
0823-HSCDJ,1,United States,California,Temecula,92592,33.507255,-117.029473,65.0
0067-DKWBL,1,United States,California,San Diego,92129,32.961064,-117.134917,73.0
5244-IRFIH,1,United States,California,San Diego,92129,32.961064,-117.134917,73.0
2684-EIWEO,1,United States,California,San Diego,92129,32.961064,-117.134917,73.0
6683-VLCTZ,1,United States,California,San Diego,92129,32.961064,-117.134917,73.0
0691-IFBQW,1,United States,California,Biola,93606,36.798882,-120.019511,19.0
3643-AHCFP,1,United States,California,Selma,93662,36.545322,-119.642281,19.0
9231-ZJYAM,1,United States,California,Yokuts,93675,36.719141,-119.202677,19.0
0727-BMPLR,1,United States,California,Fresno,93706,36.654614,-119.903674,19.0
0947-MUGVO,1,United States,California,Jolon,93928,35.930782,-121.189757,53.0
0781-LKXBR,1,United States,California,San Francisco,94102,37.7795,-122.419233,75.0
1907-UBQFC,1,United States,California,San Francisco,94108,37.791998,-122.408653,75.0
6513-EECDB,1,United States,California,San Francisco,94114,37.758085,-122.434801,75.0
7074-IEVOJ,1,United States,California,San Francisco,94130,37.820894,-122.369725,75.0
4750-ZRXIU,1,United States,California,Palo Alto,94304,37.386978,-122.177746,85.0
7028-DVOIQ,1,United States,California,Birds Landing,94512,38.140719,-121.838298,95.0
4208-UFFGW,1,United States,California,Byron,94514,37.83323,-121.601461,13.0
9889-TMAHG,1,United States,California,Fremont,94539,37.516791,-121.899117,1.0
8919-FYFQZ,1,United States,California,Livermore,94550,37.571748,-121.659562,1.0
6646-QVXLR,1,United States,California,Napa,94558,38.489789,-122.27011,55.0
9369-XFEHK,1,United States,California,Pleasanton,94566,37.633361,-121.862395,1.0
1374-DMZUI,1,United States,California,San Ramon,94583,37.766556,-121.976784,13.0
1989-PRJHP,1,United States,California,Pleasanton,94588,37.685052,-121.912061,1.0
4822-RVYBB,1,United States,California,Berkeley,94704,37.871416,-122.246597,1.0
4184-TJFAN,1,United States,California,Berkeley,94707,37.897753,-122.279391,1.0
4145-UQXUQ,1,United States,California,Berkeley,94710,37.872902,-122.303708,1.0
1236-WFCDV,1,United States,California,Greenbrae,94904,37.946617,-122.563571,41.0
1271-SJBGZ,1,United States,California,Forest Knolls,94933,38.010092,-122.689442,41.0
4441-NIHPT,1,United States,California,Freedom,95019,36.936228,-121.785559,87.0
8999-BOHSE,1,United States,California,Gilroy,95020,37.03889,-121.528955,85.0
7029-RPUAV,1,United States,California,Los Gatos,95030,37.222842,-121.988727,85.0
8111-SLLHI,1,United States,California,San Jose,95128,37.316146,-121.936285,85.0
5293-WXJAK,1,United States,California,San Jose,95135,37.28682,-121.723877,85.0
4086-YQSNZ,1,United States,California,Glencoe,95232,38.358464,-120.579304,9.0
8399-YNDCH,1,United States,California,Columbia,95310,38.085839,-120.37855,109.0
5565-FILXA,1,United States,California,Escondido,92027,33.141265,-116.967221,73.0
4187-CINZD,1,United States,California,Lakewood,90712,33.840524,-118.148403,37.0
6818-WOBHJ,1,United States,California,Fulton,95439,38.493888,-122.777141,97.0
9134-CEQMF,1,United States,California,Nice,95464,39.12334,-122.838198,33.0
8519-IMDHU,1,United States,California,Alderpoint,95511,40.166028,-123.584144,23.0
3372-KWFBM,1,United States,California,Bayside,95524,40.825486,-124.049485,23.0
7206-GZCDC,1,United States,California,Loleta,95551,40.665952,-124.240051,23.0
1768-ZAIFU,1,United States,California,Rio Dell,95562,40.485849,-124.163234,23.0
3793-MMFUH,1,United States,California,Davis,95618,38.544002,-121.685559,113.0
6567-HOOPW,1,United States,California,Folsom,95630,38.672638,-121.147403,67.0
8621-MNIHH,1,United States,California,Madison,95653,38.674276,-121.961866,113.0
5419-CONWX,1,United States,California,Pleasant Grove,95668,38.833554,-121.498102,101.0
7024-OHCCK,1,United States,California,Sheridan,95681,38.984756,-121.345074,61.0
5357-TZHPP,1,United States,California,Wheatland,95692,39.043387,-121.409837,115.0
0506-LVNGN,1,United States,California,Rancho Cordova,95742,38.591134,-121.161585,67.0
9809-IMGCQ,1,United States,California,Canyon Dam,95923,40.171312,-121.120605,63.0
3254-YRILK,1,United States,California,Dobbins,95935,39.381174,-121.21191,115.0
0529-ONKER,1,United States,California,Forest Ranch,95942,40.077028,-121.494168,7.0
5240-IJOQT,1,United States,California,Grass Valley,95949,39.099204,-121.137962,57.0
0661-XEYAN,1,United States,California,Nevada City,95959,39.333737,-120.858667,57.0
2660-EMUBI,1,United States,California,Escondido,92027,33.141265,-116.967221,73.0
7675-OZCZG,1,United States,California,Fallbrook,92028,33.362575,-117.299644,73.0
9391-EOYLI,1,United States,California,Lewiston,96052,40.704293,-122.803899,105.0
2761-OCIAX,1,United States,California,Palo Cedro,96073,40.582399,-122.195512,89.0
3068-OMWZA,1,United States,California,Round Mountain,96084,40.923558,-122.059933,89.0
4154-AQUGT,1,United States,California,San Diego,92130,32.957195,-117.202542,73.0
8017-LXHFA,1,United States,California,San Diego,92130,32.957195,-117.202542,73.0
4248-QPAVC,1,United States,California,San Diego,92130,32.957195,-117.202542,73.0
4690-LLKUA,1,United States,California,San Diego,92130,32.957195,-117.202542,73.0
9490-DFPMD,1,United States,California,San Diego,92130,32.957195,-117.202542,73.0
8580-AECUZ,1,United States,California,San Diego,92130,32.957195,-117.202542,73.0
5047-LHVLY,1,United States,California,San Diego,92121,32.898613,-117.202937,73.0
8375-DKEBR,1,United States,California,Hermosa Beach,90254,33.86532,-118.396336,37.0
7279-BUYWN,1,United States,California,Buena Park,90620,33.845706,-118.012204,59.0
7156-MHUGY,1,United States,California,Buena Park,90621,33.874224,-117.993368,59.0
9606-PBKBQ,1,United States,California,Long Beach,90813,33.781086,-118.199049,37.0
3536-IQCTX,1,United States,California,South Pasadena,91030,34.110444,-118.156957,37.0
3132-TVFDZ,1,United States,California,Glendale,91202,34.167926,-118.267539,37.0
8080-DDEMJ,1,United States,California,Glendale,91204,34.136306,-118.26036,37.0
6702-OHFWR,1,United States,California,Reseda,91335,34.200175,-118.540958,37.0
4510-PYUSH,1,United States,California,Sylmar,91342,34.321621,-118.399841,37.0
8840-DQLGN,1,United States,California,Burbank,91502,34.177267,-118.31003,37.0
4193-ORFCL,1,United States,California,North Hollywood,91606,34.187599,-118.387125,37.0
7776-QWNFX,1,United States,California,Chino,91710,33.990646,-117.663025,71.0
6689-TCZHQ,1,United States,California,Claremont,91711,34.127621,-117.717863,37.0
9497-QCMMS,1,United States,California,San Diego,92117,32.825086,-117.199424,73.0
3424-NMNBO,1,United States,California,San Diego,92117,32.825086,-117.199424,73.0
4514-GFCFI,1,United States,California,San Diego,92117,32.825086,-117.199424,73.0
8000-REIQB,1,United States,California,San Diego,92117,32.825086,-117.199424,73.0
4795-KTRTH,1,United States,California,San Diego,92122,32.85723,-117.209774,73.0
9961-JBNMK,1,United States,California,Desert Center,92239,33.889605,-115.257009,65.0
6179-GJPSO,1,United States,California,Escondido,92027,33.141265,-116.967221,73.0
8290-YWKHZ,1,United States,California,Fallbrook,92028,33.362575,-117.299644,73.0
8051-HJRLT,1,United States,California,Wrightwood,92397,34.358321,-117.618263,71.0
4021-RQSNY,1,United States,California,Moreno Valley,92555,33.907361,-117.109972,65.0
9061-TIHDA,1,United States,California,Murrieta,92563,33.581045,-117.14719,65.0
8699-ASUFO,1,United States,California,Nuevo,92567,33.82769,-117.102244,65.0
4695-WJZUE,1,United States,California,Irvine,92606,33.703976,-117.824172,59.0
3988-RQIXO,1,United States,California,Corona Del Mar,92625,33.600987,-117.862734,59.0
5931-FLJJF,1,United States,California,Midway City,92655,33.744439,-117.98588,59.0
3207-OYBWH,1,United States,California,Newport Beach,92661,33.601309,-117.902304,59.0
7216-EWTRS,1,United States,California,Newport Beach,92663,33.62251,-117.927024,59.0
2528-HFYZX,1,United States,California,Santa Ana,92706,33.765893,-117.881533,59.0
4140-MUHUG,1,United States,California,Oak View,93022,34.404544,-119.302118,111.0
1587-FKLZB,1,United States,California,Santa Barbara,93101,34.419203,-119.710008,83.0
5440-FLBQG,1,United States,California,Santa Barbara,93110,34.437945,-119.77191,83.0
2774-LVQUS,1,United States,California,Temecula,92592,33.507255,-117.029473,65.0
4612-THJBS,1,United States,California,Terra Bella,93270,35.939068,-119.043666,107.0
4094-NSEDU,1,United States,California,Temecula,92592,33.507255,-117.029473,65.0
1846-XWOQN,1,United States,California,Bradley,93426,35.842889,-121.004862,53.0
3757-NJYBX,1,United States,California,Nipomo,93444,35.050345,-120.489599,79.0
9898-KZQDZ,1,United States,California,Lee Vining,93541,37.890145,-119.184087,51.0
8263-JQAIK,1,United States,California,Palmdale,93591,34.598221,-117.79593,37.0
2205-YMZZJ,1,United States,California,Clovis,93612,36.814539,-119.711868,19.0
1254-IZEYF,1,United States,California,Cutler,93615,36.497895,-119.285484,107.0
9221-OTIVJ,1,United States,California,Dunlap,93621,36.789213,-119.140338,19.0
5908-QMGOE,1,United States,California,Fowler,93625,36.625792,-119.672483,19.0
0397-GZBBC,1,United States,California,South Dos Palos,93665,36.959731,-120.653519,47.0
7641-EUYET,1,United States,California,Tranquillity,93668,36.635661,-120.288644,19.0
8922-LIEGH,1,United States,California,Jolon,93928,35.930782,-121.189757,53.0
8245-UMPYT,1,United States,California,Lockwood,93932,35.989792,-121.055933,53.0
5186-SAMNZ,1,United States,California,Marina,93933,36.689582,-121.758398,53.0
5373-SFODM,1,United States,California,San Lucas,93954,36.125529,-120.864443,53.0
0022-TCJCI,1,United States,California,Daly City,94015,37.680844,-122.48131,81.0
5130-IEKQT,1,United States,California,San Francisco,94109,37.794487,-122.42227,75.0
