Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Churn Value,Zip Code,Population,Per capita personal income,Personal incomeX,Employer contributions,Farm proprietors income,Nonfarm proprietors income,Farm proprietors employment,Income maintenance benefits,Nonfarm proprietors employment,Per capita income maintenance benefits,Per capita retirement and other,Per capita unemployment insurance compensation,Proprietors income,Retirement and other,Supplements to wages and salaries,Unemployment insurance compensation,Wages and salaries,Average nonfarm proprietors income,Average wages and salaries,"Dividends, interest, and rent",Earnings by place of work,Net earnings by place of residence,"Per capita dividends, interest, and rent",Per capita net earnings,Per capita personal current transfer receipts,Personal current transfer receipts,Proprietors employment,Wage and salary employment,Average earnings per job,Personal incomeY,Total employment
0,0,1,5,0,0.0,0,1,1,8,0,0,1,0,0,1,0,0,0,1,0,39.65,39.65,0.0,20,0.0,59.65,1,78,0,1,0,0,0,1,90022,68701,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
1,1,8,4,1,48.85,1,1,2,17,0,1,0,0,0,0,0,1,0,1,1,80.65,633.3,0.0,0,390.8,1024.1,0,74,0,1,1,1,1,1,90063,55668,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,18,3,1,11.33,1,1,2,52,0,0,0,0,1,1,1,1,0,1,0,95.45,1752.55,45.61,0,203.94,1910.88,1,71,0,1,0,1,3,1,90065,47534,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
1,1,25,2,1,19.76,0,1,2,12,0,1,1,0,1,1,0,1,0,1,0,98.5,2514.5,13.43,0,494.00000000000006,2995.07,0,78,0,1,1,1,1,1,90303,27778,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
1,1,37,2,1,6.33,1,1,2,14,0,0,0,0,0,0,0,1,0,1,0,76.5,2868.15,0.0,0,234.21,3102.36,0,80,0,1,1,1,1,1,90602,26265,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,27,2,1,3.33,1,1,2,18,0,0,1,0,0,0,0,0,0,1,0,78.05,2135.5,0.0,10,89.91,2235.41,0,72,0,1,0,1,1,1,90660,63288,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
1,1,1,4,1,15.28,0,1,2,30,0,0,0,0,0,0,0,1,0,1,2,70.45,70.45,0.0,0,15.28,85.73,0,76,0,1,1,1,2,1,90720,21343,83553.0,263290135.0,18368657.0,21854.0,23441223.0,191.0,4060610.0,628408.0,1289.0,8858.0,89.0,23463077.0,27914420.0,27686976.0,281086.0,137331567.0,37303.0,78116.0,59580750.0,188481620.0,171453269.0,18907.0,54409.0,10236.0,32256116.0,628599.0,1758050.0,78973.0,263290135.0,2386649.0
1,6,58,1,0,0.0,0,1,1,24,0,1,1,0,0,1,0,1,0,1,0,45.3,2651.2,40.95,0,0.0,2610.25,1,66,0,1,1,0,0,1,91024,10558,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,15,3,1,44.07,1,1,2,19,0,0,0,0,0,0,0,1,0,1,2,74.45,1145.7,0.0,0,661.05,1806.75,0,70,0,1,0,1,2,1,91106,23742,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,7,4,1,26.95,0,1,2,18,1,0,0,0,0,0,0,0,0,0,0,76.45,503.6,11.05,0,188.65,681.2,0,77,0,1,0,1,2,1,91107,32369,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,11,3,1,11.59,0,1,2,29,0,1,0,0,1,1,0,0,0,1,0,95.0,1120.3,0.0,120,127.49,1367.79,0,78,0,1,0,1,1,1,91605,57146,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,15,3,1,29.11,0,1,2,29,0,1,0,0,0,0,0,1,0,1,0,74.4,1074.3,0.0,0,436.65,1510.9499999999998,1,65,0,1,0,0,0,1,91722,33817,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
1,1,1,4,0,0.0,0,1,1,12,0,1,0,0,1,0,0,1,0,0,0,40.2,40.2,0.0,0,0.0,40.2,1,77,0,1,1,0,0,1,91732,62660,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,3,4,0,0.0,0,1,1,28,0,0,1,0,0,1,1,1,0,1,0,41.15,132.2,0.0,0,0.0,132.2,1,67,0,1,0,0,0,1,91746,30802,74142.0,720740528.0,55463947.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,139526360.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
