Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_Unknown,Contract_One Year,Contract_Two Year,Payment Method_Credit Card,Payment Method_Mailed Check,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Churn Value,Churn Category_Attitude,Churn Category_Competitor,Churn Category_Dissatisfaction,Churn Category_Other,Churn Category_Price,Churn Category_nan,Churn Reason_Attitude of service provider,Churn Reason_Attitude of support person,Churn Reason_Competitor had better devices,Churn Reason_Competitor made better offer,Churn Reason_Competitor offered higher download speeds,Churn Reason_Competitor offered more data,Churn Reason_Deceased,Churn Reason_Don't know,Churn Reason_Extra data charges,Churn Reason_Lack of affordable download/upload speed,Churn Reason_Lack of self-service on Website,Churn Reason_Limited range of services,Churn Reason_Long distance charges,Churn Reason_Moved,Churn Reason_Network reliability,Churn Reason_Poor expertise of online support,Churn Reason_Poor expertise of phone support,Churn Reason_Price too high,Churn Reason_Product dissatisfaction,Churn Reason_Service dissatisfaction,Churn Reason_nan,Zip Code,Latitude,Longitude,Population,GeoFIPS,Per capita personal income (dollars) 2/,Personal income (thousands of dollars) _x,Population (persons) 1/,   Employer contributions for employee pension and insurance funds 5/,   Employer contributions for government social insurance ,   Farm proprietors' income ,   Nonfarm proprietors' income ,  Farm proprietors employment 6/,  Income maintenance benefits 1/,  Nonfarm proprietors employment ,  Per capita income maintenance benefits 4/,  Per capita retirement and other 4/,  Per capita unemployment insurance compensation 4/,  Proprietors' income ,  Retirement and other ,  Supplements to wages and salaries ,  Unemployment insurance compensation ,  Wages and salaries , Average nonfarm proprietors' income , Average wages and salaries ," Dividends, interest, and rent 2/", Earnings by place of work , Net earnings by place of residence ," Per capita dividends, interest, and rent 4/", Per capita net earnings 4/, Per capita personal current transfer receipts 4/, Per capita personal income 4/, Personal current transfer receipts , Population (persons) 3/, Proprietors employment , Wage and salary employment ,Average earnings per job (dollars) ,Personal income (thousands of dollars) _y,Total employment (number of jobs) 
0,0,1,0,0.0,0,1,8,0,0,1,0,0,1,0,0,1,39.65,39.65,0.0,20,0.0,59.65,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,78,0,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90022,34.02381,-118.156582,68701,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
1,1,8,1,48.85,1,1,17,0,1,0,0,0,0,0,1,1,80.65,633.3,0.0,0,390.8,1024.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,74,0,1,1,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90063,34.044271,-118.185237,55668,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,18,1,11.33,1,1,52,0,0,0,0,1,1,1,1,1,95.45,1752.55,45.61,0,203.94,1910.88,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,71,0,1,0,1,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90065,34.108833,-118.229715,47534,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
1,1,25,1,19.76,0,1,12,0,1,1,0,1,1,0,1,1,98.5,2514.5,13.43,0,494.00000000000006,2995.07,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,78,0,1,1,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90303,33.936291,-118.332639,27778,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
1,1,37,1,6.33,1,1,14,0,0,0,0,0,0,0,1,1,76.5,2868.15,0.0,0,234.21,3102.36,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,80,0,1,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90602,33.972119,-118.020188,26265,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,27,1,3.33,1,1,18,0,0,1,0,0,0,0,0,1,78.05,2135.5,0.0,10,89.91,2235.41,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,72,0,1,0,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90660,33.989524,-118.089299,63288,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
1,1,1,1,15.28,0,1,30,0,0,0,0,0,0,0,1,1,70.45,70.45,0.0,0,15.28,85.73,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,76,0,1,1,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90720,33.79499,-118.065591,21343,059,83553.0,263290135.0,3151184.0,18368657.0,9318319.0,21854.0,23441223.0,191.0,4060610.0,628408.0,1289.0,8858.0,89.0,23463077.0,27914420.0,27686976.0,281086.0,137331567.0,37303.0,78116.0,59580750.0,188481620.0,171453269.0,18907.0,54409.0,10236.0,83553.0,32256116.0,3151184.0,628599.0,1758050.0,78973.0,263290135.0,2386649.0
1,6,58,0,0.0,0,1,24,0,1,1,0,0,1,0,1,1,45.3,2651.2,40.95,0,0.0,2610.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,66,0,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,91024,34.168686,-118.057505,10558,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,15,1,44.07,1,1,19,0,0,0,0,0,0,0,1,1,74.45,1145.7,0.0,0,661.05,1806.75,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,70,0,1,0,1,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91106,34.139402,-118.128658,23742,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
0,0,7,1,26.95,0,1,18,1,0,0,0,0,0,0,0,0,76.45,503.6,11.05,0,188.65,681.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,77,0,1,0,1,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91107,34.159007,-118.087353,32369,037,74142.0,720740528.0,9721138.0,55463947.0,25387419.0,32484.0,59911167.0,853.0,23303277.0,1961279.0,2397.0,11815.0,141.0,59943651.0,114855530.0,80851366.0,1367553.0,388176660.0,30547.0,80151.0,142889931.0,528971677.0,438324237.0,14699.0,45090.0,14353.0,74142.0,139526360.0,9721138.0,1962132.0,4843059.0,77731.0,720740528.0,6805191.0
